Source,Target,Type
12,491195,Directed
903,130507,Directed
903,265167,Directed
903,517600,Directed
903,584320,Directed
903,653518,Directed
903,673140,Directed
3344,139663,Directed
4668,58981,Directed
4668,62322,Directed
4668,125695,Directed
4668,203378,Directed
4668,604283,Directed
4668,676461,Directed
4668,765295,Directed
8268,832068,Directed
12637,81293,Directed
12637,245747,Directed
16336,150532,Directed
16336,283876,Directed
16505,143022,Directed
16604,123279,Directed
16604,169357,Directed
17491,257490,Directed
18490,93677,Directed
18490,447372,Directed
18490,892129,Directed
19647,768431,Directed
20620,112993,Directed
20620,160059,Directed
20620,175095,Directed
20620,293406,Directed
20620,330419,Directed
20620,371322,Directed
20620,563725,Directed
20620,637827,Directed
20620,655211,Directed
20620,689617,Directed
20620,821216,Directed
22168,872796,Directed
27453,138755,Directed
27453,668974,Directed
31247,145820,Directed
31247,421466,Directed
31247,725968,Directed
32910,45980,Directed
32910,75122,Directed
32910,464007,Directed
32910,680186,Directed
32910,836203,Directed
33428,50539,Directed
33428,173104,Directed
33428,198307,Directed
33428,251169,Directed
33428,330419,Directed
33428,389279,Directed
33428,395522,Directed
33428,466896,Directed
33428,564206,Directed
33428,651412,Directed
33428,689617,Directed
33428,754759,Directed
34143,34831,Directed
34143,269905,Directed
34143,473193,Directed
34143,713786,Directed
34143,733170,Directed
34143,886143,Directed
34831,485995,Directed
34831,862591,Directed
36606,83588,Directed
36606,371166,Directed
36606,406500,Directed
36606,430832,Directed
36606,912619,Directed
38308,330419,Directed
38308,339616,Directed
38308,561887,Directed
38308,652747,Directed
38308,653288,Directed
38308,760664,Directed
39510,145820,Directed
39510,245747,Directed
41039,566348,Directed
41846,22168,Directed
43242,152076,Directed
43242,263107,Directed
43242,330419,Directed
43242,570165,Directed
43242,760664,Directed
43242,960245,Directed
45670,903,Directed
45670,16336,Directed
45670,76099,Directed
45670,130507,Directed
45670,314687,Directed
45670,680817,Directed
45670,823708,Directed
45670,854647,Directed
45980,75122,Directed
45980,464007,Directed
46040,675871,Directed
46253,118479,Directed
46253,129665,Directed
46253,328310,Directed
46253,653898,Directed
46253,680186,Directed
47597,32910,Directed
47597,464007,Directed
50277,62322,Directed
50277,383225,Directed
50277,561887,Directed
50277,676461,Directed
50539,117249,Directed
50539,367659,Directed
50539,371166,Directed
50539,433532,Directed
50539,466896,Directed
50539,642729,Directed
50539,652747,Directed
50539,662404,Directed
50539,723355,Directed
50539,817255,Directed
50539,957301,Directed
50539,960245,Directed
51118,193873,Directed
51118,240834,Directed
51118,426567,Directed
51118,466896,Directed
51118,469958,Directed
51118,495162,Directed
51118,507966,Directed
51118,602762,Directed
51118,651766,Directed
51118,652747,Directed
51118,663942,Directed
51118,760416,Directed
51118,783480,Directed
51118,792942,Directed
58981,256009,Directed
58981,619925,Directed
58981,893040,Directed
58981,908732,Directed
61278,421466,Directed
61278,429223,Directed
61899,450087,Directed
62322,203378,Directed
62322,256009,Directed
62322,893040,Directed
62322,908732,Directed
62322,961542,Directed
66345,125695,Directed
66345,234571,Directed
66345,331182,Directed
66345,601449,Directed
66345,652747,Directed
66345,698186,Directed
66345,719970,Directed
66345,823708,Directed
66345,953434,Directed
66345,960245,Directed
66345,966109,Directed
68817,32910,Directed
68817,38796,Directed
68817,154886,Directed
68817,464007,Directed
69041,39510,Directed
69041,81293,Directed
69041,145820,Directed
69299,773389,Directed
69334,417947,Directed
69334,665457,Directed
69334,788633,Directed
73141,38796,Directed
73141,45980,Directed
76099,3428,Directed
76099,507664,Directed
76099,584320,Directed
76138,139663,Directed
76138,272006,Directed
76878,84021,Directed
76878,980821,Directed
78175,29043,Directed
78175,152076,Directed
78175,206285,Directed
78175,460550,Directed
78175,509826,Directed
78175,652747,Directed
78175,695630,Directed
80094,406500,Directed
80094,412083,Directed
80094,430832,Directed
80094,917164,Directed
80140,38308,Directed
80140,175261,Directed
80140,193873,Directed
80140,330419,Directed
80140,367748,Directed
80140,389279,Directed
80140,466896,Directed
80140,474064,Directed
80140,642729,Directed
80140,651766,Directed
80140,698186,Directed
80140,760416,Directed
80629,36606,Directed
80629,313669,Directed
80772,188152,Directed
80889,81293,Directed
80889,809643,Directed
81245,138755,Directed
81293,402486,Directed
82196,312310,Directed
83588,861535,Directed
84021,81293,Directed
86293,705558,Directed
90301,217837,Directed
90301,234571,Directed
90301,953434,Directed
90599,801274,Directed
93677,21956,Directed
93677,38308,Directed
93677,46040,Directed
93677,80140,Directed
93677,160059,Directed
93677,175095,Directed
93677,251169,Directed
93677,284560,Directed
93677,330419,Directed
93677,339616,Directed
93677,433311,Directed
93677,563725,Directed
93677,568077,Directed
93677,622820,Directed
93677,655211,Directed
93677,675871,Directed
93677,698186,Directed
93677,734241,Directed
93677,760416,Directed
93677,769932,Directed
93677,783480,Directed
93677,881626,Directed
93677,956944,Directed
94059,754759,Directed
94059,852710,Directed
99906,80140,Directed
99906,284560,Directed
99906,466896,Directed
104195,154886,Directed
104195,464007,Directed
104195,576531,Directed
105933,33428,Directed
105933,78162,Directed
105933,86293,Directed
105933,133129,Directed
105933,188152,Directed
105933,466896,Directed
105933,590169,Directed
105933,622820,Directed
105933,647762,Directed
105933,655211,Directed
105933,754759,Directed
105933,756573,Directed
107392,371327,Directed
107392,406500,Directed
107392,412083,Directed
107392,430832,Directed
107392,485511,Directed
107392,493107,Directed
107392,723355,Directed
107392,861535,Directed
107392,880450,Directed
107392,897156,Directed
108058,188429,Directed
108058,315940,Directed
108058,371166,Directed
108058,454323,Directed
108058,570165,Directed
108058,658402,Directed
108597,561887,Directed
108597,719970,Directed
109181,64768,Directed
109181,227692,Directed
109181,775288,Directed
109245,245747,Directed
109245,906384,Directed
111872,887899,Directed
112993,263107,Directed
112993,330419,Directed
112993,622820,Directed
112993,651766,Directed
112993,655211,Directed
112993,675871,Directed
112993,714875,Directed
112993,756573,Directed
115432,561887,Directed
115432,652747,Directed
115432,662404,Directed
115432,663942,Directed
115699,108058,Directed
115699,152076,Directed
115699,217818,Directed
115699,460550,Directed
115699,469668,Directed
115699,658402,Directed
115699,698186,Directed
115699,789840,Directed
115699,809936,Directed
118479,768431,Directed
118479,836203,Directed
118533,173104,Directed
118533,251169,Directed
118533,284560,Directed
118533,339616,Directed
118533,466896,Directed
118533,586259,Directed
118533,675871,Directed
118533,769932,Directed
118533,772920,Directed
121189,251169,Directed
121189,269137,Directed
121189,955142,Directed
122489,506342,Directed
122489,736987,Directed
123279,861061,Directed
125695,561887,Directed
125695,827256,Directed
125883,604011,Directed
127348,421466,Directed
128386,875536,Directed
128386,906384,Directed
129665,75122,Directed
137759,365355,Directed
137759,691771,Directed
138484,164407,Directed
138484,697359,Directed
138755,258304,Directed
138755,475002,Directed
138755,543284,Directed
138755,773389,Directed
147677,133129,Directed
147677,358453,Directed
148633,978737,Directed
149528,213254,Directed
159664,138755,Directed
159664,258304,Directed
159664,775288,Directed
160059,21956,Directed
160059,33428,Directed
160059,460278,Directed
160059,563725,Directed
160059,655211,Directed
162847,130507,Directed
162847,818621,Directed
164407,226930,Directed
164407,937271,Directed
166624,51118,Directed
166624,108597,Directed
166624,234063,Directed
166624,240834,Directed
166624,426567,Directed
166624,434441,Directed
166624,446349,Directed
166624,648523,Directed
166624,713786,Directed
166624,733170,Directed
166624,886143,Directed
166624,956944,Directed
169357,411493,Directed
169357,906384,Directed
170810,27453,Directed
172462,188152,Directed
172462,837286,Directed
173104,78175,Directed
173104,466896,Directed
173104,760664,Directed
175051,292704,Directed
175095,160059,Directed
175095,263107,Directed
175095,371322,Directed
175095,415022,Directed
175095,509826,Directed
175095,622820,Directed
175095,651412,Directed
175095,655211,Directed
175095,689617,Directed
175095,794416,Directed
175261,234571,Directed
175261,313669,Directed
175261,330419,Directed
175261,352724,Directed
175261,371166,Directed
175261,623730,Directed
175261,652747,Directed
175261,847044,Directed
175261,953434,Directed
179098,382592,Directed
179098,739879,Directed
181552,810489,Directed
183403,109181,Directed
183403,180642,Directed
183403,292704,Directed
183403,332552,Directed
183403,736785,Directed
184184,12,Directed
185046,837286,Directed
185046,861535,Directed
185046,912619,Directed
188429,433532,Directed
188429,665457,Directed
188429,762563,Directed
188429,809936,Directed
193873,397503,Directed
193873,653288,Directed
196135,427413,Directed
197799,107392,Directed
197799,200148,Directed
197799,809936,Directed
197799,880450,Directed
198307,78175,Directed
198307,653288,Directed
198307,794425,Directed
199391,31247,Directed
199391,90599,Directed
199391,164407,Directed
199391,272006,Directed
199391,421466,Directed
199693,330419,Directed
199693,698186,Directed
201084,36606,Directed
201084,172462,Directed
201084,509826,Directed
201084,624049,Directed
201084,642729,Directed
201084,662404,Directed
201084,777783,Directed
203378,58981,Directed
203378,256009,Directed
203378,331182,Directed
203378,561887,Directed
203378,688410,Directed
203378,893040,Directed
205111,711275,Directed
205732,263107,Directed
205732,393065,Directed
206285,78175,Directed
206285,480597,Directed
206285,662404,Directed
209836,159664,Directed
209836,635489,Directed
213254,21956,Directed
213254,46040,Directed
213254,80140,Directed
213254,118533,Directed
213254,160059,Directed
213254,175095,Directed
213254,339616,Directed
213254,367748,Directed
213254,395522,Directed
213254,655211,Directed
213254,734241,Directed
213254,949596,Directed
217818,185046,Directed
217818,433532,Directed
217818,616279,Directed
217818,652747,Directed
217818,769932,Directed
217818,788633,Directed
217818,837286,Directed
217818,861535,Directed
217818,912619,Directed
218102,469958,Directed
221190,143022,Directed
