Source,Target,Type
12,491195,Directed
3344,139663,Directed
32910,45980,Directed
32910,75122,Directed
32910,464007,Directed
32910,836203,Directed
33428,251169,Directed
33428,330419,Directed
33428,466896,Directed
36606,371166,Directed
36606,406500,Directed
36606,430832,Directed
36606,912619,Directed
39510,145820,Directed
39510,245747,Directed
45980,75122,Directed
45980,464007,Directed
50277,561887,Directed
68817,32910,Directed
68817,38796,Directed
68817,464007,Directed
78175,152076,Directed
78175,460550,Directed
78175,509826,Directed
78175,652747,Directed
78175,695630,Directed
80140,330419,Directed
80140,367748,Directed
80140,466896,Directed
80140,698186,Directed
80140,760416,Directed
81293,402486,Directed
90301,234571,Directed
90301,953434,Directed
93677,80140,Directed
93677,251169,Directed
93677,330419,Directed
93677,339616,Directed
93677,622820,Directed
93677,655211,Directed
93677,675871,Directed
93677,698186,Directed
93677,760416,Directed
93677,769932,Directed
93677,956944,Directed
105933,33428,Directed
105933,78162,Directed
105933,188152,Directed
105933,466896,Directed
105933,622820,Directed
105933,655211,Directed
107392,406500,Directed
107392,430832,Directed
107392,485511,Directed
107392,723355,Directed
107392,861535,Directed
107392,880450,Directed
108058,371166,Directed
108058,570165,Directed
108058,658402,Directed
112993,330419,Directed
112993,622820,Directed
112993,655211,Directed
112993,675871,Directed
123279,861061,Directed
128386,906384,Directed
169357,411493,Directed
169357,906384,Directed
172462,188152,Directed
172462,837286,Directed
199391,164407,Directed
199391,272006,Directed
199391,421466,Directed
217818,616279,Directed
217818,652747,Directed
217818,769932,Directed
217818,788633,Directed
217818,837286,Directed
217818,861535,Directed
217818,912619,Directed
234063,33428,Directed
234063,93677,Directed
234063,112993,Directed
234063,170470,Directed
234063,251169,Directed
234063,330419,Directed
234063,371166,Directed
234063,473193,Directed
234063,616554,Directed
234063,622820,Directed
234063,788633,Directed
234063,809936,Directed
234063,837286,Directed
234063,861535,Directed
234571,509826,Directed
234571,624049,Directed
234571,789840,Directed
243740,371166,Directed
243740,485511,Directed
243740,765295,Directed
243740,837286,Directed
243740,861535,Directed
243740,880450,Directed
251169,466896,Directed
251169,917287,Directed
256009,908732,Directed
269137,50277,Directed
269137,234063,Directed
269137,893040,Directed
269137,908732,Directed
330419,108058,Directed
330419,570165,Directed
330419,769932,Directed
330419,861535,Directed
339616,330419,Directed
339616,466896,Directed
339616,760416,Directed
367748,466896,Directed
367748,663942,Directed
371166,765295,Directed
371166,809936,Directed
371166,837286,Directed
385014,421466,Directed
385014,604011,Directed
394026,217818,Directed
394026,367748,Directed
394026,695630,Directed
394026,698186,Directed
394654,145820,Directed
394654,385014,Directed
394654,429223,Directed
394654,660924,Directed
394654,697359,Directed
402486,81293,Directed
406500,371166,Directed
411493,697359,Directed
421466,886147,Directed
430832,809936,Directed
460550,36606,Directed
460550,570165,Directed
460550,652747,Directed
466896,90301,Directed
466896,460550,Directed
466896,817255,Directed
469958,12,Directed
469958,507966,Directed
473193,33428,Directed
473193,112993,Directed
473193,394026,Directed
473193,622820,Directed
473193,663942,Directed
485511,880450,Directed
491195,390552,Directed
507966,12,Directed
507966,602762,Directed
507966,664421,Directed
507966,956944,Directed
509826,570165,Directed
509826,769932,Directed
515379,650196,Directed
515379,710410,Directed
515379,762859,Directed
515379,784533,Directed
515379,924485,Directed
516390,237336,Directed
516390,912619,Directed
543455,121620,Directed
561887,78175,Directed
561887,152076,Directed
561887,698186,Directed
561887,769932,Directed
561887,953434,Directed
570165,172462,Directed
570165,188152,Directed
570165,658402,Directed
577224,78162,Directed
602762,339616,Directed
602762,367748,Directed
602762,956944,Directed
616279,367659,Directed
616279,664421,Directed
616554,33428,Directed
616554,361524,Directed
616554,394026,Directed
616554,473193,Directed
616554,824622,Directed
622820,188152,Directed
622820,655211,Directed
622820,675871,Directed
623730,251169,Directed
623730,339616,Directed
623730,466896,Directed
623730,561887,Directed
623730,653288,Directed
623730,698186,Directed
624049,371166,Directed
624049,861535,Directed
652747,516390,Directed
652747,624049,Directed
652916,50277,Directed
652916,269137,Directed
652916,682577,Directed
652916,739879,Directed
653288,78175,Directed
653288,108058,Directed
653288,152076,Directed
653288,217818,Directed
653288,234571,Directed
653288,570165,Directed
653288,624049,Directed
653288,662404,Directed
653288,769932,Directed
655211,33428,Directed
655211,367748,Directed
655211,466896,Directed
655211,570165,Directed
655211,675871,Directed
658225,731658,Directed
662404,652747,Directed
662404,817255,Directed
662404,837286,Directed
675871,339616,Directed
675871,367748,Directed
675871,561887,Directed
675871,698186,Directed
675871,760416,Directed
679758,463517,Directed
680817,325382,Directed
682577,932160,Directed
686503,463517,Directed
686503,687575,Directed
687575,68817,Directed
687575,464007,Directed
695630,36606,Directed
695630,152076,Directed
695630,217818,Directed
695630,234571,Directed
695630,662404,Directed
697359,421466,Directed
697359,766344,Directed
697359,773407,Directed
698186,108058,Directed
713786,112993,Directed
713786,466896,Directed
713786,473193,Directed
716630,182990,Directed
717785,148930,Directed
717785,710410,Directed
717785,762859,Directed
723355,837286,Directed
725809,805293,Directed
725809,963714,Directed
760416,466896,Directed
760416,601449,Directed
760664,108058,Directed
760664,330419,Directed
760664,460550,Directed
760664,466896,Directed
760664,653288,Directed
760664,695630,Directed
760664,723355,Directed
760664,953434,Directed
765349,123279,Directed
766344,697359,Directed
769932,188152,Directed
772920,561887,Directed
772920,653288,Directed
773407,245747,Directed
773407,697359,Directed
773407,906384,Directed
789840,108058,Directed
789840,516390,Directed
789840,624049,Directed
789840,762563,Directed
789840,769932,Directed
789840,837286,Directed
809643,245747,Directed
809643,604011,Directed
809643,721631,Directed
809936,485511,Directed
809936,837286,Directed
809936,912619,Directed
817255,234571,Directed
817255,570165,Directed
817255,652747,Directed
817255,662404,Directed
824622,93677,Directed
827145,288739,Directed
836203,32910,Directed
837286,237336,Directed
837286,417947,Directed
837286,425060,Directed
837286,495162,Directed
837286,762563,Directed
837286,788633,Directed
847044,466896,Directed
861535,516390,Directed
861535,837286,Directed
886143,251169,Directed
886143,339616,Directed
886143,367748,Directed
886143,466896,Directed
886143,675871,Directed
886143,760664,Directed
886143,917287,Directed
886147,245747,Directed
886147,963714,Directed
893040,256009,Directed
894994,123279,Directed
906384,139663,Directed
906384,245747,Directed
908732,93677,Directed
912619,237336,Directed
912619,837286,Directed
917287,78175,Directed
917287,107392,Directed
917287,330419,Directed
917287,698186,Directed
953434,108058,Directed
953434,570165,Directed
953434,652747,Directed
953434,809936,Directed
956944,80140,Directed
956944,330419,Directed
956944,602762,Directed
956944,769932,Directed
956944,795286,Directed
961542,107392,Directed
961542,908732,Directed
17679,214448,Directed
32910,38796,Directed
33428,188152,Directed
36606,495162,Directed
36606,516390,Directed
36606,570165,Directed
36606,809936,Directed
36606,837286,Directed
39510,164580,Directed
39510,773407,Directed
39510,886147,Directed
39510,963714,Directed
46253,68817,Directed
46253,598763,Directed
46253,687575,Directed
50277,893040,Directed
50277,908732,Directed
50277,961542,Directed
68817,75122,Directed
76099,517600,Directed
76099,682577,Directed
78175,217818,Directed
78175,234571,Directed
78175,953434,Directed
80140,33428,Directed
80140,78175,Directed
80140,339616,Directed
80140,460550,Directed
80140,516390,Directed
80140,623730,Directed
80140,652747,Directed
80140,675871,Directed
80140,760664,Directed
