Source,Target,Type
12,237148,Directed
12,491195,Directed
12,721075,Directed
12,736320,Directed
903,130507,Directed
903,265167,Directed
903,517600,Directed
903,584320,Directed
903,653518,Directed
903,673140,Directed
903,710991,Directed
903,748729,Directed
903,943763,Directed
2352,669884,Directed
3344,139663,Directed
3394,203378,Directed
3394,676461,Directed
3394,772801,Directed
3428,918643,Directed
4231,571613,Directed
4668,58981,Directed
4668,62322,Directed
4668,125695,Directed
4668,203378,Directed
4668,604283,Directed
4668,676461,Directed
4668,765295,Directed
6428,777114,Directed
6644,31065,Directed
6644,428847,Directed
8268,495200,Directed
8268,832068,Directed
8268,909288,Directed
8682,78162,Directed
8682,170470,Directed
8682,259428,Directed
8682,361524,Directed
8682,522972,Directed
8682,552388,Directed
8682,713786,Directed
8682,903231,Directed
8682,956944,Directed
10376,365507,Directed
11175,435736,Directed
12637,81293,Directed
12637,245747,Directed
13819,328190,Directed
16336,106859,Directed
16336,150532,Directed
16336,283876,Directed
16336,297461,Directed
16336,335623,Directed
16336,417266,Directed
16336,522539,Directed
16336,949217,Directed
16505,143022,Directed
16604,123279,Directed
16604,169357,Directed
16946,920272,Directed
17491,257490,Directed
18490,93677,Directed
18490,251841,Directed
18490,447372,Directed
18490,892129,Directed
19229,201084,Directed
19229,635489,Directed
19229,722707,Directed
19229,769384,Directed
19229,908732,Directed
19647,768431,Directed
20613,516216,Directed
20613,939645,Directed
20620,112993,Directed
20620,160059,Directed
20620,175095,Directed
20620,293406,Directed
20620,330419,Directed
20620,371322,Directed
20620,376679,Directed
20620,500527,Directed
20620,511456,Directed
20620,563725,Directed
20620,637827,Directed
20620,655211,Directed
20620,689617,Directed
20620,765472,Directed
20620,821216,Directed
20620,855057,Directed
20620,944301,Directed
21900,686503,Directed
21900,818358,Directed
22044,178548,Directed
22044,234063,Directed
22044,252546,Directed
22044,269137,Directed
22044,339616,Directed
22044,376679,Directed
22044,406500,Directed
22044,473193,Directed
22044,517993,Directed
22044,520293,Directed
22044,539584,Directed
22044,572230,Directed
22044,713786,Directed
22044,760664,Directed
22044,858073,Directed
22168,256554,Directed
22168,872796,Directed
23040,170470,Directed
23040,727942,Directed
26787,290490,Directed
26787,297071,Directed
26787,594288,Directed
27266,36606,Directed
27266,69334,Directed
27266,78175,Directed
27266,234571,Directed
27266,323603,Directed
27266,371327,Directed
27266,430832,Directed
27266,460550,Directed
27266,480597,Directed
27266,600594,Directed
27266,617993,Directed
27266,624049,Directed
27266,632490,Directed
27266,652747,Directed
27266,663942,Directed
27266,691298,Directed
27266,769932,Directed
27266,789840,Directed
27266,953434,Directed
27266,969631,Directed
27453,138755,Directed
27453,668974,Directed
28487,630469,Directed
28733,938461,Directed
29318,516214,Directed
30078,616279,Directed
30078,881626,Directed
31247,145820,Directed
31247,421466,Directed
31247,725968,Directed
32429,419167,Directed
32429,455221,Directed
32561,20613,Directed
32910,45980,Directed
32910,75122,Directed
32910,464007,Directed
32910,680186,Directed
32910,785956,Directed
32910,836203,Directed
33428,50539,Directed
33428,109194,Directed
33428,173104,Directed
33428,198307,Directed
33428,251169,Directed
33428,330419,Directed
33428,389279,Directed
33428,395522,Directed
33428,466896,Directed
33428,564206,Directed
33428,651412,Directed
33428,689617,Directed
33428,754759,Directed
