Id,Label,PageRank,InDegree,OutDegree,Community,Url
847044,hep-th/9601038,85.97885681523914,16,6,658293,https://arxiv.org/abs/hep-th/9601038
418404,hep-th/9509080,35.75715186620949,2,1,853296,https://arxiv.org/abs/hep-th/9509080
143022,astro-ph/9506072,30.11447300831664,5,0,246082,https://arxiv.org/abs/astro-ph/9506072
121620,0805.2366,119.99785716172666,1,1,815264,https://arxiv.org/abs/0805.2366
526278,hep-ph/9806471,48.36370719008218,0,3,527053,https://arxiv.org/abs/hep-ph/9806471
283572,0803.0586,51.76049360075724,2,0,246082,https://arxiv.org/abs/0803.0586
673140,hep-ph/0010017,49.58300939135244,7,1,322217,https://arxiv.org/abs/hep-ph/0010017
237336,hep-th/9401133,151.9649234400433,5,0,487873,https://arxiv.org/abs/hep-th/9401133
607806,hep-th/9512196,30.63288267887805,6,19,658293,https://arxiv.org/abs/hep-th/9512196
653898,quant-ph/9608006,47.30537020485715,4,11,348415,https://arxiv.org/abs/quant-ph/9608006
500322,0709.1159,34.65846624464259,1,1,349940,https://arxiv.org/abs/0709.1159
769932,hep-th/9501068,151.84606029649743,21,1,658293,https://arxiv.org/abs/hep-th/9501068
152076,hep-th/9507048,92.70916442538562,15,1,658293,https://arxiv.org/abs/hep-th/9507048
466896,hep-th/9510017,447.30677773632004,57,3,658293,https://arxiv.org/abs/hep-th/9510017
371166,hep-th/9408099,242.10970592283982,25,5,80094,https://arxiv.org/abs/hep-th/9408099
257490,quant-ph/9605038,51.40963385253659,3,2,830301,https://arxiv.org/abs/quant-ph/9605038
679758,quant-ph/9605034,98.91895449581921,3,1,336545,https://arxiv.org/abs/quant-ph/9605034
834738,1503.02531,59.67963250172154,1,1,697359,https://arxiv.org/abs/1503.02531
33192,hep-ex/9803006,64.12400736603726,2,0,741426,https://arxiv.org/abs/hep-ex/9803006
185046,hep-th/9501022,31.902733555779225,3,5,658293,https://arxiv.org/abs/hep-th/9501022
4668,hep-th/9810155,55.787126609452564,5,17,73078,https://arxiv.org/abs/hep-th/9810155
8268,hep-ph/9703442,32.39853592971294,1,2,67686,https://arxiv.org/abs/hep-ph/9703442
734466,1606.00915,40.18736480204752,1,7,697359,https://arxiv.org/abs/1606.00915
32910,quant-ph/9604024,165.40053309533843,12,11,830301,https://arxiv.org/abs/quant-ph/9604024
522972,hep-th/9806039,51.17882373207035,1,4,246082,https://arxiv.org/abs/hep-th/9806039
39510,1512.03385,155.247217978539,6,9,697359,https://arxiv.org/abs/1512.03385
394410,hep-ph/0210213,42.70515757079246,2,7,322217,https://arxiv.org/abs/hep-ph/0210213
80772,hep-th/9403108,30.375027171313267,1,1,644835,https://arxiv.org/abs/hep-th/9403108
783480,hep-th/9602064,56.47494726025336,13,20,658293,https://arxiv.org/abs/hep-th/9602064
412584,hep-ph/9612449,34.53197836373986,3,0,936761,https://arxiv.org/abs/hep-ph/9612449
760416,hep-th/9511043,88.5159235471848,14,6,658293,https://arxiv.org/abs/hep-th/9511043
252546,hep-th/9803001,63.3619274117644,5,8,852004,https://arxiv.org/abs/hep-th/9803001
679770,hep-th/9407021,32.671245337886,2,4,658293,https://arxiv.org/abs/hep-th/9407021
705558,hep-th/9210119,43.0664421755985,3,1,674918,https://arxiv.org/abs/hep-th/9210119
61278,1412.6572,53.205735199302474,1,3,778300,https://arxiv.org/abs/1412.6572
514824,cond-mat/0401115,34.12995299137819,2,0,464313,https://arxiv.org/abs/cond-mat/0401115
361524,hep-th/9802150,384.5817711588546,22,19,218682,https://arxiv.org/abs/hep-th/9802150
766344,1411.2539,85.65749753312922,6,7,377304,https://arxiv.org/abs/1411.2539
688410,hep-th/9805157,60.130886435252705,9,12,677654,https://arxiv.org/abs/hep-th/9805157
751740,hep-ph/0202270,33.03221432891422,2,0,590098,https://arxiv.org/abs/hep-ph/0202270
534144,1412.2604,44.898593091561956,1,2,697359,https://arxiv.org/abs/1412.2604
201084,hep-th/9505073,48.29425353980158,6,11,658293,https://arxiv.org/abs/hep-th/9505073
736386,hep-ph/9708256,43.82084609393805,3,2,67094,https://arxiv.org/abs/hep-ph/9708256
394026,hep-th/9512059,111.97387770082766,22,17,658293,https://arxiv.org/abs/hep-th/9512059
733170,hep-th/9802183,54.46067919721029,11,10,506615,https://arxiv.org/abs/hep-th/9802183
818148,quant-ph/9605005,65.53921821763724,5,9,348415,https://arxiv.org/abs/quant-ph/9605005
830442,hep-th/9611004,67.97685187104553,0,3,52066,https://arxiv.org/abs/hep-th/9611004
622212,hep-th/9606017,33.208630211995725,3,13,658293,https://arxiv.org/abs/hep-th/9606017
273216,astro-ph/0302213,33.130689184493704,1,1,748379,https://arxiv.org/abs/astro-ph/0302213
832068,hep-ph/9612313,32.38921353166602,2,0,197724,https://arxiv.org/abs/hep-ph/9612313
516216,astro-ph/9908168,45.03373322350259,4,1,246082,https://arxiv.org/abs/astro-ph/9908168
12,q-alg/9709040,185.30789587036395,3,1,835092,https://arxiv.org/abs/q-alg/9709040
36606,hep-th/9502072,127.09208086663998,12,12,658293,https://arxiv.org/abs/hep-th/9502072
99906,hep-th/9610236,37.4551153513023,3,5,281673,https://arxiv.org/abs/hep-th/9610236
775392,hep-th/9605009,37.21898684955891,4,5,644835,https://arxiv.org/abs/hep-th/9605009
385014,1409.2329,98.8458663952655,6,7,843965,https://arxiv.org/abs/1409.2329
252912,1405.0312,71.24624246720055,5,0,697359,https://arxiv.org/abs/1405.0312
406500,hep-th/9411048,102.18953069550119,13,3,80094,https://arxiv.org/abs/hep-th/9411048
180642,astro-ph/0012376,40.707491597990554,5,1,246082,https://arxiv.org/abs/astro-ph/0012376
240834,hep-th/9709220,40.96872415008425,7,12,281673,https://arxiv.org/abs/hep-th/9709220
789840,hep-th/9504027,147.45232548171717,21,12,658293,https://arxiv.org/abs/hep-th/9504027
495162,hep-th/9401139,209.70296686801115,11,3,83055,https://arxiv.org/abs/hep-th/9401139
959484,hep-ph/0508110,38.07710391356461,3,1,322217,https://arxiv.org/abs/hep-ph/0508110
62322,hep-th/9809124,57.517808568893805,8,9,677654,https://arxiv.org/abs/hep-th/9809124
507966,hep-th/9711162,96.68463287120069,5,8,271284,https://arxiv.org/abs/hep-th/9711162
719970,hep-th/9607201,50.81005831584777,3,41,658293,https://arxiv.org/abs/hep-th/9607201
290808,1312.5602,67.79317210752926,2,0,933208,https://arxiv.org/abs/1312.5602
516390,hep-th/9407111,234.67293285666634,12,5,658293,https://arxiv.org/abs/hep-th/9407111
932160,hep-ph/9503280,100.96168654354955,2,0,66367,https://arxiv.org/abs/hep-ph/9503280
475002,astro-ph/9809043,38.344044546902495,5,3,12886,https://arxiv.org/abs/astro-ph/9809043
67884,astro-ph/9708036,65.19401509143242,2,0,139048,https://arxiv.org/abs/astro-ph/9708036
818358,quant-ph/9712048,41.579406412954455,2,9,80157,https://arxiv.org/abs/quant-ph/9712048
549876,hep-ph/9701231,34.250526032993434,6,0,67686,https://arxiv.org/abs/hep-ph/9701231
589242,1509.02971,66.9902973846408,1,5,933208,https://arxiv.org/abs/1509.02971
827256,hep-th/9512219,68.79598825288572,12,11,658293,https://arxiv.org/abs/hep-th/9512219
712584,hep-th/9308122,35.79956034549608,2,0,658293,https://arxiv.org/abs/hep-th/9308122
293406,hep-th/9601177,32.97626964623401,10,15,259100,https://arxiv.org/abs/hep-th/9601177
650196,astro-ph/9805201,131.19115417559945,8,2,246082,https://arxiv.org/abs/astro-ph/9805201
731658,quant-ph/9605043,131.06278991951277,3,3,336545,https://arxiv.org/abs/quant-ph/9605043
200148,hep-ph/9309299,36.56360280771028,4,0,713694,https://arxiv.org/abs/hep-ph/9309299
76878,1410.4615,39.014558102359,2,4,843965,https://arxiv.org/abs/1410.4615
301008,hep-ph/9811350,43.01592326066598,4,10,799393,https://arxiv.org/abs/hep-ph/9811350
949596,hep-th/9510134,30.632903440609606,8,9,259100,https://arxiv.org/abs/hep-th/9510134
230550,hep-ph/9807278,41.44250171157272,1,4,226631,https://arxiv.org/abs/hep-ph/9807278
577224,hep-th/9308139,340.25359853068824,2,3,707647,https://arxiv.org/abs/hep-th/9308139
217818,hep-th/9504047,176.2699929035343,25,18,658293,https://arxiv.org/abs/hep-th/9504047
509826,hep-th/9504081,85.21391660252348,14,4,658293,https://arxiv.org/abs/hep-th/9504081
867084,nucl-ex/0106015,31.93567157123041,2,2,197069,https://arxiv.org/abs/nucl-ex/0106015
782394,hep-th/9311120,52.24759492205671,4,1,658293,https://arxiv.org/abs/hep-th/9311120
41202,1406.2199,51.90067213498339,1,1,684374,https://arxiv.org/abs/1406.2199
447372,hep-ph/9811291,59.2554977433155,8,12,799393,https://arxiv.org/abs/hep-ph/9811291
337782,hep-th/9603003,55.91644991692613,11,10,658293,https://arxiv.org/abs/hep-th/9603003
561366,astro-ph/0104459,34.92578083423449,1,8,12886,https://arxiv.org/abs/astro-ph/0104459
38796,quant-ph/9602022,79.60426752661373,8,0,348415,https://arxiv.org/abs/quant-ph/9602022
484938,hep-th/9506126,63.579825121575624,9,8,658293,https://arxiv.org/abs/hep-th/9506126
69282,cond-mat/0007360,51.063832937006005,1,1,47966,https://arxiv.org/abs/cond-mat/0007360
961542,hep-ph/9807344,96.18086302831601,10,9,513963,https://arxiv.org/abs/hep-ph/9807344
660924,1312.6229,179.41285543862983,9,1,697359,https://arxiv.org/abs/1312.6229
663942,hep-th/9507121,178.21279175207735,22,0,658293,https://arxiv.org/abs/hep-th/9507121
924252,hep-th/0106109,37.6389626468402,2,1,906660,https://arxiv.org/abs/hep-th/0106109
824622,hep-th/9704005,84.18021362508163,15,4,506615,https://arxiv.org/abs/hep-th/9704005
43242,hep-th/9603061,30.19462730820913,7,24,259100,https://arxiv.org/abs/hep-th/9603061
78162,hep-th/9306069,163.48680109886078,7,0,158248,https://arxiv.org/abs/hep-th/9306069
469668,hep-th/9205027,46.34026702039313,5,0,610437,https://arxiv.org/abs/hep-th/9205027
801366,hep-th/9612115,38.405084305059866,1,1,517884,https://arxiv.org/abs/hep-th/9612115
897156,hep-th/9503121,40.83052763700003,8,2,218682,https://arxiv.org/abs/hep-th/9503121
906384,1311.2901,274.6225269460252,10,2,697359,https://arxiv.org/abs/1311.2901
80094,hep-th/9503163,39.176100838212605,6,6,80094,https://arxiv.org/abs/hep-th/9503163
600594,hep-th/9505062,36.01975526971972,6,12,80094,https://arxiv.org/abs/hep-th/9505062
670782,hep-th/9906070,34.2778816669693,2,0,430130,https://arxiv.org/abs/hep-th/9906070
157440,hep-th/9712073,46.19319990212307,10,2,506615,https://arxiv.org/abs/hep-th/9712073
693228,hep-th/9605199,33.444542447141814,5,13,658293,https://arxiv.org/abs/hep-th/9605199
772920,hep-th/9512062,101.56462165642841,18,12,658293,https://arxiv.org/abs/hep-th/9512062
792942,hep-th/9611202,53.121428677440065,8,11,658293,https://arxiv.org/abs/hep-th/9611202
164580,1312.6120,83.09492392051494,5,0,697359,https://arxiv.org/abs/1312.6120
963714,1302.4389,79.06133594165892,6,1,697359,https://arxiv.org/abs/1302.4389
216570,hep-lat/9609035,35.01323426913438,1,2,243139,https://arxiv.org/abs/hep-lat/9609035
739794,astro-ph/9806374,56.45168036253658,1,1,12886,https://arxiv.org/abs/astro-ph/9806374
221190,astro-ph/9506070,43.619404639633466,1,1,627932,https://arxiv.org/abs/astro-ph/9506070
623730,hep-th/9602022,99.86593050480023,17,17,48666,https://arxiv.org/abs/hep-th/9602022
390552,hep-th/9212043,122.11575441034522,3,1,541031,https://arxiv.org/abs/hep-th/9212043
371322,hep-th/9606185,47.30673779377661,12,16,20620,https://arxiv.org/abs/hep-th/9606185
437946,astro-ph/0510346,47.2370276406401,2,0,436554,https://arxiv.org/abs/astro-ph/0510346
886890,quant-ph/9505019,35.34900026768467,2,2,599207,https://arxiv.org/abs/quant-ph/9505019
460278,hep-th/9604042,50.38218462986869,12,13,20620,https://arxiv.org/abs/hep-th/9604042
834888,hep-th/9906038,53.149110965631024,0,3,747419,https://arxiv.org/abs/hep-th/9906038
872796,cond-mat/0604211,44.018630664667874,3,1,328354,https://arxiv.org/abs/cond-mat/0604211
535572,quant-ph/9707002,42.935547601255514,2,6,599207,https://arxiv.org/abs/quant-ph/9707002
611070,hep-th/9301042,40.796599555076085,2,0,749052,https://arxiv.org/abs/hep-th/9301042
616554,hep-th/9803131,96.6128346425406,6,30,95741,https://arxiv.org/abs/hep-th/9803131
352992,astro-ph/9506094,33.05287302040749,1,1,957629,https://arxiv.org/abs/astro-ph/9506094
331182,hep-th/9603142,65.917075121983,11,4,658293,https://arxiv.org/abs/hep-th/9603142
402486,1212.0901,103.80819132769776,1,2,843965,https://arxiv.org/abs/1212.0901
857862,hep-ph/0312045,38.83581021267865,3,5,126308,https://arxiv.org/abs/hep-ph/0312045
292704,astro-ph/9808264,92.8009494607322,11,2,12886,https://arxiv.org/abs/astro-ph/9808264
362652,gr-qc/0110034,48.652471574744325,0,3,353358,https://arxiv.org/abs/gr-qc/0110034
594288,hep-ph/0412158,78.20907918391069,0,11,594288,https://arxiv.org/abs/hep-ph/0412158
870270,hep-th/9801076,40.42541818550462,9,12,506615,https://arxiv.org/abs/hep-th/9801076
893040,hep-ph/9804398,137.44215277115853,15,2,513963,https://arxiv.org/abs/hep-ph/9804398
528997,1306.2144,33.07222111170135,2,0,499007,https://arxiv.org/abs/1306.2144
854647,hep-ph/0204244,36.479730157490216,5,3,322217,https://arxiv.org/abs/hep-ph/0204244
235597,1411.4389,32.12030103125099,3,3,377304,https://arxiv.org/abs/1411.4389
866677,astro-ph/0609591,111.54434497487505,2,0,246082,https://arxiv.org/abs/astro-ph/0609591
739879,astro-ph/0603449,318.3199131820484,7,5,246082,https://arxiv.org/abs/astro-ph/0603449
819295,hep-th/9804085,38.04531248995559,2,14,694925,https://arxiv.org/abs/hep-th/9804085
90301,hep-th/9510016,127.25493753398348,1,3,658293,https://arxiv.org/abs/hep-th/9510016
288739,astro-ph/9803073,104.22391848714284,2,0,957629,https://arxiv.org/abs/astro-ph/9803073
773407,1409.0575,110.2612468044692,5,6,697359,https://arxiv.org/abs/1409.0575
162847,hep-ph/0002213,31.001783976016263,1,2,226963,https://arxiv.org/abs/hep-ph/0002213
850033,hep-ph/9403226,40.478715996102615,2,1,541704,https://arxiv.org/abs/hep-ph/9403226
229015,hep-th/9905210,30.605142438392793,2,12,345230,https://arxiv.org/abs/hep-th/9905210
361669,1607.02533,36.503008105214896,0,5,778300,https://arxiv.org/abs/1607.02533
551869,quant-ph/9605031,38.87576175107871,3,10,348415,https://arxiv.org/abs/quant-ph/9605031
268885,1006.0448,63.50785368557872,3,0,670118,https://arxiv.org/abs/1006.0448
566227,nucl-ex/0112006,30.538328429286615,1,2,107844,https://arxiv.org/abs/nucl-ex/0112006
231715,1412.7062,35.91341487166278,1,7,697359,https://arxiv.org/abs/1412.7062
723355,hep-th/9402032,162.15314959348285,17,3,658293,https://arxiv.org/abs/hep-th/9402032
263107,hep-th/9602065,73.99711365391622,15,9,395176,https://arxiv.org/abs/hep-th/9602065
689617,hep-th/9507090,53.266276355070474,12,0,259100,https://arxiv.org/abs/hep-th/9507090
722707,hep-ph/0002297,40.11365716306338,0,5,740215,https://arxiv.org/abs/hep-ph/0002297
861061,1206.1106,470.1208092144573,2,0,370710,https://arxiv.org/abs/1206.1106
78175,hep-th/9508143,140.3893811220068,24,10,658293,https://arxiv.org/abs/hep-th/9508143
464029,hep-th/9302109,68.8001817591416,5,0,610437,https://arxiv.org/abs/hep-th/9302109
691771,hep-th/9604128,87.25013751778803,3,0,52066,https://arxiv.org/abs/hep-th/9604128
199693,hep-th/9805170,31.61638569325413,2,5,590825,https://arxiv.org/abs/hep-th/9805170
198307,hep-th/9511088,75.11134990243453,17,8,658293,https://arxiv.org/abs/hep-th/9511088
582085,astro-ph/0205436,40.78329071477452,5,15,417408,https://arxiv.org/abs/astro-ph/0205436
269137,hep-th/9906064,150.30097119474547,7,9,345230,https://arxiv.org/abs/hep-th/9906064
260137,hep-th/9711165,48.580055795738055,2,6,271284,https://arxiv.org/abs/hep-th/9711165
849079,1602.07261,31.131291910643068,2,4,697359,https://arxiv.org/abs/1602.07261
754759,hep-th/9504147,53.4906881792402,13,16,259100,https://arxiv.org/abs/hep-th/9504147
648523,hep-th/9805028,37.08778187349269,2,7,218682,https://arxiv.org/abs/hep-th/9805028
783439,astro-ph/9608131,56.04549860770846,2,1,899079,https://arxiv.org/abs/astro-ph/9608131
725809,1511.06434,90.58847277138396,1,6,787631,https://arxiv.org/abs/1511.06434
765295,hep-th/9402005,119.13052115893515,6,0,73078,https://arxiv.org/abs/hep-th/9402005
50539,hep-th/9510182,33.20153175332809,1,22,658293,https://arxiv.org/abs/hep-th/9510182
800443,quant-ph/9612026,62.02969986702852,1,2,336545,https://arxiv.org/abs/quant-ph/9612026
284755,cond-mat/0009244,49.537081147295474,0,2,47966,https://arxiv.org/abs/cond-mat/0009244
258949,gr-qc/9409015,32.071324551785516,0,2,949133,https://arxiv.org/abs/gr-qc/9409015
34831,hep-th/9902121,41.36307000333278,2,8,95741,https://arxiv.org/abs/hep-th/9902121
80629,hep-th/9702103,35.31966248459121,4,4,610437,https://arxiv.org/abs/hep-th/9702103
12637,1409.5185,39.78700213157722,3,3,697359,https://arxiv.org/abs/1409.5185
624049,hep-th/9501030,157.4892544357679,18,9,658293,https://arxiv.org/abs/hep-th/9501030
533833,1306.1091,51.57333290620728,1,2,370710,https://arxiv.org/abs/1306.1091
765349,1406.1078,86.39371502378766,3,1,843965,https://arxiv.org/abs/1406.1078
58981,hep-ph/9806263,32.38157203849424,8,4,677654,https://arxiv.org/abs/hep-ph/9806263
593581,hep-th/9302103,50.667788507101356,3,0,499680,https://arxiv.org/abs/hep-th/9302103
429223,1308.4214,231.99508504088914,5,1,697359,https://arxiv.org/abs/1308.4214
313531,quant-ph/9908073,51.45595470271673,2,7,599207,https://arxiv.org/abs/quant-ph/9908073
686503,quant-ph/9707021,105.16251842438305,4,7,257234,https://arxiv.org/abs/quant-ph/9707021
567379,1412.2306,66.35204987984932,3,9,377304,https://arxiv.org/abs/1412.2306
517675,1401.1022,55.286287637674924,1,2,787631,https://arxiv.org/abs/1401.1022
773389,astro-ph/0212289,61.45694923163564,7,6,260455,https://arxiv.org/abs/astro-ph/0212289
517993,hep-th/9611230,53.91545727114975,2,7,325967,https://arxiv.org/abs/hep-th/9611230
675871,hep-th/9602052,166.00976345280162,27,27,658293,https://arxiv.org/abs/hep-th/9602052
794425,hep-th/9511026,74.54334291938315,14,6,658293,https://arxiv.org/abs/hep-th/9511026
169357,1403.6382,82.90105612704508,4,2,697359,https://arxiv.org/abs/1403.6382
772801,hep-ph/9806292,63.28068209163353,7,8,677654,https://arxiv.org/abs/hep-ph/9806292
217837,hep-th/9406179,53.050846344365276,2,0,767552,https://arxiv.org/abs/hep-th/9406179
343585,hep-th/9904017,39.19234823319039,5,13,302874,https://arxiv.org/abs/hep-th/9904017
4231,hep-ph/9804403,57.447674165981745,2,2,67094,https://arxiv.org/abs/hep-ph/9804403
234571,hep-th/9506194,170.63849224987246,17,7,658293,https://arxiv.org/abs/hep-th/9506194
285619,hep-th/9607163,49.42402516650738,4,3,487873,https://arxiv.org/abs/hep-th/9607163
164407,1502.03167,184.0011511559878,6,4,697359,https://arxiv.org/abs/1502.03167
115699,hep-th/9509070,37.13708327811421,2,25,658293,https://arxiv.org/abs/hep-th/9509070
912619,hep-th/9406128,121.75782689224863,7,4,658293,https://arxiv.org/abs/hep-th/9406128
843865,1502.04623,37.90982403571235,2,4,787631,https://arxiv.org/abs/1502.04623
802843,nucl-ex/0204008,55.05608140823006,2,0,197069,https://arxiv.org/abs/nucl-ex/0204008
130507,hep-ph/9704448,31.440993183937614,6,0,181332,https://arxiv.org/abs/hep-ph/9704448
864535,hep-th/9503179,43.36906957458707,6,15,358445,https://arxiv.org/abs/hep-th/9503179
589591,hep-th/9611164,46.87483864906667,8,3,281673,https://arxiv.org/abs/hep-th/9611164
121189,hep-th/0105097,41.462536131513644,2,11,430130,https://arxiv.org/abs/hep-th/0105097
163,quant-ph/9604023,68.02848557692997,6,0,599207,https://arxiv.org/abs/quant-ph/9604023
563725,hep-th/9607149,31.860058067792266,9,14,20620,https://arxiv.org/abs/hep-th/9607149
616279,hep-th/9404151,105.60846405155601,13,2,658293,https://arxiv.org/abs/hep-th/9404151
362095,cond-mat/0407066,147.71094010522188,2,2,104883,https://arxiv.org/abs/cond-mat/0407066
769321,quant-ph/9807006,52.84243301678385,0,6,75061,https://arxiv.org/abs/quant-ph/9807006
313669,hep-th/9603150,32.2910827130988,6,8,658293,https://arxiv.org/abs/hep-th/9603150
209107,quant-ph/9607024,61.148953231929355,2,0,336545,https://arxiv.org/abs/quant-ph/9607024
552577,astro-ph/9603033,68.26444619231728,4,0,246082,https://arxiv.org/abs/astro-ph/9603033
969631,hep-th/9506112,54.985607795240654,8,8,658293,https://arxiv.org/abs/hep-th/9506112
966109,hep-th/9609046,49.08032820477355,3,3,240708,https://arxiv.org/abs/hep-th/9609046
782281,hep-ph/9912223,39.63911070403079,1,2,226963,https://arxiv.org/abs/hep-ph/9912223
980821,1312.6026,31.59870015127554,2,3,843965,https://arxiv.org/abs/1312.6026
336475,hep-th/9804058,43.02842890842496,3,19,218682,https://arxiv.org/abs/hep-th/9804058
512959,hep-th/9708147,37.81665491944993,4,11,679045,https://arxiv.org/abs/hep-th/9708147
