Id,Label,PageRank,InDegree,OutDegree,Community,VizLabel,Url
237336,"hep-th/9401133",151.9649234400433,3,0,487873,"hep-th/9401133 (in=3)",https://arxiv.org/abs/hep-th/9401133
769932,"hep-th/9501068",151.84606029649743,6,1,658293,"hep-th/9501068 (in=6)",https://arxiv.org/abs/hep-th/9501068
466896,"hep-th/9510017",447.30677773632004,6,3,658293,"hep-th/9510017 (in=6)",https://arxiv.org/abs/hep-th/9510017
371166,"hep-th/9408099",242.10970592283982,5,4,80094,"hep-th/9408099 (in=5)",https://arxiv.org/abs/hep-th/9408099
39510,"1512.03385",155.247217978539,0,3,697359,"1512.03385 (in=0)",https://arxiv.org/abs/1512.03385
361524,"hep-th/9802150",384.5817711588546,1,2,218682,"hep-th/9802150 (in=1)",https://arxiv.org/abs/hep-th/9802150
36606,"hep-th/9502072",127.09208086663998,2,6,658293,"hep-th/9502072 (in=2)",https://arxiv.org/abs/hep-th/9502072
789840,"hep-th/9504027",147.45232548171717,3,9,658293,"hep-th/9504027 (in=3)",https://arxiv.org/abs/hep-th/9504027
495162,"hep-th/9401139",209.70296686801115,4,1,83055,"hep-th/9401139 (in=4)",https://arxiv.org/abs/hep-th/9401139
516390,"hep-th/9407111",234.67293285666634,6,4,658293,"hep-th/9407111 (in=6)",https://arxiv.org/abs/hep-th/9407111
650196,"astro-ph/9805201",131.19115417559945,2,0,246082,"astro-ph/9805201 (in=2)",https://arxiv.org/abs/astro-ph/9805201
217818,"hep-th/9504047",176.2699929035343,3,12,658293,"hep-th/9504047 (in=3)",https://arxiv.org/abs/hep-th/9504047
660924,"1312.6229",179.41285543862983,1,1,697359,"1312.6229 (in=1)",https://arxiv.org/abs/1312.6229
663942,"hep-th/9507121",178.21279175207735,2,0,658293,"hep-th/9507121 (in=2)",https://arxiv.org/abs/hep-th/9507121
906384,"1311.2901",274.6225269460252,1,2,697359,"1311.2901 (in=1)",https://arxiv.org/abs/1311.2901
893040,"hep-ph/9804398",137.44215277115853,2,1,513963,"hep-ph/9804398 (in=2)",https://arxiv.org/abs/hep-ph/9804398
739879,"astro-ph/0603449",318.3199131820484,1,1,246082,"astro-ph/0603449 (in=1)",https://arxiv.org/abs/astro-ph/0603449
90301,"hep-th/9510016",127.25493753398348,1,1,658293,"hep-th/9510016 (in=1)",https://arxiv.org/abs/hep-th/9510016
723355,"hep-th/9402032",162.15314959348285,6,2,658293,"hep-th/9402032 (in=6)",https://arxiv.org/abs/hep-th/9402032
861061,"1206.1106",470.1208092144573,2,0,370710,"1206.1106 (in=2)",https://arxiv.org/abs/1206.1106
78175,"hep-th/9508143",140.3893811220068,2,4,658293,"hep-th/9508143 (in=2)",https://arxiv.org/abs/hep-th/9508143
269137,"hep-th/9906064",150.30097119474547,0,5,345230,"hep-th/9906064 (in=0)",https://arxiv.org/abs/hep-th/9906064
624049,"hep-th/9501030",157.4892544357679,5,5,658293,"hep-th/9501030 (in=5)",https://arxiv.org/abs/hep-th/9501030
429223,"1308.4214",231.99508504088914,1,1,697359,"1308.4214 (in=1)",https://arxiv.org/abs/1308.4214
675871,"hep-th/9602052",166.00976345280162,2,6,658293,"hep-th/9602052 (in=2)",https://arxiv.org/abs/hep-th/9602052
234571,"hep-th/9506194",170.63849224987246,4,4,658293,"hep-th/9506194 (in=4)",https://arxiv.org/abs/hep-th/9506194
762859,"astro-ph/0302209",201.28043945402052,2,0,246082,"astro-ph/0302209 (in=2)",https://arxiv.org/abs/astro-ph/0302209
817255,"hep-th/9507050",187.76558067397715,2,4,658293,"hep-th/9507050 (in=2)",https://arxiv.org/abs/hep-th/9507050
861535,"hep-th/9408074",244.77721270072672,9,2,658293,"hep-th/9408074 (in=9)",https://arxiv.org/abs/hep-th/9408074
139663,"1310.1531",393.40116492964387,3,1,697359,"1310.1531 (in=3)",https://arxiv.org/abs/1310.1531
886147,"1312.4400",149.96939807307862,2,1,697359,"1312.4400 (in=2)",https://arxiv.org/abs/1312.4400
652747,"hep-th/9503124",352.68046573116794,9,5,658293,"hep-th/9503124 (in=9)",https://arxiv.org/abs/hep-th/9503124
698186,"hep-th/9510169",158.9345916513051,4,2,658293,"hep-th/9510169 (in=4)",https://arxiv.org/abs/hep-th/9510169
3344,"1311.3715",146.28146653547597,1,1,697359,"1311.3715 (in=1)",https://arxiv.org/abs/1311.3715
33428,"hep-th/9601029",179.84408903933019,4,3,259100,"hep-th/9601029 (in=4)",https://arxiv.org/abs/hep-th/9601029
460550,"hep-th/9504090",327.31495393590114,4,7,658293,"hep-th/9504090 (in=4)",https://arxiv.org/abs/hep-th/9504090
421466,"1409.4842",322.08406493896996,1,3,697359,"1409.4842 (in=1)",https://arxiv.org/abs/1409.4842
243740,"hep-th/9411149",145.12664296610222,1,7,358445,"hep-th/9411149 (in=1)",https://arxiv.org/abs/hep-th/9411149
145820,"1408.5093",326.01527919453656,1,2,970136,"1408.5093 (in=1)",https://arxiv.org/abs/1408.5093
713786,"hep-th/9802109",346.7555509106864,2,3,218682,"hep-th/9802109 (in=2)",https://arxiv.org/abs/hep-th/9802109
809936,"hep-th/9407087",349.8492455079634,7,4,80094,"hep-th/9407087 (in=7)",https://arxiv.org/abs/hep-th/9407087
908732,"hep-ph/9803315",249.67890386983333,3,1,513963,"hep-ph/9803315 (in=3)",https://arxiv.org/abs/hep-ph/9803315
485511,"hep-th/9403198",131.9756817924121,3,1,80094,"hep-th/9403198 (in=3)",https://arxiv.org/abs/hep-th/9403198
809643,"1412.6980",590.9366354691834,0,4,711101,"1412.6980 (in=0)",https://arxiv.org/abs/1412.6980
50277,"hep-ph/9905221",154.06494434706917,1,3,345230,"hep-ph/9905221 (in=1)",https://arxiv.org/abs/hep-ph/9905221
604011,"1308.0850",431.3434921252397,2,0,843965,"1308.0850 (in=2)",https://arxiv.org/abs/1308.0850
515379,"1502.01589",173.37378133146484,0,5,126308,"1502.01589 (in=0)",https://arxiv.org/abs/1502.01589
473193,"hep-th/9711200",556.2940054324418,3,3,218682,"hep-th/9711200 (in=3)",https://arxiv.org/abs/hep-th/9711200
570165,"hep-th/9410167",318.29058421788193,10,3,658293,"hep-th/9410167 (in=10)",https://arxiv.org/abs/hep-th/9410167
234063,"hep-th/9905111",139.30441593441418,1,16,218682,"hep-th/9905111 (in=1)",https://arxiv.org/abs/hep-th/9905111
784533,"0803.0547",149.50020046394744,1,1,246082,"0803.0547 (in=1)",https://arxiv.org/abs/0803.0547
123279,"1212.5701",430.6771390567946,2,1,44691,"1212.5701 (in=2)",https://arxiv.org/abs/1212.5701
697359,"1409.1556",836.8941422866658,0,3,711101,"1409.1556 (in=0)",https://arxiv.org/abs/1409.1556
894994,"1409.0473",233.42361681860592,0,2,843965,"1409.0473 (in=0)",https://arxiv.org/abs/1409.0473
658402,"hep-th/9405117",128.61169192906365,2,0,259100,"hep-th/9405117 (in=2)",https://arxiv.org/abs/hep-th/9405117
837286,"hep-th/9402002",470.80873287520126,11,2,658293,"hep-th/9402002 (in=11)",https://arxiv.org/abs/hep-th/9402002
710410,"astro-ph/9812133",133.72274212237352,2,0,246082,"astro-ph/9812133 (in=2)",https://arxiv.org/abs/astro-ph/9812133
795286,"gr-qc/9310026",187.14551756766338,3,0,644835,"gr-qc/9310026 (in=3)",https://arxiv.org/abs/gr-qc/9310026
108058,"hep-th/9412184",150.78958532337614,5,6,658293,"hep-th/9412184 (in=5)",https://arxiv.org/abs/hep-th/9412184
880450,"hep-th/9402044",285.5013758983038,4,0,358445,"hep-th/9402044 (in=4)",https://arxiv.org/abs/hep-th/9402044
339616,"hep-th/9512077",143.3812494189343,3,4,658293,"hep-th/9512077 (in=3)",https://arxiv.org/abs/hep-th/9512077
956944,"hep-th/9610043",245.61281583046835,3,6,658293,"hep-th/9610043 (in=3)",https://arxiv.org/abs/hep-th/9610043
148930,"1001.4538",132.15244725282267,1,1,246082,"1001.4538 (in=1)",https://arxiv.org/abs/1001.4538
188152,"hep-th/9309145",373.89192068673646,4,0,259100,"hep-th/9309145 (in=4)",https://arxiv.org/abs/hep-th/9309145
93677,"hep-th/9611050",393.3448248704955,2,9,658293,"hep-th/9611050 (in=2)",https://arxiv.org/abs/hep-th/9611050
245747,"1207.0580",1321.2196460568564,8,0,697359,"1207.0580 (in=8)",https://arxiv.org/abs/1207.0580
561887,"hep-th/9510209",179.99104236152684,5,7,658293,"hep-th/9510209 (in=5)",https://arxiv.org/abs/hep-th/9510209
717785,"1303.5076",208.8673164841711,1,5,417408,"1303.5076 (in=1)",https://arxiv.org/abs/1303.5076
664421,"hep-th/9305139",140.46471130028638,2,0,658293,"hep-th/9305139 (in=2)",https://arxiv.org/abs/hep-th/9305139
718679,"astro-ph/0206039",199.34038799264007,3,0,794674,"astro-ph/0206039 (in=3)",https://arxiv.org/abs/astro-ph/0206039
330419,"hep-th/9510135",300.20675919941976,7,9,658293,"hep-th/9510135 (in=7)",https://arxiv.org/abs/hep-th/9510135
