Id,Label,PageRank,InDegree,OutDegree,Community,NeighborCommunities,BridgeScore,VizLabel,Url
769932,"hep-th/9501068",151.84606029649743,364,1,658293,2,303.69212059299485,"hep-th/9501068 (nComm=2, bScore=303.692)",https://arxiv.org/abs/hep-th/9501068
394026,"hep-th/9512059",111.97387770082766,513,20,658293,3,335.921633102483,"hep-th/9512059 (nComm=3, bScore=335.922)",https://arxiv.org/abs/hep-th/9512059
509826,"hep-th/9504081",85.21391660252348,323,5,658293,2,170.42783320504697,"hep-th/9504081 (nComm=2, bScore=170.428)",https://arxiv.org/abs/hep-th/9504081
516390,"hep-th/9407111",234.67293285666634,43,5,658293,2,469.34586571333267,"hep-th/9407111 (nComm=2, bScore=469.346)",https://arxiv.org/abs/hep-th/9407111
466896,"hep-th/9510017",447.30677773632004,1410,3,658293,9,4025.76099962688,"hep-th/9510017 (nComm=9, bScore=4025.761)",https://arxiv.org/abs/hep-th/9510017
766344,"1411.2539",85.65749753312922,156,7,697359,3,256.97249259938764,"1411.2539 (nComm=3, bScore=256.972)",https://arxiv.org/abs/1411.2539
164580,"1312.6120",83.09492392051494,171,0,697359,1,83.09492392051494,"1312.6120 (nComm=1, bScore=83.095)",https://arxiv.org/abs/1312.6120
406500,"hep-th/9411048",102.18953069550119,300,3,80094,3,306.5685920865036,"hep-th/9411048 (nComm=3, bScore=306.569)",https://arxiv.org/abs/hep-th/9411048
240396,"astro-ph/0207156",290.0934699341966,925,0,450604,0,0.0,"astro-ph/0207156 (nComm=0, bScore=0.000)",https://arxiv.org/abs/astro-ph/0207156
772920,"hep-th/9512062",101.56462165642841,328,13,658293,1,101.56462165642841,"hep-th/9512062 (nComm=1, bScore=101.565)",https://arxiv.org/abs/hep-th/9512062
121620,"0805.2366",119.99785716172666,742,15,815264,2,239.9957143234533,"0805.2366 (nComm=2, bScore=239.996)",https://arxiv.org/abs/0805.2366
495162,"hep-th/9401139",209.70296686801115,462,11,83055,3,629.1089006040335,"hep-th/9401139 (nComm=3, bScore=629.109)",https://arxiv.org/abs/hep-th/9401139
616554,"hep-th/9803131",96.6128346425406,1993,52,95741,5,483.06417321270305,"hep-th/9803131 (nComm=5, bScore=483.064)",https://arxiv.org/abs/hep-th/9803131
824622,"hep-th/9704005",84.18021362508163,125,4,506615,4,336.72085450032654,"hep-th/9704005 (nComm=4, bScore=336.721)",https://arxiv.org/abs/hep-th/9704005
577224,"hep-th/9308139",340.25359853068824,117,3,707647,3,1020.7607955920647,"hep-th/9308139 (nComm=3, bScore=1020.761)",https://arxiv.org/abs/hep-th/9308139
347166,"1107.2490",207.01567918238354,27,0,697359,1,207.01567918238354,"1107.2490 (nComm=1, bScore=207.016)",https://arxiv.org/abs/1107.2490
32910,"quant-ph/9604024",165.40053309533843,306,14,599207,2,330.80106619067686,"quant-ph/9604024 (nComm=2, bScore=330.801)",https://arxiv.org/abs/quant-ph/9604024
36606,"hep-th/9502072",127.09208086663998,183,15,658293,3,381.2762425999199,"hep-th/9502072 (nComm=3, bScore=381.276)",https://arxiv.org/abs/hep-th/9502072
12,"q-alg/9709040",185.30789587036395,773,6,835092,2,370.6157917407279,"q-alg/9709040 (nComm=2, bScore=370.616)",https://arxiv.org/abs/q-alg/9709040
292704,"astro-ph/9808264",92.8009494607322,81,18,12886,1,92.8009494607322,"astro-ph/9808264 (nComm=1, bScore=92.801)",https://arxiv.org/abs/astro-ph/9808264
237336,"hep-th/9401133",151.9649234400433,29,0,487873,1,151.9649234400433,"hep-th/9401133 (nComm=1, bScore=151.965)",https://arxiv.org/abs/hep-th/9401133
402486,"1212.0901",103.80819132769776,8,2,843965,1,103.80819132769776,"1212.0901 (nComm=1, bScore=103.808)",https://arxiv.org/abs/1212.0901
789840,"hep-th/9504027",147.45232548171717,126,19,658293,1,147.45232548171717,"hep-th/9504027 (nComm=1, bScore=147.452)",https://arxiv.org/abs/hep-th/9504027
847044,"hep-th/9601038",85.97885681523914,474,7,658293,3,257.9365704457174,"hep-th/9601038 (nComm=3, bScore=257.937)",https://arxiv.org/abs/hep-th/9601038
893040,"hep-ph/9804398",137.44215277115853,1837,2,513963,3,412.3264583134756,"hep-ph/9804398 (nComm=3, bScore=412.326)",https://arxiv.org/abs/hep-ph/9804398
660924,"1312.6229",179.41285543862983,380,1,697359,1,179.41285543862983,"1312.6229 (nComm=1, bScore=179.413)",https://arxiv.org/abs/1312.6229
390552,"hep-th/9212043",122.11575441034522,57,3,541031,2,244.23150882069044,"hep-th/9212043 (nComm=2, bScore=244.232)",https://arxiv.org/abs/hep-th/9212043
361524,"hep-th/9802150",384.5817711588546,6600,21,218682,4,1538.3270846354185,"hep-th/9802150 (nComm=4, bScore=1538.327)",https://arxiv.org/abs/hep-th/9802150
640848,"astro-ph/9905116",140.45523148614237,380,0,556956,0,0.0,"astro-ph/9905116 (nComm=0, bScore=0.000)",https://arxiv.org/abs/astro-ph/9905116
650196,"astro-ph/9805201",131.19115417559945,2645,2,246082,2,262.3823083511989,"astro-ph/9805201 (nComm=2, bScore=262.382)",https://arxiv.org/abs/astro-ph/9805201
679758,"quant-ph/9605034",98.91895449581921,124,1,336545,1,98.91895449581921,"quant-ph/9605034 (nComm=1, bScore=98.919)",https://arxiv.org/abs/quant-ph/9605034
78162,"hep-th/9306069",163.48680109886078,472,0,158248,4,653.9472043954431,"hep-th/9306069 (nComm=4, bScore=653.947)",https://arxiv.org/abs/hep-th/9306069
760416,"hep-th/9511043",88.5159235471848,270,9,658293,2,177.0318470943696,"hep-th/9511043 (nComm=2, bScore=177.032)",https://arxiv.org/abs/hep-th/9511043
932160,"hep-ph/9503280",100.96168654354955,167,0,66367,1,100.96168654354955,"hep-ph/9503280 (nComm=1, bScore=100.962)",https://arxiv.org/abs/hep-ph/9503280
158850,"astro-ph/0306213",87.31847471805344,376,4,40708,0,0.0,"astro-ph/0306213 (nComm=0, bScore=0.000)",https://arxiv.org/abs/astro-ph/0306213
961542,"hep-ph/9807344",96.18086302831601,979,11,513963,5,480.90431514158007,"hep-ph/9807344 (nComm=5, bScore=480.904)",https://arxiv.org/abs/hep-ph/9807344
385014,"1409.2329",98.8458663952655,399,11,843965,2,197.691732790531,"1409.2329 (nComm=2, bScore=197.692)",https://arxiv.org/abs/1409.2329
152076,"hep-th/9507048",92.70916442538562,245,1,658293,1,92.70916442538562,"hep-th/9507048 (nComm=1, bScore=92.709)",https://arxiv.org/abs/hep-th/9507048
39510,"1512.03385",155.247217978539,1195,10,697359,2,310.494435957078,"1512.03385 (nComm=2, bScore=310.494)",https://arxiv.org/abs/1512.03385
731658,"quant-ph/9605043",131.06278991951277,251,3,336545,2,262.12557983902553,"quant-ph/9605043 (nComm=2, bScore=262.126)",https://arxiv.org/abs/quant-ph/9605043
906384,"1311.2901",274.6225269460252,178,2,697359,3,823.8675808380756,"1311.2901 (nComm=3, bScore=823.868)",https://arxiv.org/abs/1311.2901
963714,"1302.4389",79.06133594165892,147,2,697359,2,158.12267188331785,"1302.4389 (nComm=2, bScore=158.123)",https://arxiv.org/abs/1302.4389
507966,"hep-th/9711162",96.68463287120069,1065,17,271284,4,386.73853148480276,"hep-th/9711162 (nComm=4, bScore=386.739)",https://arxiv.org/abs/hep-th/9711162
623730,"hep-th/9602022",99.86593050480023,910,21,48666,2,199.73186100960046,"hep-th/9602022 (nComm=2, bScore=199.732)",https://arxiv.org/abs/hep-th/9602022
38796,"quant-ph/9602022",79.60426752661373,32,0,348415,2,159.20853505322745,"quant-ph/9602022 (nComm=2, bScore=159.209)",https://arxiv.org/abs/quant-ph/9602022
663942,"hep-th/9507121",178.21279175207735,571,0,658293,3,534.638375256232,"hep-th/9507121 (nComm=3, bScore=534.638)",https://arxiv.org/abs/hep-th/9507121
371166,"hep-th/9408099",242.10970592283982,1288,5,80094,5,1210.5485296141992,"hep-th/9408099 (nComm=5, bScore=1210.549)",https://arxiv.org/abs/hep-th/9408099
940956,"math/0211065",244.43044385421018,3,0,723276,1,244.43044385421018,"math/0211065 (nComm=1, bScore=244.430)",https://arxiv.org/abs/math/0211065
217818,"hep-th/9504047",176.2699929035343,155,21,658293,3,528.8099787106029,"hep-th/9504047 (nComm=3, bScore=528.810)",https://arxiv.org/abs/hep-th/9504047
112993,"hep-th/9602135",87.68822392431517,385,17,95741,4,350.75289569726067,"hep-th/9602135 (nComm=4, bScore=350.753)",https://arxiv.org/abs/hep-th/9602135
917287,"hep-th/9510225",101.6676044645744,185,8,658293,6,610.0056267874463,"hep-th/9510225 (nComm=6, bScore=610.006)",https://arxiv.org/abs/hep-th/9510225
765295,"hep-th/9402005",119.13052115893515,124,0,73078,2,238.2610423178703,"hep-th/9402005 (nComm=2, bScore=238.261)",https://arxiv.org/abs/hep-th/9402005
90301,"hep-th/9510016",127.25493753398348,5,5,658293,1,127.25493753398348,"hep-th/9510016 (nComm=1, bScore=127.255)",https://arxiv.org/abs/hep-th/9510016
691771,"hep-th/9604128",87.25013751778803,95,4,52066,0,0.0,"hep-th/9604128 (nComm=0, bScore=0.000)",https://arxiv.org/abs/hep-th/9604128
624049,"hep-th/9501030",157.4892544357679,95,12,658293,4,629.9570177430716,"hep-th/9501030 (nComm=4, bScore=629.957)",https://arxiv.org/abs/hep-th/9501030
836203,"quant-ph/9604034",101.53332398995673,106,5,348415,2,203.06664797991345,"quant-ph/9604034 (nComm=2, bScore=203.067)",https://arxiv.org/abs/quant-ph/9604034
76099,"hep-ph/0603175",125.92547518439396,4021,38,322217,1,125.92547518439396,"hep-ph/0603175 (nComm=1, bScore=125.925)",https://arxiv.org/abs/hep-ph/0603175
