Id,Label,PageRank,InDegree,OutDegree,Community,NeighborCommunities,BridgeScore,Url
494130,math-ph/0104012,26.916984841501282,74,6,147661,2,53.833969683002564,https://arxiv.org/abs/math-ph/0104012
509826,hep-th/9504081,85.21391660252348,323,5,658293,7,596.4974162176644,https://arxiv.org/abs/hep-th/9504081
627078,astro-ph/0303614,20.410930152172472,332,14,839219,3,61.23279045651742,https://arxiv.org/abs/astro-ph/0303614
169284,quant-ph/9702049,20.690453489739497,47,6,599207,4,82.76181395895799,https://arxiv.org/abs/quant-ph/9702049
200148,hep-ph/9309299,36.56360280771028,209,0,713694,3,109.69080842313085,https://arxiv.org/abs/hep-ph/9309299
426372,astro-ph/9708016,26.890608117151004,10,10,193516,2,53.78121623430201,https://arxiv.org/abs/astro-ph/9708016
117804,hep-th/0203211,20.70698847433737,575,69,590825,4,82.82795389734947,https://arxiv.org/abs/hep-th/0203211
40206,0812.2656,27.814899472696414,6,2,204928,2,55.62979894539283,https://arxiv.org/abs/0812.2656
164580,1312.6120,83.09492392051494,171,0,697359,3,249.28477176154485,https://arxiv.org/abs/1312.6120
782394,hep-th/9311120,52.24759492205671,16,1,658293,2,104.49518984411343,https://arxiv.org/abs/hep-th/9311120
772920,hep-th/9512062,101.56462165642841,328,13,658293,12,1218.775459877141,https://arxiv.org/abs/hep-th/9512062
121620,0805.2366,119.99785716172666,742,15,815264,2,239.9957143234533,https://arxiv.org/abs/0805.2366
782118,hep-ph/9605317,24.960035787085896,132,0,498926,2,49.92007157417179,https://arxiv.org/abs/hep-ph/9605317
219120,hep-ph/9807513,36.19533514671774,300,8,590098,1,36.19533514671774,https://arxiv.org/abs/hep-ph/9807513
867036,hep-ex/0105044,36.25206219120465,126,0,946271,2,72.5041243824093,https://arxiv.org/abs/hep-ex/0105044
41202,1406.2199,51.90067213498339,24,3,684374,3,155.70201640495017,https://arxiv.org/abs/1406.2199
390162,hep-ph/9509279,29.035069837471664,16,1,355969,2,58.07013967494333,https://arxiv.org/abs/hep-ph/9509279
549876,hep-ph/9701231,34.250526032993434,130,5,67686,6,205.5031561979606,https://arxiv.org/abs/hep-ph/9701231
371322,hep-th/9606185,47.30673779377661,235,30,20620,8,378.4539023502129,https://arxiv.org/abs/hep-th/9606185
240708,hep-th/9608019,21.377811954087516,120,21,240708,8,171.02249563270013,https://arxiv.org/abs/hep-th/9608019
959484,hep-ph/0508110,38.07710391356461,346,3,322217,1,38.07710391356461,https://arxiv.org/abs/hep-ph/0508110
777114,gr-qc/9312002,52.49540281956635,74,0,644835,1,52.49540281956635,https://arxiv.org/abs/gr-qc/9312002
62322,hep-th/9809124,57.517808568893805,213,13,677654,8,460.14246855115044,https://arxiv.org/abs/hep-th/9809124
337782,hep-th/9603003,55.91644991692613,332,19,658293,10,559.1644991692614,https://arxiv.org/abs/hep-th/9603003
439632,hep-ph/0103234,31.1342673502867,90,4,436635,2,62.2685347005734,https://arxiv.org/abs/hep-ph/0103234
476940,0809.3097,23.985658023655958,19,2,155969,0,0.0,https://arxiv.org/abs/0809.3097
611070,hep-th/9301042,40.796599555076085,861,0,749052,5,203.98299777538043,https://arxiv.org/abs/hep-th/9301042
158982,quant-ph/9705031,24.704576853505795,61,13,599207,5,123.52288426752898,https://arxiv.org/abs/quant-ph/9705031
380736,nucl-th/9509032,32.025080854103834,96,0,538519,1,32.025080854103834,https://arxiv.org/abs/nucl-th/9509032
514824,cond-mat/0401115,34.12995299137819,67,0,464313,2,68.25990598275638,https://arxiv.org/abs/cond-mat/0401115
289872,hep-th/9508094,24.230489807346306,181,7,259100,5,121.15244903673153,https://arxiv.org/abs/hep-th/9508094
908460,0704.3011,42.68825622493721,183,9,882508,2,85.37651244987443,https://arxiv.org/abs/0704.3011
523272,gr-qc/0204090,33.02095657309649,156,13,66152,1,33.02095657309649,https://arxiv.org/abs/gr-qc/0204090
12,q-alg/9709040,185.30789587036395,773,6,835092,6,1111.8473752221837,https://arxiv.org/abs/q-alg/9709040
