Id,Label,PageRank,InDegree,OutDegree,Community,VizLabel,Url
237336,"hep-th/9401133",151.9649234400433,29,0,487873,"hep-th/9401133 (in=29)",https://arxiv.org/abs/hep-th/9401133
769932,"hep-th/9501068",151.84606029649743,364,1,658293,"hep-th/9501068 (in=364)",https://arxiv.org/abs/hep-th/9501068
466896,"hep-th/9510017",447.30677773632004,1410,3,658293,"hep-th/9510017 (in=1410)",https://arxiv.org/abs/hep-th/9510017
371166,"hep-th/9408099",242.10970592283982,1288,5,80094,"hep-th/9408099 (in=1288)",https://arxiv.org/abs/hep-th/9408099
32910,"quant-ph/9604024",165.40053309533843,306,14,599207,"quant-ph/9604024 (in=306)",https://arxiv.org/abs/quant-ph/9604024
39510,"1512.03385",155.247217978539,1195,10,697359,"1512.03385 (in=1195)",https://arxiv.org/abs/1512.03385
361524,"hep-th/9802150",384.5817711588546,6600,21,218682,"hep-th/9802150 (in=6600)",https://arxiv.org/abs/hep-th/9802150
940956,"math/0211065",244.43044385421018,3,0,723276,"math/0211065 (in=3)",https://arxiv.org/abs/math/0211065
12,"q-alg/9709040",185.30789587036395,773,6,835092,"q-alg/9709040 (in=773)",https://arxiv.org/abs/q-alg/9709040
36606,"hep-th/9502072",127.09208086663998,183,15,658293,"hep-th/9502072 (in=183)",https://arxiv.org/abs/hep-th/9502072
789840,"hep-th/9504027",147.45232548171717,126,19,658293,"hep-th/9504027 (in=126)",https://arxiv.org/abs/hep-th/9504027
495162,"hep-th/9401139",209.70296686801115,462,11,83055,"hep-th/9401139 (in=462)",https://arxiv.org/abs/hep-th/9401139
516390,"hep-th/9407111",234.67293285666634,43,5,658293,"hep-th/9407111 (in=43)",https://arxiv.org/abs/hep-th/9407111
240396,"astro-ph/0207156",290.0934699341966,925,0,450604,"astro-ph/0207156 (in=925)",https://arxiv.org/abs/astro-ph/0207156
347166,"1107.2490",207.01567918238354,27,0,697359,"1107.2490 (in=27)",https://arxiv.org/abs/1107.2490
650196,"astro-ph/9805201",131.19115417559945,2645,2,246082,"astro-ph/9805201 (in=2645)",https://arxiv.org/abs/astro-ph/9805201
731658,"quant-ph/9605043",131.06278991951277,251,3,336545,"quant-ph/9605043 (in=251)",https://arxiv.org/abs/quant-ph/9605043
577224,"hep-th/9308139",340.25359853068824,117,3,707647,"hep-th/9308139 (in=117)",https://arxiv.org/abs/hep-th/9308139
217818,"hep-th/9504047",176.2699929035343,155,21,658293,"hep-th/9504047 (in=155)",https://arxiv.org/abs/hep-th/9504047
660924,"1312.6229",179.41285543862983,380,1,697359,"1312.6229 (in=380)",https://arxiv.org/abs/1312.6229
640848,"astro-ph/9905116",140.45523148614237,380,0,556956,"astro-ph/9905116 (in=380)",https://arxiv.org/abs/astro-ph/9905116
663942,"hep-th/9507121",178.21279175207735,571,0,658293,"hep-th/9507121 (in=571)",https://arxiv.org/abs/hep-th/9507121
78162,"hep-th/9306069",163.48680109886078,472,0,158248,"hep-th/9306069 (in=472)",https://arxiv.org/abs/hep-th/9306069
906384,"1311.2901",274.6225269460252,178,2,697359,"1311.2901 (in=178)",https://arxiv.org/abs/1311.2901
893040,"hep-ph/9804398",137.44215277115853,1837,2,513963,"hep-ph/9804398 (in=1837)",https://arxiv.org/abs/hep-ph/9804398
739879,"astro-ph/0603449",318.3199131820484,2934,6,246082,"astro-ph/0603449 (in=2934)",https://arxiv.org/abs/astro-ph/0603449
90301,"hep-th/9510016",127.25493753398348,5,5,658293,"hep-th/9510016 (in=5)",https://arxiv.org/abs/hep-th/9510016
723355,"hep-th/9402032",162.15314959348285,193,3,658293,"hep-th/9402032 (in=193)",https://arxiv.org/abs/hep-th/9402032
861061,"1206.1106",470.1208092144573,19,2,370710,"1206.1106 (in=19)",https://arxiv.org/abs/1206.1106
78175,"hep-th/9508143",140.3893811220068,390,12,658293,"hep-th/9508143 (in=390)",https://arxiv.org/abs/hep-th/9508143
848623,"hep-ex/0505038",139.07246215768743,150,1,13819,"hep-ex/0505038 (in=150)",https://arxiv.org/abs/hep-ex/0505038
269137,"hep-th/9906064",150.30097119474547,2891,13,345230,"hep-th/9906064 (in=2891)",https://arxiv.org/abs/hep-th/9906064
624049,"hep-th/9501030",157.4892544357679,95,12,658293,"hep-th/9501030 (in=95)",https://arxiv.org/abs/hep-th/9501030
429223,"1308.4214",231.99508504088914,68,1,697359,"1308.4214 (in=68)",https://arxiv.org/abs/1308.4214
675871,"hep-th/9602052",166.00976345280162,506,34,658293,"hep-th/9602052 (in=506)",https://arxiv.org/abs/hep-th/9602052
234571,"hep-th/9506194",170.63849224987246,87,9,658293,"hep-th/9506194 (in=87)",https://arxiv.org/abs/hep-th/9506194
164407,"1502.03167",184.0011511559878,1242,4,697359,"1502.03167 (in=1242)",https://arxiv.org/abs/1502.03167
362095,"cond-mat/0407066",147.71094010522188,586,6,104883,"cond-mat/0407066 (in=586)",https://arxiv.org/abs/cond-mat/0407066
76099,"hep-ph/0603175",125.92547518439396,4021,38,322217,"hep-ph/0603175 (in=4021)",https://arxiv.org/abs/hep-ph/0603175
762859,"astro-ph/0302209",201.28043945402052,2517,16,246082,"astro-ph/0302209 (in=2517)",https://arxiv.org/abs/astro-ph/0302209
817255,"hep-th/9507050",187.76558067397715,199,16,658293,"hep-th/9507050 (in=199)",https://arxiv.org/abs/hep-th/9507050
842005,"hep-th/9307168",133.4595299293746,94,0,117390,"hep-th/9307168 (in=94)",https://arxiv.org/abs/hep-th/9307168
658225,"quant-ph/0001106",168.1889453843978,561,3,495571,"quant-ph/0001106 (in=561)",https://arxiv.org/abs/quant-ph/0001106
861535,"hep-th/9408074",244.77721270072672,533,2,658293,"hep-th/9408074 (in=533)",https://arxiv.org/abs/hep-th/9408074
139663,"1310.1531",393.40116492964387,186,2,697359,"1310.1531 (in=186)",https://arxiv.org/abs/1310.1531
886147,"1312.4400",149.96939807307862,424,8,697359,"1312.4400 (in=424)",https://arxiv.org/abs/1312.4400
411493,"1311.2524",169.9215891911034,121,1,697359,"1311.2524 (in=121)",https://arxiv.org/abs/1311.2524
652747,"hep-th/9503124",352.68046573116794,1192,7,658293,"hep-th/9503124 (in=1192)",https://arxiv.org/abs/hep-th/9503124
698186,"hep-th/9510169",158.9345916513051,433,4,658293,"hep-th/9510169 (in=433)",https://arxiv.org/abs/hep-th/9510169
3344,"1311.3715",146.28146653547597,29,1,697359,"1311.3715 (in=29)",https://arxiv.org/abs/1311.3715
969062,"0902.1284",168.48477362264597,5,0,225734,"0902.1284 (in=5)",https://arxiv.org/abs/0902.1284
33428,"hep-th/9601029",179.84408903933019,1528,21,259100,"hep-th/9601029 (in=1528)",https://arxiv.org/abs/hep-th/9601029
460550,"hep-th/9504090",327.31495393590114,424,9,658293,"hep-th/9504090 (in=424)",https://arxiv.org/abs/hep-th/9504090
214448,"math/0211159",285.30709867164353,925,1,723276,"math/0211159 (in=925)",https://arxiv.org/abs/math/0211159
421466,"1409.4842",322.08406493896996,571,6,697359,"1409.4842 (in=571)",https://arxiv.org/abs/1409.4842
243740,"hep-th/9411149",145.12664296610222,974,13,358445,"hep-th/9411149 (in=974)",https://arxiv.org/abs/hep-th/9411149
145820,"1408.5093",326.01527919453656,1046,2,970136,"1408.5093 (in=1046)",https://arxiv.org/abs/1408.5093
713786,"hep-th/9802109",346.7555509106864,5819,14,218682,"hep-th/9802109 (in=5819)",https://arxiv.org/abs/hep-th/9802109
272006,"1301.3781",324.23687985403114,1266,0,308481,"1301.3781 (in=1266)",https://arxiv.org/abs/1301.3781
809936,"hep-th/9407087",349.8492455079634,1703,7,80094,"hep-th/9407087 (in=1703)",https://arxiv.org/abs/hep-th/9407087
75122,"quant-ph/9601029",142.37502114438098,108,0,348415,"quant-ph/9601029 (in=108)",https://arxiv.org/abs/quant-ph/9601029
908732,"hep-ph/9803315",249.67890386983333,2372,1,513963,"hep-ph/9803315 (in=2372)",https://arxiv.org/abs/hep-ph/9803315
485511,"hep-th/9403198",131.9756817924121,118,1,80094,"hep-th/9403198 (in=118)",https://arxiv.org/abs/hep-th/9403198
809643,"1412.6980",590.9366354691834,5374,5,711101,"1412.6980 (in=5374)",https://arxiv.org/abs/1412.6980
50277,"hep-ph/9905221",154.06494434706917,3495,21,345230,"hep-ph/9905221 (in=3495)",https://arxiv.org/abs/hep-ph/9905221
380835,"astro-ph/0405087",153.60330065848768,581,0,404085,"astro-ph/0405087 (in=581)",https://arxiv.org/abs/astro-ph/0405087
604011,"1308.0850",431.3434921252397,531,1,843965,"1308.0850 (in=531)",https://arxiv.org/abs/1308.0850
515379,"1502.01589",173.37378133146484,4484,321,126308,"1502.01589 (in=4484)",https://arxiv.org/abs/1502.01589
464007,"quant-ph/9512032",164.8321912521001,126,0,348415,"quant-ph/9512032 (in=126)",https://arxiv.org/abs/quant-ph/9512032
473193,"hep-th/9711200",556.2940054324418,9866,70,218682,"hep-th/9711200 (in=9866)",https://arxiv.org/abs/hep-th/9711200
570165,"hep-th/9410167",318.29058421788193,922,4,658293,"hep-th/9410167 (in=922)",https://arxiv.org/abs/hep-th/9410167
234063,"hep-th/9905111",139.30441593441418,2958,598,218682,"hep-th/9905111 (in=2958)",https://arxiv.org/abs/hep-th/9905111
784533,"0803.0547",149.50020046394744,2131,1,246082,"0803.0547 (in=2131)",https://arxiv.org/abs/0803.0547
123279,"1212.5701",430.6771390567946,838,1,44691,"1212.5701 (in=838)",https://arxiv.org/abs/1212.5701
697359,"1409.1556",836.8941422866658,4035,16,711101,"1409.1556 (in=4035)",https://arxiv.org/abs/1409.1556
894994,"1409.0473",233.42361681860592,1480,2,843965,"1409.0473 (in=1480)",https://arxiv.org/abs/1409.0473
658402,"hep-th/9405117",128.61169192906365,74,0,259100,"hep-th/9405117 (in=74)",https://arxiv.org/abs/hep-th/9405117
837286,"hep-th/9402002",470.80873287520126,204,9,658293,"hep-th/9402002 (in=204)",https://arxiv.org/abs/hep-th/9402002
710410,"astro-ph/9812133",133.72274212237352,2614,11,246082,"astro-ph/9812133 (in=2614)",https://arxiv.org/abs/astro-ph/9812133
795286,"gr-qc/9310026",187.14551756766338,1741,1,644835,"gr-qc/9310026 (in=1741)",https://arxiv.org/abs/gr-qc/9310026
