Id,Label,PageRank,InDegree,OutDegree,Community,Url
847044,hep-th/9601038,85.97885681523914,474,7,658293,https://arxiv.org/abs/hep-th/9601038
418404,hep-th/9509080,35.75715186620949,156,1,853296,https://arxiv.org/abs/hep-th/9509080
143022,astro-ph/9506072,30.11447300831664,475,3,246082,https://arxiv.org/abs/astro-ph/9506072
121620,0805.2366,119.99785716172666,742,15,815264,https://arxiv.org/abs/0805.2366
526278,hep-ph/9806471,48.36370719008218,570,66,527053,https://arxiv.org/abs/hep-ph/9806471
283572,0803.0586,51.76049360075724,754,0,246082,https://arxiv.org/abs/0803.0586
398148,astro-ph/0108013,39.32420018282932,120,6,554767,https://arxiv.org/abs/astro-ph/0108013
214848,astro-ph/0003338,70.8505472100515,281,4,304946,https://arxiv.org/abs/astro-ph/0003338
673140,hep-ph/0010017,49.58300939135244,478,12,322217,https://arxiv.org/abs/hep-ph/0010017
376908,quant-ph/0001071,31.17368668723464,49,1,363873,https://arxiv.org/abs/quant-ph/0001071
237336,hep-th/9401133,151.9649234400433,29,0,487873,https://arxiv.org/abs/hep-th/9401133
607806,hep-th/9512196,30.63288267887805,100,27,658293,https://arxiv.org/abs/hep-th/9512196
98112,0810.3286,44.980844710419625,29,0,205709,https://arxiv.org/abs/0810.3286
653898,quant-ph/9608006,47.30537020485715,102,23,348415,https://arxiv.org/abs/quant-ph/9608006
500322,0709.1159,34.65846624464259,208,10,349940,https://arxiv.org/abs/0709.1159
189444,0903.2323,30.29943167437888,5,1,830328,https://arxiv.org/abs/0903.2323
769932,hep-th/9501068,151.84606029649743,364,1,658293,https://arxiv.org/abs/hep-th/9501068
580710,quant-ph/0205039,40.24307375774955,214,16,498325,https://arxiv.org/abs/quant-ph/0205039
152076,hep-th/9507048,92.70916442538562,245,1,658293,https://arxiv.org/abs/hep-th/9507048
466896,hep-th/9510017,447.30677773632004,1410,3,658293,https://arxiv.org/abs/hep-th/9510017
371166,hep-th/9408099,242.10970592283982,1288,5,80094,https://arxiv.org/abs/hep-th/9408099
736320,hep-th/9502010,38.41488035934298,161,1,735289,https://arxiv.org/abs/hep-th/9502010
257490,quant-ph/9605038,51.40963385253659,98,2,830301,https://arxiv.org/abs/quant-ph/9605038
679758,quant-ph/9605034,98.91895449581921,124,1,336545,https://arxiv.org/abs/quant-ph/9605034
138228,gr-qc/9810083,45.11230146062125,28,0,345230,https://arxiv.org/abs/gr-qc/9810083
682272,nucl-ex/9711003,36.8966284062776,81,4,436635,https://arxiv.org/abs/nucl-ex/9711003
516828,1312.5853,33.4483403461838,11,0,697359,https://arxiv.org/abs/1312.5853
834738,1503.02531,59.67963250172154,506,1,697359,https://arxiv.org/abs/1503.02531
33192,hep-ex/9803006,64.12400736603726,122,0,741426,https://arxiv.org/abs/hep-ex/9803006
185046,hep-th/9501022,31.902733555779225,63,8,658293,https://arxiv.org/abs/hep-th/9501022
4668,hep-th/9810155,55.787126609452564,952,55,73078,https://arxiv.org/abs/hep-th/9810155
352392,hep-th/9501071,31.468546946967912,200,22,700093,https://arxiv.org/abs/hep-th/9501071
8268,hep-ph/9703442,32.39853592971294,206,5,67686,https://arxiv.org/abs/hep-ph/9703442
734466,1606.00915,40.18736480204752,353,32,697359,https://arxiv.org/abs/1606.00915
867036,hep-ex/0105044,36.25206219120465,126,0,946271,https://arxiv.org/abs/hep-ex/0105044
878550,hep-ph/9508391,41.8357438454415,156,0,260814,https://arxiv.org/abs/hep-ph/9508391
160290,hep-ph/9812296,43.615708725726506,183,1,345230,https://arxiv.org/abs/hep-ph/9812296
32910,quant-ph/9604024,165.40053309533843,306,14,830301,https://arxiv.org/abs/quant-ph/9604024
