id,title,categories,num_categories
0808.1417,The finite harmonic oscillator and its associated sequences,cs.IT cs.CR cs.DM math-ph math.GR math.IT math.MP math.NT math.PR math.QA math.RT math.SG quant-ph,13
cs/0410017,"Automated Pattern Detection--An Algorithm for Constructing Optimally
  Synchronizing Multi-Regular Language Filters",cs.CV cond-mat.stat-mech cs.CL cs.DS cs.IR cs.LG nlin.AO nlin.CG nlin.PS physics.comp-ph q-bio.GN,11
0804.1086,Visco-potential free-surface flows and long wave modelling,physics.flu-dyn math-ph math.AP math.MP math.NA nlin.PS nlin.SI physics.ao-ph physics.class-ph physics.comp-ph physics.geo-ph,11
hep-th/9811118,Tree Structures: A Variational Approach to Shannon--Wiener Information,hep-th cond-mat.dis-nn gr-qc hep-ph math-ph math.CO math.GN math.MP math.OC quant-ph,10
comp-gas/9403003,Correlations and Renormalization in Lattice Gases,comp-gas adap-org chao-dyn cond-mat hep-th nlin.AO nlin.CD nlin.CG nlin.PS patt-sol,10
hep-th/9905088,"Renormalization-group Method for Reduction of Evolution Equations;
  invariant manifolds and envelopes",hep-th cond-mat gr-qc hep-ph math-ph math.MP nlin.PS nlin.SI patt-sol solv-int,10
hep-th/0011014,"Dynamical Body Frames, Orientation-Shape Variables and Canonical Spin
  Bases for the Non-Relativistic N-Body Problem",hep-th astro-ph gr-qc math-ph math.MP nucl-th physics.atm-clus physics.atom-ph physics.class-ph physics.plasm-ph,10
math/0104143,Probabilistic Dynamics of Two-Layer Geophysical Flows,math.AP cond-mat.stat-mech math-ph math.DS math.MP math.PR nlin.CD physics.ao-ph physics.data-an physics.flu-dyn,10
cs/0111054,The similarity metric,cs.CC cond-mat.stat-mech cs.CE cs.CV math.CO math.MG math.ST physics.data-an q-bio.GN stat.TH,10
nlin/0202018,Noncoaxial multivortices in the complex sine-Gordon theory on the plane,nlin.SI cond-mat.supr-con hep-th math-ph math.AP math.MP nlin.AO nlin.PS physics.flu-dyn physics.optics,10
q-alg/9601016,Berezin-Toeplitz Quantization of compact Kaehler manifolds,q-alg alg-geom dg-ga funct-an math-ph math.AG math.DG math.FA math.MP math.QA,10
0908.3889,Integrating Post-Newtonian Equations on Graphics Processing Units,gr-qc astro-ph.CO astro-ph.EP astro-ph.GA astro-ph.HE astro-ph.IM astro-ph.SR cs.DC cs.GR cs.PF,10
quant-ph/0108073,Quantum Information in Space and Time,quant-ph cond-mat.mes-hall cs.IT gr-qc hep-ph hep-th math-ph math.IT math.MP math.PR,10
0708.0654,Structure or Noise?,physics.data-an cond-mat.stat-mech cs.IT cs.LG math-ph math.IT math.MP math.ST nlin.CD stat.TH,10
solv-int/9902010,"Lax Pair Formulation and Multi-soliton Solution of the Integrable Vector
  Nonlinear Schrodinger Equation",solv-int adap-org hep-th math-ph math.DS math.MP nlin.AO nlin.PS nlin.SI patt-sol,10
0708.1593,Updating Probabilities with Data and Moments,physics.data-an cs.IT math.IT math.ST physics.comp-ph physics.pop-ph stat.AP stat.CO stat.ME stat.TH,10
0808.1664,The Weil Representation in Characteristic Two,math.RT math-ph math.AG math.CT math.GR math.MP math.NT math.QA math.SG quant-ph,10
hep-th/9701041,"Families of Singular and Subsingular Vectors of the Topological N=2
  Superconformal Algebra",hep-th alg-geom funct-an math-ph math.AG math.FA math.MP math.QA q-alg,9
cond-mat/0408364,"Quantum Separation of Variables and Multi-component Dyson Brownian
  Motion",cond-mat.other cond-mat.mes-hall cond-mat.stat-mech hep-th math-ph math.MP math.PR nlin.CD nlin.SI,9
hep-th/9706041,"Chiral Determinant Formulae and Subsingular Vectors for the N=2
  Superconformal Algebras",hep-th alg-geom funct-an math-ph math.AG math.FA math.MP math.QA q-alg,9
hep-ph/0012142,Dynamics of Symmetry Breaking and Tachyonic Preheating,hep-ph astro-ph cond-mat.stat-mech gr-qc hep-lat hep-th nlin.CD nlin.PS physics.comp-ph,9
hep-th/9801069,Duality in Perturbation Theory and the Quantum Adiabatic Approximation,hep-th chao-dyn cond-mat gr-qc hep-ph math-ph math.MP nlin.CD quant-ph,9
cond-mat/0504025,Point process model of 1/f noise versus a sum of Lorentzians,cond-mat.stat-mech astro-ph cond-mat.dis-nn cs.CE math.ST nlin.AO physics.data-an q-bio.NC stat.TH,9
hep-th/9812061,Theoretical and Phenomenological Aspects of Superstring Theories,hep-th cond-mat hep-ph math-ph math.AG math.MG math.MP math.SG physics.soc-ph,9
2510.16312,Predictability of Complex Systems,physics.soc-ph cs.GR cs.IT cs.SY eess.SY math-ph math.IT math.MP nlin.AO,9
