query_type,query_value,rank,doc_id,score,title,abstract,categories
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",1,2510.24781,196.08188,Dual-Channel Technology Diffusion: Spatial Decay and Network Contagion in Supply Chain Networks,"This paper develops a dual-channel framework for analyzing technology diffusion that integrates spatial decay mechanisms from continuous functional analysis with network contagion dynamics from spectral graph theory. Building on our previous studies, which establish Navier-Stokes-based approaches to spatial treatment effects and financial network fragility, we demonstrate that technology adoption spreads simultaneously through both geographic proximity and supply chain connections. Using comprehensive data on six technologies adopted by 500 firms over 2010-2023, we document three key findings. First, technology adoption exhibits strong exponential geographic decay with spatial decay rate $\kappa \approx 0.043$ per kilometer, implying a spatial boundary of $d^* \approx 69$ kilometers beyond which spillovers are negligible (R-squared = 0.99). Second, supply chain connections create technology-specific networks whose algebraic connectivity ($\lambda_2$) increases 300-380 percent as adoption spreads, with correlation between $\lambda_2$ and adoption exceeding 0.95 across all technologies. Third, traditional difference-in-differences methods that ignore spatial and network structure exhibit 61 percent bias in estimated treatment effects. An event study around COVID-19 reveals that network fragility increased 24.5 percent post-shock, amplifying treatment effects through supply chain spillovers in a manner analogous to financial contagion documented in our recent study. Our framework provides micro-foundations for technology policy: interventions have spatial reach of 69 kilometers and network amplification factor of 10.8, requiring coordinated geographic and supply chain targeting for optimal effectiveness.",econ.EM econ.TH stat.AP stat.ME
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",2,1804.01349,170.68576,The role of geography in the complex diffusion of innovations,"  The urban-rural divide is increasing in modern societies calling for
geographical extensions of social influence modelling. Improved understanding
of innovation diffusion across locations and through social connections can
provide us with new insights into the spread of information, technological
progress and economic development. In this work, we analyze the spatial
adoption dynamics of iWiW, an Online Social Network (OSN) in Hungary and
uncover empirical features about the spatial adoption in social networks.
During its entire life cycle from 2002 to 2012, iWiW reached up to 300 million
friendship ties of 3 million users. We find that the number of adopters as a
function of town population follows a scaling law that reveals a strongly
concentrated early adoption in large towns and a less concentrated late
adoption. We also discover a strengthening distance decay of spread over the
life-cycle indicating high fraction of distant diffusion in early stages but
the dominance of local diffusion in late stages. The spreading process is
modelled within the Bass diffusion framework that enables us to compare the
differential equation version with an agent-based version of the model run on
the empirical network. Although both models can capture the macro trend of
adoption, they have limited capacity to describe the observed trends of urban
scaling and distance decay. We find, however that incorporating adoption
thresholds, defined by the fraction of social connections that adopt a
technology before the individual adopts, improves the network model fit to the
urban scaling of early adopters. Controlling for the threshold distribution
enables us to eliminate the bias induced by local network structure on
predicting local adoption peaks. Finally, we show that geographical features
such as distance from the innovation origin and town size influence prediction
of adoption peak at local scales.
",physics.soc-ph cs.CY cs.SI
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",3,1605.04710,170.3421,Contagion on complex networks with persuasion,"  The threshold model has been widely adopted as a classic model for studying
contagion processes on social networks. We consider asymmetric individual
interactions in social networks and introduce a persuasion mechanism into the
threshold model. Specifically, we study a combination of adoption and
persuasion in cascading processes on complex networks. It is found that with
the introduction of the persuasion mechanism, the system may become more
vulnerable to global cascades, and the effects of persuasion tend to be more
significant in heterogeneous networks than those in homogeneous networks: a
comparison between heterogeneous and homogeneous networks shows that under weak
persuasion, heterogeneous networks tend to be more robust against random shocks
than homogeneous networks; whereas under strong persuasion, homogeneous
networks are more stable. Finally, we study the effects of adoption and
persuasion threshold heterogeneity on systemic stability. Though both
heterogeneities give rise to global cascades, the adoption heterogeneity has an
overwhelmingly stronger impact than the persuasion heterogeneity when the
network connectivity is sufficiently dense.
",physics.soc-ph cond-mat.dis-nn
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",4,1403.1177,169.42381,"Effects of temporal correlations on cascades: Threshold models on
  temporal networks","  A person's decision to adopt an idea or product is often driven by the
decisions of peers, mediated through a network of social ties. A common way of
modeling adoption dynamics is to use threshold models, where a node may become
an adopter given a high enough rate of contacts with adopted neighbors. We
study the dynamics of threshold models that take both the network topology and
the timings of contacts into account, using empirical contact sequences as
substrates. The models are designed such that adoption is driven by the number
of contacts with different adopted neighbors within a chosen time. We find that
while some networks support cascades leading to network-level adoption, some do
not: the propagation of adoption depends on several factors from the frequency
of contacts to burstiness and timing correlations of contact sequences. More
specifically, burstiness is seen to suppress cascades sizes when compared to
randomised contact timings, while timing correlations between contacts on
adjacent links facilitate cascades.
",physics.soc-ph cs.SI physics.data-an
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",5,1110.6372,168.35344,Competitive Contagion in Networks,"  We develop a game-theoretic framework for the study of competition between
firms who have budgets to ""seed"" the initial adoption of their products by
consumers located in a social network. The payoffs to the firms are the
eventual number of adoptions of their product through a competitive stochastic
diffusion process in the network. This framework yields a rich class of
competitive strategies, which depend in subtle ways on the stochastic dynamics
of adoption, the relative budgets of the players, and the underlying structure
of the social network.
  We identify a general property of the adoption dynamics --- namely,
decreasing returns to local adoption --- for which the inefficiency of resource
use at equilibrium (the Price of Anarchy) is uniformly bounded above, across
all networks. We also show that if this property is violated the Price of
Anarchy can be unbounded, thus yielding sharp threshold behavior for a broad
class of dynamics.
  We also introduce a new notion, the Budget Multiplier, that measures the
extent that imbalances in player budgets can be amplified at equilibrium. We
again identify a general property of the adoption dynamics --- namely,
proportional local adoption between competitors --- for which the (pure
strategy) Budget Multiplier is uniformly bounded above, across all networks. We
show that a violation of this property can lead to unbounded Budget Multiplier,
again yielding sharp threshold behavior for a broad class of dynamics.
",cs.GT
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",6,2508.03757,159.85995,AI Investment and Firm Productivity: How Executive Demographics Drive Technology Adoption and Performance in Japanese Enterprises,"This paper investigates how executive demographics particularly age and gender influence artificial intelligence (AI) investment decisions and subsequent firm productivity using comprehensive data from over 500 Japanese enterprises spanning from 2018 to 2023. Our central research question addresses the role of executive characteristics in technology adoption, finding that CEO age and technical background significantly predict AI investment propensity. Employing these demographic characteristics as instrumental variables to address endogeneity concerns, we identify a statistically significant 2.4% increase in total factor productivity attributable to AI investment adoption. Our novel mechanism decomposition framework reveals that productivity gains operate through three distinct channels: cost reduction (40% of total effect), revenue enhancement (35%), and innovation acceleration (25%). The results demonstrate that younger executives (below 50 years) are 23% more likely to adopt AI technologies, while firm size significantly moderates this relationship. Aggregate projections suggest potential GDP impacts of 1.15 trillion JPY from widespread AI adoption across the Japanese economy. These findings provide crucial empirical guidance for understanding the human factors driving digital transformation and inform both corporate governance and public policy regarding AI investment incentives.",econ.GN q-fin.EC
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",7,1601.07995,157.91908,"Local cascades induced global contagion: How heterogeneous thresholds,
  exogenous effects, and unconcerned behaviour govern online adoption spreading","  Adoption of innovations, products or online services is commonly interpreted
as a spreading process driven to large extent by social influence and
conditioned by the needs and capacities of individuals. To model this process
one usually introduces behavioural threshold mechanisms, which can give rise to
the evolution of global cascades if the system satisfies a set of conditions.
However, these models do not address temporal aspects of the emerging cascades,
which in real systems may evolve through various pathways ranging from slow to
rapid patterns. Here we fill this gap through the analysis and modelling of
product adoption in the world's largest voice over internet service, the social
network of Skype. We provide empirical evidence about the heterogeneous
distribution of fractional behavioural thresholds, which appears to be
independent of the degree of adopting egos. We show that the structure of
real-world adoption clusters is radically different from previous theoretical
expectations, since vulnerable adoptions --induced by a single adopting
neighbour-- appear to be important only locally, while spontaneous adopters
arriving at a constant rate and the involvement of unconcerned individuals
govern the global emergence of social spreading.
",physics.soc-ph cond-mat.stat-mech cs.SI physics.data-an
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",8,1606.03386,157.41766,A Generalized Bass Model for Product Growth in Networks,"  Many products and innovations become well-known and widely adopted through
the social interactions of individuals in a population. The Bass diffusion
model has been widely used to model the temporal evolution of adoption in such
social systems. In the model, the likelihood of a new adoption is proportional
to the number of previous adopters, implicitly assuming a global (or
homogeneous) interaction among all individuals in the network. Such global
interactions do not exist in many large social networks, however. Instead,
individuals typically interact with a small part of the larger population. To
quantify the growth rate (or equivalently the adoption timing) in networks with
limited interactions, we study a stochastic adoption process where the
likelihood that each individual adopts is proportional to the number of
adopters among the small group of persons he/she interacts with (and not the
entire population of adopters). When the underlying network of interactions is
a random $k$-regular graph, we compute the sample path limit of the fraction of
adopters. We show the limit coincides with the solution of a differential
equation which can viewed as a generalization of the Bass diffusion model. When
the degree $k$ is bounded, we show the adoption curve differs significantly
from the one corresponds to the Bass diffusion model. In particular, the
adoption grows more slowly than what the Bass model projects. In addition, the
adoption curve is asymmetric, unlike that of the Bass diffusion model. Such
asymmetry has important consequences for the estimation of market potential.
Finally, we calculate the timing of early adoptions at finer scales, e.g.,
logarithmic in the population size.
",cs.SI physics.soc-ph
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",9,1507.04062,156.54391,Dynamics of social contagions with memory of non-redundant information,"  A key ingredient in social contagion dynamics is reinforcement, as adopting a
certain social behavior requires verification of its credibility and
legitimacy. Memory of non-redundant information plays an important role in
reinforcement, which so far has eluded theoretical analysis. We first propose a
general social contagion model with reinforcement derived from non-redundant
information memory. Then, we develop a unified edge-based compartmental theory
to analyze this model, and a remarkable agreement with numerics is obtained on
some specific models. Using a spreading threshold model as a specific example
to understand the memory effect, in which each individual adopts a social
behavior only when the cumulative pieces of information that the individual
received from his/her neighbors exceeds an adoption threshold. Through analysis
and numerical simulations, we find that the memory characteristic markedly
affects the dynamics as quantified by the final adoption size. Strikingly, we
uncover a transition phenomenon in which the dependence of the final adoption
size on some key parameters, such as the transmission probability, can change
from being discontinuous to being continuous. The transition can be triggered
by proper parameters and structural perturbations to the system, such as
decreasing individuals' adoption threshold, increasing initial seed size, or
enhancing the network heterogeneity.
",physics.soc-ph cs.SI
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",10,2104.09070,154.60391,Double transitions and hysteresis in heterogeneous contagion processes,"  In many real-world contagion phenomena, the number of contacts to spreading
entities for adoption varies for different individuals. Therefore, we study a
model of contagion dynamics with heterogeneous adoption thresholds. We derive
mean-field equations for the fraction of adopted nodes and obtain phase
diagrams in terms of the transmission probability and fraction of nodes
requiring multiple contacts for adoption. We find a double phase transition
exhibiting a continuous transition and a subsequent discontinuous jump in the
fraction of adopted nodes because of the heterogeneity in adoption thresholds.
Additionally, we observe hysteresis curves in the fraction of adopted nodes
owing to adopted nodes in the densely connected core in a network.
",physics.soc-ph cond-mat.stat-mech
