query_type,query_value,rank,doc_id,score,title,abstract,categories
text,large language models transformers pretraining,1,2404.04659,19.32891,"Multilingual Pretraining and Instruction Tuning Improve Cross-Lingual
  Knowledge Alignment, But Only Shallowly","  Despite their strong ability to retrieve knowledge in English, current large
language models show imbalance abilities in different languages. Two approaches
are proposed to address this, i.e., multilingual pretraining and multilingual
instruction tuning. However, whether and how do such methods contribute to the
cross-lingual knowledge alignment inside the models is unknown. In this paper,
we propose CLiKA, a systematic framework to assess the cross-lingual knowledge
alignment of LLMs in the Performance, Consistency and Conductivity levels, and
explored the effect of multilingual pretraining and instruction tuning on the
degree of alignment. Results show that: while both multilingual pretraining and
instruction tuning are beneficial for cross-lingual knowledge alignment, the
training strategy needs to be carefully designed. Namely, continued pretraining
improves the alignment of the target language at the cost of other languages,
while mixed pretraining affect other languages less. Also, the overall
cross-lingual knowledge alignment, especially in the conductivity level, is
unsatisfactory for all tested LLMs, and neither multilingual pretraining nor
instruction tuning can substantially improve the cross-lingual knowledge
conductivity.
",cs.CL
text,large language models transformers pretraining,2,2410.23956,18.713406,"Multilingual Pretraining Using a Large Corpus Machine-Translated from a
  Single Source Language","  English, as a very high-resource language, enables the pretraining of
high-quality large language models (LLMs). The same cannot be said for most
other languages, as leading LLMs still underperform for non-English languages,
likely due to a gap in the quality and diversity of the available multilingual
pretraining corpora. In this work, we find that machine-translated text from a
single high-quality source language can contribute significantly to the
pretraining of multilingual LLMs. We translate FineWeb-Edu, a high-quality
English web dataset, into French, German, and Spanish, resulting in a final
300B-token dataset, which we call TransWeb-Edu, and pretrain a 1.3B-parameter
model, CuatroLLM, from scratch on this dataset. Across five non-English
reasoning tasks, we show that CuatroLLM matches or outperforms state-of-the-art
multilingual models trained using closed data, such as Llama3.2 and Gemma2,
despite using an order of magnitude less data, such as about 6% of the tokens
used for Llama3.2's training. We further demonstrate that with additional
domain-specific pretraining, amounting to less than 1% of TransWeb-Edu,
CuatroLLM surpasses the state of the art in multilingual reasoning. To promote
reproducibility, we release our corpus, models, and training pipeline under
open licenses at hf.co/britllm/CuatroLLM.
",cs.CL
text,large language models transformers pretraining,3,2109.11129,18.650587,Cross-Lingual Language Model Meta-Pretraining,"  The success of pretrained cross-lingual language models relies on two
essential abilities, i.e., generalization ability for learning downstream tasks
in a source language, and cross-lingual transferability for transferring the
task knowledge to other languages. However, current methods jointly learn the
two abilities in a single-phase cross-lingual pretraining process, resulting in
a trade-off between generalization and cross-lingual transfer. In this paper,
we propose cross-lingual language model meta-pretraining, which learns the two
abilities in different training phases. Our method introduces an additional
meta-pretraining phase before cross-lingual pretraining, where the model learns
generalization ability on a large-scale monolingual corpus. Then, the model
focuses on learning cross-lingual transfer on a multilingual corpus.
Experimental results show that our method improves both generalization and
cross-lingual transfer, and produces better-aligned representations across
different languages.
",cs.CL
text,large language models transformers pretraining,4,2407.14076,18.607872,"Domain-Specific Pretraining of Language Models: A Comparative Study in
  the Medical Field","  There are many cases where LLMs are used for specific tasks in a single
domain. These usually require less general, but more domain-specific knowledge.
Highly capable, general-purpose state-of-the-art language models like GPT-4 or
Claude-3-opus can often be used for such tasks, but they are very large and
cannot be run locally, even if they were not proprietary. This can be a problem
when working with sensitive data. This paper focuses on domain-specific and
mixed-domain pretraining as potentially more efficient methods than general
pretraining for specialized language models. We will take a look at work
related to domain-specific pretraining, specifically in the medical area, and
compare benchmark results of specialized language models to general-purpose
language models.
",cs.LG cs.AI cs.CL
text,large language models transformers pretraining,5,2404.05428,18.47067,"Language Models on a Diet: Cost-Efficient Development of Encoders for
  Closely-Related Languages via Additional Pretraining","  The world of language models is going through turbulent times, better and
ever larger models are coming out at an unprecedented speed. However, we argue
that, especially for the scientific community, encoder models of up to 1
billion parameters are still very much needed, their primary usage being in
enriching large collections of data with metadata necessary for downstream
research. We investigate the best way to ensure the existence of such encoder
models on the set of very closely related languages - Croatian, Serbian,
Bosnian and Montenegrin, by setting up a diverse benchmark for these languages,
and comparing the trained-from-scratch models with the new models constructed
via additional pretraining of existing multilingual models. We show that
comparable performance to dedicated from-scratch models can be obtained by
additionally pretraining available multilingual models even with a limited
amount of computation. We also show that neighboring languages, in our case
Slovenian, can be included in the additional pretraining with little to no loss
in the performance of the final model.
",cs.CL
text,large language models transformers pretraining,6,2301.04761,18.449047,NarrowBERT: Accelerating Masked Language Model Pretraining and Inference,"  Large-scale language model pretraining is a very successful form of
self-supervised learning in natural language processing, but it is increasingly
expensive to perform as the models and pretraining corpora have become larger
over time. We propose NarrowBERT, a modified transformer encoder that increases
the throughput for masked language model pretraining by more than $2\times$.
NarrowBERT sparsifies the transformer model such that the self-attention
queries and feedforward layers only operate on the masked tokens of each
sentence during pretraining, rather than all of the tokens as with the usual
transformer encoder. We also show that NarrowBERT increases the throughput at
inference time by as much as $3.5\times$ with minimal (or no) performance
degradation on sentence encoding tasks like MNLI. Finally, we examine the
performance of NarrowBERT on the IMDB and Amazon reviews classification and
CoNLL NER tasks and show that it is also comparable to standard BERT
performance.
",cs.CL cs.LG
text,large language models transformers pretraining,7,2510.25067,18.388458,DRIP: Dynamic patch Reduction via Interpretable Pooling,"Recently, the advances in vision-language models, including contrastive pretraining and instruction tuning, have greatly pushed the frontier of multimodal AI. However, owing to the large-scale and hence expensive pretraining, the efficiency concern has discouraged researchers from attempting to pretrain a vision language model from scratch. In this work, we propose Dynamic patch Reduction via Interpretable Pooling (DRIP), which adapts to the input images and dynamically merges tokens in the deeper layers of a visual encoder. Our results on both ImageNet training from scratch and CLIP contrastive pretraining demonstrate a significant GFLOP reduction while maintaining comparable classification/zero-shot performance. To further validate our proposed method, we conduct continual pretraining on a large biology dataset, extending its impact into scientific domains.",cs.CV
text,large language models transformers pretraining,8,2502.06663,18.384192,"EfficientLLM: Scalable Pruning-Aware Pretraining for
  Architecture-Agnostic Edge Language Models","  Modern large language models (LLMs) driven by scaling laws, achieve
intelligence emergency in large model sizes. Recently, the increasing concerns
about cloud costs, latency, and privacy make it an urgent requirement to
develop compact edge language models. Distinguished from direct pretraining
that bounded by the scaling law, this work proposes the pruning-aware
pretraining, focusing on retaining performance of much larger optimized models.
It features following characteristics: 1) Data-scalable: we introduce minimal
parameter groups in LLM and continuously optimize structural pruning, extending
post-training pruning methods like LLM-Pruner and SparseGPT into the
pretraining phase. 2) Architecture-agnostic: the LLM architecture is
auto-designed using saliency-driven pruning, which is the first time to exceed
SoTA human-designed LLMs in modern pretraining. We reveal that it achieves
top-quality edge language models, termed EfficientLLM, by scaling up LLM
compression and extending its boundary. EfficientLLM significantly outperforms
SoTA baselines with $100M \sim 1B$ parameters, such as MobileLLM, SmolLM,
Qwen2.5-0.5B, OLMo-1B, Llama3.2-1B in common sense benchmarks. As the first
attempt, EfficientLLM bridges the performance gap between traditional LLM
compression and direct pretraining methods, and we will fully open source at
https://github.com/Xingrun-Xing2/EfficientLLM.
",cs.LG
text,large language models transformers pretraining,9,2306.14525,18.25718,ParameterNet: Parameters Are All You Need,"  The large-scale visual pretraining has significantly improve the performance
of large vision models. However, we observe the \emph{low FLOPs pitfall} that
the existing low-FLOPs models cannot benefit from large-scale pretraining. In
this paper, we introduce a novel design principle, termed ParameterNet, aimed
at augmenting the number of parameters in large-scale visual pretraining models
while minimizing the increase in FLOPs. We leverage dynamic convolutions to
incorporate additional parameters into the networks with only a marginal rise
in FLOPs. The ParameterNet approach allows low-FLOPs networks to take advantage
of large-scale visual pretraining. Furthermore, we extend the ParameterNet
concept to the language domain to enhance inference results while preserving
inference speed. Experiments on the large-scale ImageNet-22K have shown the
superiority of our ParameterNet scheme. For example, ParameterNet-600M can
achieve higher accuracy on ImageNet than the widely-used Swin Transformer
(81.6\% \emph{vs.} 80.9\%) and has much lower FLOPs (0.6G \emph{vs.} 4.5G). In
the language domain, LLaMA-1B enhanced with ParameterNet achieves 2\% higher
accuracy over vanilla LLaMA. The code will be released at
\url{https://parameternet.github.io/}.
",cs.CV
text,large language models transformers pretraining,10,2109.06605,18.249928,MDAPT: Multilingual Domain Adaptive Pretraining in a Single Model,"  Domain adaptive pretraining, i.e. the continued unsupervised pretraining of a
language model on domain-specific text, improves the modelling of text for
downstream tasks within the domain. Numerous real-world applications are based
on domain-specific text, e.g. working with financial or biomedical documents,
and these applications often need to support multiple languages. However,
large-scale domain-specific multilingual pretraining data for such scenarios
can be difficult to obtain, due to regulations, legislation, or simply a lack
of language- and domain-specific text. One solution is to train a single
multilingual model, taking advantage of the data available in as many languages
as possible. In this work, we explore the benefits of domain adaptive
pretraining with a focus on adapting to multiple languages within a specific
domain. We propose different techniques to compose pretraining corpora that
enable a language model to both become domain-specific and multilingual.
Evaluation on nine domain-specific datasets-for biomedical named entity
recognition and financial sentence classification-covering seven different
languages show that a single multilingual domain-specific model can outperform
the general multilingual model, and performs close to its monolingual
counterpart. This finding holds across two different pretraining methods,
adapter-based pretraining and full model pretraining.
",cs.CL
