query_type,query_value,rank,doc_id,score,title,abstract,categories
text,Neutrino decays as a natural explanation of the neutrino mass tension,1,1806.03786,37.59578,"Study Standard Model and Majorana Neutrino Contributions to $B^{+} \to
  K^{(*)\pm}\mu^+\mu^{\mp}$","  Lepton number violation processes can be induced by the Majorana neutrino
exchange, which provide evidence for the Majorana nature of neutrinos. In
addition to the natural explanation of the small neutrino masses, Type-I seesaw
mechanism predicts the existence of Majorana neutrinos. The aim of this work is
to study the B meson rare decays $B^{+} \to K^{(*)+}\mu^+\mu^-$ in the standard
model and its extensions, and then to investigate the same-sign decay processes
$B^{+}\to K^{(*)-}\mu^{+}\mu^+$. The corresponding dilepton invariant mass
distributions are predicted. It is found that the dilepton angular
distributions illustrate the properties of new interactions induced by the
Majorana neutrinos.
",hep-ph
text,Neutrino decays as a natural explanation of the neutrino mass tension,2,1911.11760,33.400257,"Early dark energy from massive neutrinos -- a natural resolution of the
  Hubble tension","  The Hubble tension can be significantly eased if there is an early component
of dark energy that becomes active around the time of matter-radiation
equality. Early dark energy models suffer from a coincidence problem -- the
physics of matter-radiation equality and early dark energy are completely
disconnected, so some degree of fine-tuning is needed in order for them to
occur nearly simultaneously. In this paper we propose a natural explanation for
this coincidence. If the early dark energy scalar couples to neutrinos then it
receives a large injection of energy around the time that neutrinos become
non-relativistic. This is precisely when their temperature is of order their
mass, which, coincidentally, occurs around the time of matter-radiation
equality. Neutrino decoupling therefore provides a natural trigger for early
dark energy by displacing the field from its minimum just before
matter-radiation equality. We discuss various theoretical aspects of this
proposal, potential observational signatures, and future directions for its
study.
",astro-ph.CO gr-qc hep-ph hep-th
text,Neutrino decays as a natural explanation of the neutrino mass tension,3,2012.14825,32.164894,Implications of Rare Kaon Decays on Lepton Number Violating Interactions,"  We explore the possibility of lepton number violation (LNV) manifesting in
the rare kaon decay $K\to\pi\nu\nu$, and its consequences for radiative
neutrino mass generation and the washout of Lepton asymmetry in high-scale
leptogenesis scenarios. We perform the analysis in a model-independent
framework, the Standard Model effective field theory (SMEFT), and discuss the
possible LNV nature of the rare kaon decay in the context of the currently
operating NA62 experiment at CERN. We find that, in case of a LNV interaction,
its detection would put high-scale leptogenesis under tension and would hint to
small radiatively generated neutrino masses.
",hep-ph
text,Neutrino decays as a natural explanation of the neutrino mass tension,4,1707.01725,32.121326,Searching for heavy sterile neutrinos in kaon decays,"  We present here a study of the impact of a heavy neutrino (or heavy neutral
lepton) on leptonic and semileptonic kaon decays. We used a simplified model
consisting of 3 light neutrinos responsible for neutrino oscillations and a
heavy sterile neutrino. We found that it can lead to large deviations from the
Standard Model predictions for leptonic decays, in conflict with experimental
measurements of $K_{e2}$ and the lepton universality test $R_K$. This allows to
derive new constraints on the leptonic mixing for heavy sterile neutrinos. No
tension was found when considering the semileptonic decays. Finally, we point
out the potential of the decay $K_L \rightarrow \nu \nu$ as a clear signature
of physics beyond the Standard Model.
",hep-ph hep-ex
text,Neutrino decays as a natural explanation of the neutrino mass tension,5,1105.4664,31.949724,On Sterile neutrino explanation of LSND and MiniBooNE anomalies,"  We examine the compatibility between existing experimental data and a
recently proposed explanation of the LSND and MiniBooNE anomalies, given in
terms of a sterile neutrino $N$ whose decay is dominated by a radiative mode.
We find that current experimental data on $\tau\rightarrow \mu\nu\nu\gamma$
decays are compatible with the sterile neutrino parameters required for the
explanation of the anomalies, but $K\rightarrow \mu\nu\gamma$ shows a marginal
tension with those parameters. We also propose experimental cuts on radiative
$K$ decays that could test the sterile neutrino hypothesis better. Finally, we
study the contribution of this sterile neutrino to $K\to\mu\nu e e$, and find
that measurements of this process would provide powerful tests for the sterile
neutrino explanation of the LSND and MiniBooNE anomalies, if the experimental
cut on the invariant mass of the $e^{+}e^{-}$ pair could be reduced from its
current value of 145 MeV to a value below 40 MeV.
",hep-ph astro-ph.HE hep-ex
text,Neutrino decays as a natural explanation of the neutrino mass tension,6,hep-ph/9706428,31.900833,A Natural Solution to the Neutrino Mixing Problem,"  The combined requirements, of (i) a natural solution to the fermion mass
hierarchy problem and (ii) an explanation of both the atmospheric and solar
neutrino problems, lead to an essentially unique picture of neutrino masses and
mixing angles. The electron and muon neutrinos are quasi-degenerate in mass
with maximal mixing, giving $\nu_e - \nu_{\mu}$ vacuum oscillations. The
overall neutrino mass scale is set by the atmospheric neutrino requirement
$\Delta m^2 \sim 10^{-2}$ eV$^2$, implying a mass for $\nu_e$ and $\nu_{\mu}$
of order 1 eV in models with a natural mass hierarchy, whilst the tau neutrino
is expected to be much lighter than this and only weakly mixed. We present an
explicit example based on the anti-grand unification model of fermion masses.
",hep-ph
text,Neutrino decays as a natural explanation of the neutrino mass tension,7,2209.13455,31.458288,Testing Explanations of Short Baseline Neutrino Anomalies,"  The experimental observation of neutrino oscillations profoundly impacted the
physics of neutrinos, from being well understood theoretically to requiring new
physics beyond the standard model of particle physics. Indeed, the mystery of
neutrino masses implies the presence of new particles never observed before,
often called sterile neutrinos, as they would not undergo standard weak
interactions. And while neutrino oscillation measurements entered the precision
era, reaching percent-level precision, many experimental results show
significant discrepancies with the standard model, at baselines much shorter
than typical oscillation baselines, like LSND, MiniBooNE, gallium experiments,
and reactor antineutrino measurements. These short baseline anomalies could be
explained by the addition of a light sterile neutrino, with mass in the
$1-10~\text{eV}$ range, however, in strong tension with many null experimental
observations. Other explanations that rely on sterile neutrinos with masses in
the $1-500~\text{MeV}$ could resolve the tension. Here we test both classes of
models. On the one hand, we look for datasets collected at a short baseline
which can constrain heavy sterile neutrino models. We find that the minimal
model is fully constrained, but several extensions of this model could weaken
the current constraint and be tested with current and future datasets. On the
other hand, we test the presence of neutrino oscillations at short baselines,
induced by a light sterile state, with the data collected by the MicroBooNE
experiment, a liquid argon time projection chamber specifically designed to
resolve the details of each neutrino interaction. We report null results from
both analyses, further constraining the space of possible explanations for the
short baseline anomalies. If new physics lies behind the short baseline anomaly
puzzle, it is definitely not described by a simple model.
",hep-ex hep-ph
text,Neutrino decays as a natural explanation of the neutrino mass tension,8,2011.14481,31.445885,Cosmological bound on neutrino masses in the light of $H_0$ tension,"  Although cosmic microwave background (CMB) is the most powerful cosmological
probe of neutrino masses, it is in trouble with local direct measurements of
$H_0$, which is called the $H_0$ tension. Since neutrino masses are correlated
with $H_0$ in CMB, one can expect the cosmological bound on neutrino masses
would be much affected by the $H_0$ tension. We investigate what impact this
tension brings to cosmological bound on neutrino masses by assuming a model
with modified recombination which has been shown to resolve the tension. We
argue that constraints on neutrino masses become significantly weaker in models
where the $H_0$ tension can be resolved.
",astro-ph.CO gr-qc hep-ph hep-th
text,Neutrino decays as a natural explanation of the neutrino mass tension,9,1604.06099,30.984724,Shedding Light on Neutrino Masses with Dark Forces,"  Heavy right-handed neutrinos (RHNs) provide the simplest explanation for the
origin of light neutrino masses and mixings. If the RHN masses are at or below
the weak scale, direct experimental discovery of these states is possible at
accelerator experiments such as the LHC or new dedicated beam dump experiments;
in such experiments, the RHN decays after traversing a macroscopic distance
from the collision point. The experimental sensitivity to RHNs is significantly
enhanced if there is a new ""dark"" gauge force connecting them to the Standard
Model (SM), and detection of RHNs can be the primary discovery mode for the new
dark force itself. We take the well-motivated example of a B-L gauge symmetry
and analyze the sensitivity to displaced decays of the RHNs produced via the
new gauge interaction in two experiments: the LHC and the proposed SHiP beam
dump experiment. In the most favorable case in which the mediator can be
produced on-shell and decays to RHNs, the sensitivity reach is controlled by
the square of the B-L gauge coupling. We demonstrate that these experiments
could access neutrino parameters responsible for the observed SM neutrino
masses and mixings in the most straightforward implementation of the see-saw
mechanism.
",hep-ph hep-ex
text,Neutrino decays as a natural explanation of the neutrino mass tension,10,2312.14214,30.921278,"Tension between neutrino masses and gauge coupling unification in
  natural grand unified theories","  The natural grand unified theories solve various problems of the
supersymmetric grand unified theory and give realistic quark and lepton mass
matrices under the natural assumption that all terms allowed by the symmetry
are introduced with O(1) coefficients. However, because of the natural
assumption, it is difficult to achieve the gauge coupling unification without
tuning, while keeping neutrino masses at realistic values. In this paper, we
try to avoid this tension between the neutrino masses and the gauge coupling
unification, by introducing suppression factors for several terms. These
suppression factors can be understood by approximate symmetries in some of the
solutions. We show that one of the most important results in the natural GUT
scenario, that the nucleon decay mediated by superheavy gauge fields is
enhanced due to smaller unification scale while the nucleon decay mediated by
superheavy colored Higgs is suppressed, can change in those models proposed in
this paper.
",hep-ph
