query_type,query_value,rank,doc_id,score,title,abstract,categories
text,convex optimization gradient descent convergence,1,1901.10682,33.79379,"On the Convergence of (Stochastic) Gradient Descent with Extrapolation
  for Non-Convex Optimization","  Extrapolation is a well-known technique for solving convex optimization and
variational inequalities and recently attracts some attention for non-convex
optimization. Several recent works have empirically shown its success in some
machine learning tasks. However, it has not been analyzed for non-convex
minimization and there still remains a gap between the theory and the practice.
In this paper, we analyze gradient descent and stochastic gradient descent with
extrapolation for finding an approximate first-order stationary point in smooth
non-convex optimization problems. Our convergence upper bounds show that the
algorithms with extrapolation can be accelerated than without extrapolation.
",math.OC
text,convex optimization gradient descent convergence,2,2311.18426,32.70807,Convergence Analysis of Fractional Gradient Descent,"  Fractional derivatives are a well-studied generalization of integer order
derivatives. Naturally, for optimization, it is of interest to understand the
convergence properties of gradient descent using fractional derivatives.
Convergence analysis of fractional gradient descent is currently limited both
in the methods analyzed and the settings analyzed. This paper aims to fill in
these gaps by analyzing variations of fractional gradient descent in smooth and
convex, smooth and strongly convex, and smooth and non-convex settings. First,
novel bounds will be established bridging fractional and integer derivatives.
Then, these bounds will be applied to the aforementioned settings to prove
linear convergence for smooth and strongly convex functions and $O(1/T)$
convergence for smooth and convex functions. Additionally, we prove $O(1/T)$
convergence for smooth and non-convex functions using an extended notion of
smoothness - H\""older smoothness - that is more natural for fractional
derivatives. Finally, empirical results will be presented on the potential
speed up of fractional gradient descent over standard gradient descent as well
as some preliminary theoretical results explaining this speed up.
",math.OC cs.LG cs.NA math.NA
text,convex optimization gradient descent convergence,3,2411.17668,32.452435,Anytime Acceleration of Gradient Descent,"  This work investigates stepsize-based acceleration of gradient descent with
{\em anytime} convergence guarantees. For smooth (non-strongly) convex
optimization, we propose a stepsize schedule that allows gradient descent to
achieve convergence guarantees of $O(T^{-1.119})$ for any stopping time $T$,
where the stepsize schedule is predetermined without prior knowledge of the
stopping time. This result provides an affirmative answer to a COLT open
problem \citep{kornowski2024open} regarding whether stepsize-based acceleration
can yield anytime convergence rates of $o(T^{-1})$. We further extend our
theory to yield anytime convergence guarantees of
$\exp(-\Omega(T/\kappa^{0.893}))$ for smooth and strongly convex optimization,
with $\kappa$ being the condition number.
",cs.LG cs.SY eess.SY math.OC stat.ML
text,convex optimization gradient descent convergence,4,2002.06768,32.219387,Last iterate convergence in no-regret learning: constrained min-max optimization for convex-concave landscapes,"In a recent series of papers it has been established that variants of Gradient Descent/Ascent and Mirror Descent exhibit last iterate convergence in convex-concave zero-sum games. Specifically, \cite{DISZ17, LiangS18} show last iterate convergence of the so called ""Optimistic Gradient Descent/Ascent"" for the case of \textit{unconstrained} min-max optimization. Moreover, in \cite{Metal} the authors show that Mirror Descent with an extra gradient step displays last iterate convergence for convex-concave problems (both constrained and unconstrained), though their algorithm does not follow the online learning framework; it uses extra information rather than \textit{only} the history to compute the next iteration. In this work, we show that ""Optimistic Multiplicative-Weights Update (OMWU)"" which follows the no-regret online learning framework, exhibits last iterate convergence locally for convex-concave games, generalizing the results of \cite{DP19} where last iterate convergence of OMWU was shown only for the \textit{bilinear case}. We complement our results with experiments that indicate fast convergence of the method.",cs.LG cs.GT stat.ML
text,convex optimization gradient descent convergence,5,2508.20823,32.09856,Revisit Stochastic Gradient Descent for Strongly Convex Objectives: Tight Uniform-in-Time Bounds,"Stochastic optimization for strongly convex objectives is a fundamental problem in statistics and optimization. This paper revisits the standard Stochastic Gradient Descent (SGD) algorithm for strongly convex objectives and establishes tight uniform-in-time convergence bounds. We prove that with probability larger than $1 - \beta$, a $\frac{\log \log k + \log (1/\beta)}{k}$ convergence bound simultaneously holds for all $k \in \mathbb{N}_+$, and show that this rate is tight up to constants. Our results also include an improved last-iterate convergence rate for SGD on strongly convex objectives.",math.OC
text,convex optimization gradient descent convergence,6,2412.17050,31.975716,"Linear Convergence Rate in Convex Setup is Possible! Gradient Descent
  Method Variants under $(L_0,L_1)$-Smoothness","  The gradient descent (GD) method -- is a fundamental and likely the most
popular optimization algorithm in machine learning (ML), with a history traced
back to a paper in 1847 (Cauchy, 1847). It was studied under various
assumptions, including so-called $(L_0,L_1)$-smoothness, which received
noticeable attention in the ML community recently. In this paper, we provide a
refined convergence analysis of gradient descent and its variants, assuming
generalized smoothness. In particular, we show that $(L_0,L_1)$-GD has the
following behavior in the convex setup: as long as $\|\nabla f(x^k)\| \geq
\frac{L_0}{L_1}$ the algorithm has linear convergence in function
suboptimality, and when $\|\nabla f(x^k)\| < \frac{L_0}{L_1}$ is satisfied,
$(L_0,L_1)$-GD has standard sublinear rate. Moreover, we also show that this
behavior is common for its variants with different types of oracle: Normalized
Gradient Descent as well as Clipped Gradient Descent (the case when the full
gradient $\nabla f(x)$ is available); Random Coordinate Descent (when the
gradient component $\nabla_{i} f(x)$ is available); Random Coordinate Descent
with Order Oracle (when only $\text{sign} [f(y) - f(x)]$ is available). In
addition, we also extend our analysis of $(L_0,L_1)$-GD to the strongly convex
case.
",math.OC
text,convex optimization gradient descent convergence,7,2409.14989,31.772676,"Methods for Convex $(L_0,L_1)$-Smooth Optimization: Clipping,
  Acceleration, and Adaptivity","  Due to the non-smoothness of optimization problems in Machine Learning,
generalized smoothness assumptions have been gaining a lot of attention in
recent years. One of the most popular assumptions of this type is
$(L_0,L_1)$-smoothness (Zhang et al., 2020). In this paper, we focus on the
class of (strongly) convex $(L_0,L_1)$-smooth functions and derive new
convergence guarantees for several existing methods. In particular, we derive
improved convergence rates for Gradient Descent with (Smoothed) Gradient
Clipping and for Gradient Descent with Polyak Stepsizes. In contrast to the
existing results, our rates do not rely on the standard smoothness assumption
and do not suffer from the exponential dependency from the initial distance to
the solution. We also extend these results to the stochastic case under the
over-parameterization assumption, propose a new accelerated method for convex
$(L_0,L_1)$-smooth optimization, and derive new convergence rates for Adaptive
Gradient Descent (Malitsky and Mishchenko, 2020).
",math.OC cs.LG
text,convex optimization gradient descent convergence,8,2503.02155,31.570263,"Nonconvex optimization and convergence of stochastic gradient descent,
  and solution of asynchronous game","  We review convergence and behavior of stochastic gradient descent for convex
and nonconvex optimization, establishing various conditions for convergence to
zero of the variance of the gradient of the objective function, and presenting
a number of simple examples demonstrating the approximate evolution of the
probability density under iteration, including applications to both classical
two-player and asynchronous multiplayer games
",math.OC
text,convex optimization gradient descent convergence,9,2501.18198,31.489702,Power of Generalized Smoothness in Stochastic Convex Optimization: First- and Zero-Order Algorithms,"This paper is devoted to the study of stochastic optimization problems under the generalized smoothness assumption. By considering the unbiased gradient oracle in Stochastic Gradient Descent, we provide strategies to achieve in bounds the summands describing linear rate. In particular, in the case $L_0 = 0$, we obtain in the convex setup the iteration complexity: $N = \mathcal{O}\left(L_1R \log\frac{1}{\varepsilon} + \frac{L_1 c R^2}{\varepsilon}\right)$ for Clipped Stochastic Gradient Descent and $N = \mathcal{O}\left(L_1R \log\frac{1}{\varepsilon}\right)$ for Normalized Stochastic Gradient Descent. Furthermore, we generalize the convergence results to the case with a biased gradient oracle, and show that the power of $(L_0,L_1)$-smoothness extends to zero-order algorithms. Finally, we demonstrate the possibility of linear convergence in the convex setup through numerical experimentation, which has aroused some interest in the machine learning community.",math.OC
text,convex optimization gradient descent convergence,10,2411.01803,31.473862,Gradient Methods with Online Scaling,"  We introduce a framework to accelerate the convergence of gradient-based
methods with online learning. The framework learns to scale the gradient at
each iteration through an online learning algorithm and provably accelerates
gradient-based methods asymptotically. In contrast with previous literature,
where convergence is established based on worst-case analysis, our framework
provides a strong convergence guarantee with respect to the optimal scaling
matrix for the iteration trajectory. For smooth strongly convex optimization,
our results provide an $O(\kappa^\star \log(1/\varepsilon)$) complexity result,
where $\kappa^\star$ is the condition number achievable by the optimal
preconditioner, improving on the previous $O(\sqrt{n}\kappa^\star
\log(1/\varepsilon))$ result. In particular, a variant of our method achieves
superlinear convergence on convex quadratics. For smooth convex optimization,
we show for the first time that the widely-used hypergradient descent heuristic
improves on the convergence of gradient descent.
",math.OC cs.LG
