query,method,unique_primary_categories_all@20,unique_subcategories_all@20,unique_primary_categories@20,unique_primary_subcategories@20
economy_abstract.csv,bm25,7,16,4,7
economy_abstract.csv,bm25_specter,8,14,4,5
economy_abstract.csv,faiss_specter,8,17,5,8
economy_abstract.csv,minilm,7,17,6,7
economy_abstract.csv,tfidf,7,14,5,11
gnn_citations.csv,bm25,4,12,2,7
gnn_citations.csv,bm25_specter,3,9,1,4
gnn_citations.csv,faiss_specter,3,11,2,6
gnn_citations.csv,minilm,3,10,1,5
gnn_citations.csv,tfidf,4,17,2,3
language_models.csv,bm25,2,7,2,4
language_models.csv,bm25_specter,2,6,1,1
language_models.csv,faiss_specter,1,3,1,2
language_models.csv,minilm,1,3,1,2
language_models.csv,tfidf,2,5,1,3
neutrino_title.csv,bm25,5,7,3,4
neutrino_title.csv,bm25_specter,4,4,4,4
neutrino_title.csv,faiss_specter,7,7,2,2
neutrino_title.csv,minilm,6,8,2,3
neutrino_title.csv,tfidf,5,8,3,4
optimization.csv,bm25,4,9,2,3
optimization.csv,bm25_specter,3,12,3,3
optimization.csv,faiss_specter,3,10,3,4
optimization.csv,minilm,3,7,3,4
optimization.csv,tfidf,4,11,3,5
quantum_field.csv,bm25,9,13,5,7
quantum_field.csv,bm25_specter,7,9,4,4
quantum_field.csv,faiss_specter,7,9,2,2
quantum_field.csv,minilm,7,10,5,5
quantum_field.csv,tfidf,9,14,6,9
similar_to_1810.04805.csv,bm25,3,11,1,5
similar_to_1810.04805.csv,bm25_specter,3,6,1,2
similar_to_1810.04805.csv,faiss_specter,3,7,1,2
similar_to_1810.04805.csv,minilm,3,7,1,1
similar_to_1810.04805.csv,tfidf,3,8,1,3
