query_type,query_value,rank,doc_id,specter_score,title,categories,abstract
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",1,2510.24781,0.9301567077636719,Dual-Channel Technology Diffusion: Spatial Decay and Network Contagion in Supply Chain Networks,econ.EM econ.TH stat.AP stat.ME,"This paper develops a dual-channel framework for analyzing technology diffusion that integrates spatial decay mechanisms from continuous functional analysis with network contagion dynamics from spectral graph theory. Building on our previous studies, which establish Navier-Stokes-based approaches to spatial treatment effects and financial network fragility, we demonstrate that technology adoption spreads simultaneously through both geographic proximity and supply chain connections. Using comprehensive data on six technologies adopted by 500 firms over 2010-2023, we document three key findings. First, technology adoption exhibits strong exponential geographic decay with spatial decay rate $\kappa \approx 0.043$ per kilometer, implying a spatial boundary of $d^* \approx 69$ kilometers beyond which spillovers are negligible (R-squared = 0.99). Second, supply chain connections create technology-specific networks whose algebraic connectivity ($\lambda_2$) increases 300-380 percent as adoption spreads, with correlation between $\lambda_2$ and adoption exceeding 0.95 across all technologies. Third, traditional difference-in-differences methods that ignore spatial and network structure exhibit 61 percent bias in estimated treatment effects. An event study around COVID-19 reveals that network fragility increased 24.5 percent post-shock, amplifying treatment effects through supply chain spillovers in a manner analogous to financial contagion documented in our recent study. Our framework provides micro-foundations for technology policy: interventions have spatial reach of 69 kilometers and network amplification factor of 10.8, requiring coordinated geographic and supply chain targeting for optimal effectiveness."
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",2,1604.05490,0.9218318462371826,Threshold models of cascades in large-scale networks,cs.SI cs.SY math.OC physics.soc-ph,"  The spread of new beliefs, behaviors, conventions, norms, and technologies in
social and economic networks are often driven by cascading mechanisms, and so
are contagion dynamics in financial networks. Global behaviors generally emerge
from the interplay between the structure of the interconnection topology and
the local agents' interactions. We focus on the Linear Threshold Model (LTM) of
cascades first introduced by Granovetter (1978). This can be interpreted as the
best response dynamics in a network game whereby agents choose strategically
between two actions and their payoff is an increasing function of the number of
their neighbors choosing the same action. Each agent is equipped with an
individual threshold representing the number of her neighbors who must have
adopted a certain action for that to become the agent's best response. We
analyze the LTM dynamics on large-scale networks with heterogeneous agents.
Through a local mean-field approach, we obtain a nonlinear, one-dimensional,
recursive equation that approximates the evolution of the LTM dynamics on most
of the networks of a given size and distribution of degrees and thresholds.
Specifically, we prove that, on all but a fraction of networks with given
degree and threshold statistics that is vanishing as the network size grows
large, the actual fraction of adopters of a given action in the LTM dynamics is
arbitrarily close to the output of the aforementioned recursion. We then
analyze the dynamic behavior of this recursion and its bifurcations from a
dynamical systems viewpoint. Applications of our findings to some real network
testbeds show good adherence of the theoretical predictions to numerical
simulations.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",3,2512.15371,0.9188677072525024,Network localization governs social contagion dynamics with macro-level reinforcement,physics.soc-ph physics.app-ph,"The spread of ideas, behaviors, and technologies generally depends on feedback mechanisms operating across multiple scales. Previous studies have extensively examined pairwise transmission and local reinforcement. However, the role of macro-level social influence -- where widespread adoption enhances further adoption -- remains understudied. Here, we focus on a contagion process that incorporates both pairwise interactions and macro-level reinforcement. We show that the contagion undergoes a shift from continuous to mixed-order transition as macro-level influence exceeds a reinforcement threshold. Simulations on various real-world networks indicate that network localization governs the contagion outcomes by determining the critical point and the reinforcement threshold. Building on this insight, we develop a structural metric linking network localization to contagion dynamics, revealing a key trade-off: networks that facilitate weak contagion tend to experience slower diffusion and lower adoption rates, while networks that suppress weak contagions enable faster and more widespread adoption. These findings challenge the conventional belief that stronger local connectivity uniformly promotes contagion."
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",4,1403.4106,0.9185091257095337,"The role of endogenous and exogenous mechanisms in the formation of R&D
  networks",physics.soc-ph cs.SI physics.data-an,"  We develop an agent-based model of strategic link formation in Research and
Development (R&D) networks. Empirical evidence has shown that the growth of
these networks is driven by mechanisms which are both endogenous to the system
(that is, depending on existing alliances patterns) and exogenous (that is,
driven by an exploratory search for newcomer firms). Extant research to date
has not investigated both mechanisms simultaneously in a comparative manner. To
overcome this limitation, we develop a general modeling framework to shed light
on the relative importance of these two mechanisms. We test our model against a
comprehensive dataset, listing cross-country and cross-sectoral R&D alliances
from 1984 to 2009. Our results show that by fitting only three macroscopic
properties of the network topology, this framework is able to reproduce a
number of micro-level measures, including the distributions of degree, local
clustering, path length and component size, and the emergence of network
clusters. Furthermore, by estimating the link probabilities towards newcomers
and established firms from the data, we find that endogenous mechanisms are
predominant over the exogenous ones in the network formation, thus quantifying
the importance of existing structures in selecting partner firms.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",5,2512.12653,0.918271541595459,Spatial-Network Treatment Effects: A Continuous Functional Approach,econ.EM econ.TH stat.ME,"This paper develops a continuous functional framework for treatment effects that propagate through geographic space and economic networks. We derive a master equation governing propagation from three economic foundations -- heterogeneous agent aggregation, market equilibrium, and cost minimization -- establishing that the framework rests on fundamental principles rather than ad hoc specifications. A key result shows that the spatial-network interaction coefficient equals the mutual information between geographic and market coordinates. The Feynman-Kac representation decomposes effects into inherited and accumulated components along stochastic paths representing economic linkages. The framework nests the no-spillover case as a testable restriction. Monte Carlo simulations demonstrate that conventional estimators -- two-way fixed effects, difference-in-differences, and generalized propensity score -- exhibit 25-38% bias and severe undercoverage when spillovers exist, while our estimator maintains correct inference regardless of whether spillovers are present. Applying the framework to U.S. minimum wage policy, we reject the no-spillover null and find total effects at state borders four times larger than direct effects -- conventional methods capture only one-quarter of policy impact. Structural estimates reveal spatial diffusion consistent with commuting-distance labor mobility, network diffusion consistent with quarterly supply chain adjustment, and significant spatial-network interaction reflecting geographic clustering of industries."
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",6,2211.13610,0.9177241325378418,Cross-Sectional Dynamics Under Network Structure: Theory and Macroeconomic Applications,econ.EM,"Many environments in economics involve units linked by bilateral ties. I develop an econometric framework that rationalizes the dynamics of cross-sectional variables as the innovation transmission along fixed bilateral links and that can accommodate rich patterns of how network effects of higher order accumulate over time. The proposed Network-VAR (NVAR) can be used to estimate dynamic network effects, with the network given or inferred from dynamic cross-correlations in the data. In the latter case, it also offers a dimensionality-reduction technique for modeling high-dimensional (cross-sectional) processes, owing to networks' ability to summarize complex relations among variables (units) by relatively few bilateral links. In a first application, I show that sectoral output growth in an RBC economy with lagged input-output conversion follows an NVAR. I characterize impulse-responses to TFP shocks in this environment, and I estimate that the lagged transmission of productivity shocks along supply chains can account for a third of the persistence in aggregate output growth. The remainder is due to persistence in the aggregate TFP process, leaving a negligible role for persistence in sectoral TFP. In a second application, I forecast macroeconomic aggregates across OECD countries by assuming and estimating a network that underlies the dynamics. In line with an equivalence result I provide, this reduces out-of-sample mean squared errors relative to a dynamic factor model. The reductions range from -12% for quarterly real GDP growth to -68% for monthly CPI inflation."
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",7,1601.07995,0.9175230264663696,"Local cascades induced global contagion: How heterogeneous thresholds,
  exogenous effects, and unconcerned behaviour govern online adoption spreading",physics.soc-ph cond-mat.stat-mech cs.SI physics.data-an,"  Adoption of innovations, products or online services is commonly interpreted
as a spreading process driven to large extent by social influence and
conditioned by the needs and capacities of individuals. To model this process
one usually introduces behavioural threshold mechanisms, which can give rise to
the evolution of global cascades if the system satisfies a set of conditions.
However, these models do not address temporal aspects of the emerging cascades,
which in real systems may evolve through various pathways ranging from slow to
rapid patterns. Here we fill this gap through the analysis and modelling of
product adoption in the world's largest voice over internet service, the social
network of Skype. We provide empirical evidence about the heterogeneous
distribution of fractional behavioural thresholds, which appears to be
independent of the degree of adopting egos. We show that the structure of
real-world adoption clusters is radically different from previous theoretical
expectations, since vulnerable adoptions --induced by a single adopting
neighbour-- appear to be important only locally, while spontaneous adopters
arriving at a constant rate and the involvement of unconcerned individuals
govern the global emergence of social spreading.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",8,1304.3623,0.9156153202056885,The Rise and Fall of R&D Networks,physics.soc-ph cs.SI,"  Drawing on a large database of publicly announced R&D alliances, we
empirically investigate the evolution of R&D networks and the process of
alliance formation in several manufacturing sectors over a 24-year period
(1986-2009). Our goal is to empirically evaluate the temporal and sectoral
robustness of a large set of network indicators, thus providing a more complete
description of R&D networks with respect to the existing literature. We find
that most network properties are not only invariant across sectors, but also
independent of the scale of aggregation at which they are observed, and we
highlight the presence of core-periphery architectures in explaining some
properties emphasized in previous empirical studies (e.g. asymmetric degree
distributions and small worlds). In addition, we show that many properties of
R&D networks are characterized by a rise-and-fall dynamics with a peak in the
mid-nineties. We find that such dynamics is driven by mechanisms of
accumulative advantage, structural homophily and multiconnectivity. In
particular, the change from the ""rise"" to the ""fall"" phase is associated to a
structural break in the importance of multiconnectivity.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",9,2510.24775,0.9152767658233643,Dynamic Spatial Treatment Effects and Network Fragility: Theory and Evidence from European Banking,econ.EM q-fin.GN q-fin.RM stat.AP stat.ME,"This paper develops and empirically implements a continuous functional framework for analyzing systemic risk in financial networks, building on the dynamic spatial treatment effect methodology established in our previous studies. We extend the Navier-Stokes-based approach from our previous studies to characterize contagion dynamics in the European banking system through the spectral properties of network evolution operators. Using high-quality bilateral exposure data from the European Banking Authority Transparency Exercise (2014-2023), we estimate the causal impact of the COVID-19 pandemic on network fragility using spatial difference-in-differences methods adapted from our previous studies. Our empirical analysis reveals that COVID-19 elevated network fragility, measured by the algebraic connectivity $\lambda_2$ of the system Laplacian, by 26.9% above pre-pandemic levels (95% CI: [7.4%, 46.5%], p<0.05), with effects persisting through 2023. Paradoxically, this occurred despite a 46% reduction in the number of banks, demonstrating that consolidation increased systemic vulnerability by intensifying interconnectedness-consistent with theoretical predictions from continuous spatial dynamics. Our findings validate the key predictions from \citet{kikuchi2024dynamical}: treatment effects amplify over time through spatial spillovers, consolidation increases fragility when coupling strength rises, and systems exhibit structural hysteresis preventing automatic reversion to pre-shock equilibria. The results demonstrate the empirical relevance of continuous functional methods for financial stability analysis and provide new insights for macroprudential policy design. We propose network-based capital requirements targeting spectral centrality and stress testing frameworks incorporating diffusion dynamics to address the coupling externalities identified in our analysis."
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",10,2004.14485,0.9152039885520935,"Distress propagation on production networks: Coarse-graining and
  modularity of linkages",physics.soc-ph econ.GN q-fin.EC,"  Distress propagation occurs in connected networks, its rate and extent being
dependent on network topology. To study this, we choose economic production
networks as a paradigm. An economic network can be examined at many levels:
linkages among individual agents (microscopic), among firms/sectors
(mesoscopic) or among countries (macroscopic). New emergent dynamical
properties appear at every level, so the granularity matters. For viral
epidemics, even an individual node may act as an epicenter of distress and
potentially affect the entire network. Economic networks, however, are known to
be immune at the micro-levels and more prone to failure in the
meso/macro-levels. We propose a dynamical interaction model to characterize the
mechanism of distress propagation, across different modules of a network,
initiated at different epicenters. Vulnerable modules often lead to large
degrees of destabilization. We demonstrate our methodology using a unique
empirical data-set of input-output linkages across 0.14 million firms in one
administrative state of India, a developing economy. The network has multiple
hub-and-spoke structures that exhibits moderate disassortativity, which varies
with the level of coarse-graining. The novelty lies in characterizing the
production network at different levels of granularity or modularity, and
finding `too-big-to-fail' modules supersede `too-central-to-fail' modules in
distress propagation.
"
