query_type,query_value,rank,doc_id,specter_score,title,categories,abstract
text,graph neural networks for citation analysis,1,1806.04641,0.7871609926223755,Predicting Citation Counts with a Neural Network,cs.DL cs.NE,"  We here describe and present results of a simple neural network that predicts
individual researchers' future citation counts based on a variety of data from
the researchers' past. For publications available on the open access-server
arXiv.org we find a higher predictability than previous studies.
"
text,graph neural networks for citation analysis,2,2410.24021,0.7653957605361938,"Detecting text level intellectual influence with knowledge graph
  embeddings",cs.CL,"  Introduction: Tracing the spread of ideas and the presence of influence is a
question of special importance across a wide range of disciplines, ranging from
intellectual history to cultural analytics, computational social science, and
the science of science.
  Method: We collect a corpus of open source journal articles, generate
Knowledge Graph representations using the Gemini LLM, and attempt to predict
the existence of citations between sampled pairs of articles using previously
published methods and a novel Graph Neural Network based embedding model.
  Results: We demonstrate that our knowledge graph embedding method is superior
at distinguishing pairs of articles with and without citation. Once trained, it
runs efficiently and can be fine-tuned on specific corpora to suit individual
researcher needs.
  Conclusion(s): This experiment demonstrates that the relationships encoded in
a knowledge graph, especially the types of concepts brought together by
specific relations can encode information capable of revealing intellectual
influence. This suggests that further work in analyzing document level
knowledge graphs to understand latent structures could provide valuable
insights.
"
text,graph neural networks for citation analysis,3,2505.21162,0.7626416683197021,Leveraging GANs for citation intent classification and its impact on citation network analysis,cs.DL cs.CL cs.SI,"Citations play a fundamental role in the scientific ecosystem, serving as a foundation for tracking the flow of knowledge, acknowledging prior work, and assessing scholarly influence. In scientometrics, they are also central to the construction of quantitative indicators. Not all citations, however, serve the same function: some provide background, others introduce methods, or compare results. Therefore, understanding citation intent allows for a more nuanced interpretation of scientific impact. In this paper, we adopted a GAN-based method to classify citation intents. Our results revealed that the proposed method achieves competitive classification performance, closely matching state-of-the-art results with substantially fewer parameters. This demonstrates the effectiveness and efficiency of leveraging GAN architectures combined with contextual embeddings in intent classification task. We also investigated whether filtering citation intents affects the centrality of papers in citation networks. Analyzing the network constructed from the unArXiv dataset, we found that paper rankings can be significantly influenced by citation intent. All four centrality metrics examined- degree, PageRank, closeness, and betweenness - were sensitive to the filtering of citation types. The betweenness centrality displayed the greatest sensitivity, showing substantial changes in ranking when specific citation intents were removed."
text,graph neural networks for citation analysis,4,2304.11534,0.7626054286956787,Graph Neural Networks for Text Classification: A Survey,cs.CL,"  Text Classification is the most essential and fundamental problem in Natural
Language Processing. While numerous recent text classification models applied
the sequential deep learning technique, graph neural network-based models can
directly deal with complex structured text data and exploit global information.
Many real text classification applications can be naturally cast into a graph,
which captures words, documents, and corpus global features. In this survey, we
bring the coverage of methods up to 2023, including corpus-level and
document-level graph neural networks. We discuss each of these methods in
detail, dealing with the graph construction mechanisms and the graph-based
learning process. As well as the technological survey, we look at issues behind
and future directions addressed in text classification using graph neural
networks. We also cover datasets, evaluation metrics, and experiment design and
present a summary of published performance on the publicly available
benchmarks. Note that we present a comprehensive comparison between different
techniques and identify the pros and cons of various evaluation metrics in this
survey.
"
text,graph neural networks for citation analysis,5,2104.02562,0.7614059448242188,Structured Citation Trend Prediction Using Graph Neural Networks,cs.LG cs.SI,"  Academic citation graphs represent citation relationships between
publications across the full range of academic fields. Top cited papers
typically reveal future trends in their corresponding domains which is of
importance to both researchers and practitioners. Prior citation prediction
methods often require initial citation trends to be established and do not take
advantage of the recent advancements in graph neural networks (GNNs). We
present GNN-based architecture that predicts the top set of papers at the time
of publication. For experiments, we curate a set of academic citation graphs
for a variety of conferences and show that the proposed model outperforms other
classic machine learning models in terms of the F1-score.
"
text,graph neural networks for citation analysis,6,1904.09981,0.7608433961868286,GraphNAS: Graph Neural Architecture Search with Reinforcement Learning,cs.LG cs.AI stat.ML,"  Graph Neural Networks (GNNs) have been popularly used for analyzing
non-Euclidean data such as social network data and biological data. Despite
their success, the design of graph neural networks requires a lot of manual
work and domain knowledge. In this paper, we propose a Graph Neural
Architecture Search method (GraphNAS for short) that enables automatic search
of the best graph neural architecture based on reinforcement learning.
Specifically, GraphNAS first uses a recurrent network to generate
variable-length strings that describe the architectures of graph neural
networks, and then trains the recurrent network with reinforcement learning to
maximize the expected accuracy of the generated architectures on a validation
data set. Extensive experimental results on node classification tasks in both
transductive and inductive learning settings demonstrate that GraphNAS can
achieve consistently better performance on the Cora, Citeseer, Pubmed citation
network, and protein-protein interaction network. On node classification tasks,
GraphNAS can design a novel network architecture that rivals the best
human-invented architecture in terms of test set accuracy.
"
text,graph neural networks for citation analysis,7,2501.06656,0.7602908611297607,"OpenAlex2Pajek -- an R Package for converting OpenAlex bibliographic
  data into Pajek networks",cs.DL stat.AP,"  For analysis of bibliographic data, we can obtain from bibliographic
databases the corresponding collection of bibliographic networks. Recently
OpenAlex, a new open-access bibliographic database, became available. We
present OpenAlex2Pajek, an R package for converting OpenAlex data into a
collection of Pajek's networks. For an illustration, we created a temporal
weighted network describing the co-authorship between world countries for years
from 1990 to 2023. We present some analyses of this network.
"
text,graph neural networks for citation analysis,8,1910.08144,0.7597841024398804,"Explainable Authorship Verification in Social Media via Attention-based
  Similarity Learning",cs.CL,"  Authorship verification is the task of analyzing the linguistic patterns of
two or more texts to determine whether they were written by the same author or
not. The analysis is traditionally performed by experts who consider linguistic
features, which include spelling mistakes, grammatical inconsistencies, and
stylistics for example. Machine learning algorithms, on the other hand, can be
trained to accomplish the same, but have traditionally relied on so-called
stylometric features. The disadvantage of such features is that their
reliability is greatly diminished for short and topically varied social media
texts. In this interdisciplinary work, we propose a substantial extension of a
recently published hierarchical Siamese neural network approach, with which it
is feasible to learn neural features and to visualize the decision-making
process. For this purpose, a new large-scale corpus of short Amazon reviews for
text comparison research is compiled and we show that the Siamese network
topologies outperform state-of-the-art approaches that were built up on
stylometric features. Our linguistic analysis of the internal attention weights
of the network shows that the proposed method is indeed able to latch on to
some traditional linguistic categories.
"
text,graph neural networks for citation analysis,9,physics/0506056,0.7588752508163452,Citation Statistics from 110 Years of Physical Review,physics.soc-ph physics.data-an,"  Publicly available data reveal long-term systematic features about citation
statistics and how papers are referenced. The data also tell fascinating
citation histories of individual articles.
"
text,graph neural networks for citation analysis,10,1609.00435,0.7560726404190063,Citation Classification for Behavioral Analysis of a Scientific Field,cs.CL cs.DL,"  Citations are an important indicator of the state of a scientific field,
reflecting how authors frame their work, and influencing uptake by future
scholars. However, our understanding of citation behavior has been limited to
small-scale manual citation analysis. We perform the largest behavioral study
of citations to date, analyzing how citations are both framed and taken up by
scholars in one entire field: natural language processing. We introduce a new
dataset of nearly 2,000 citations annotated for function and centrality, and
use it to develop a state-of-the-art classifier and label the entire ACL
Reference Corpus. We then study how citations are framed by authors and use
both papers and online traces to track how citations are followed by readers.
We demonstrate that authors are sensitive to discourse structure and
publication venue when citing, that online readers follow temporal links to
previous and future work rather than methodological links, and that how a paper
cites related work is predictive of its citation count. Finally, we use changes
in citation roles to show that the field of NLP is undergoing a significant
increase in consensus.
"
