query_type,query_value,rank,id,categories,similarity,title,abstract
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",1,1403.3472,physics.soc-ph cond-mat.dis-nn cond-mat.stat-mech,0.9326577186584473,Threshold cascades with response heterogeneity in multiplex networks,"  Threshold cascade models have been used to describe spread of behavior in
social networks and cascades of default in financial networks. In some cases,
these networks may have multiple kinds of interactions, such as distinct types
of social ties or distinct types of financial liabilities; furthermore, nodes
may respond in different ways to in influence from their neighbors of multiple
types. To start to capture such settings in a stylized way, we generalize a
threshold cascade model to a multiplex network in which nodes follow one of two
response rules: some nodes activate when, in at least one layer, a large enough
fraction of neighbors are active, while the other nodes activate when, in all
layers, a large enough fraction of neighbors are active. Varying the fractions
of nodes following either rule facilitates or inhibits cascades. Near the
inhibition regime, global cascades appear discontinuously as the network
density increases; however, the cascade grows more slowly over time. This
behavior suggests a way in which various collective phenomena in the real world
could appear abruptly yet slowly.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",2,2304.13608,physics.soc-ph,0.9288960695266724,"Identifying the structure patterns to govern the performance of
  localization in regulating innovation diffusion","  The macro social influence is recognized as a non-negligible ingredient in
innovation propagation: more adopters in the network lead to a higher adoption
tendency for the rest individuals. A recent study to incorporate such a crucial
mechanism shows that sufficient intensity of macro-level social influence can
cause a change from a continuous to discontinuous transition, further
indicating the existence of a tricritical point. Although network localization
strength determines the tricritical point, it remains unclear what network
quantities govern the performance of localization in regulating innovation
diffusion. To address this issue, we herein consider the model incorporating
both the micro- and macro-levels social influence. We present a dynamic
message-passing method to analytically treat both the outbreak threshold and
recovered population, and validate the predictions through agent-based
simulations. Extensive analysis on the classical synthetic networks shows that
sparsely available connections, and relatively heterogeneous degree
distribution, either assortative or extremely disassortative configurations are
favorable for continuous transition. In such cases, the employed network can
yield a strong localization effect so that the innovation is trapped in the
configurations composed of the hubs with high non-backtracking centrality. We
further explore the dependence of both tricritical point and localization
strength on three structural quantities: network density, heterogeneity, and
assortativity, which gives a clear physical picture of the joint effects of the
three structure quantities on the localization strength. Finally, we conclude
that the core-periphery structure, being sensitive to the change of the three
structure quantities, essentially determines localization strength, and further
regulates the phase transition.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",3,1804.01349,physics.soc-ph cs.CY cs.SI,0.927360475063324,The role of geography in the complex diffusion of innovations,"  The urban-rural divide is increasing in modern societies calling for
geographical extensions of social influence modelling. Improved understanding
of innovation diffusion across locations and through social connections can
provide us with new insights into the spread of information, technological
progress and economic development. In this work, we analyze the spatial
adoption dynamics of iWiW, an Online Social Network (OSN) in Hungary and
uncover empirical features about the spatial adoption in social networks.
During its entire life cycle from 2002 to 2012, iWiW reached up to 300 million
friendship ties of 3 million users. We find that the number of adopters as a
function of town population follows a scaling law that reveals a strongly
concentrated early adoption in large towns and a less concentrated late
adoption. We also discover a strengthening distance decay of spread over the
life-cycle indicating high fraction of distant diffusion in early stages but
the dominance of local diffusion in late stages. The spreading process is
modelled within the Bass diffusion framework that enables us to compare the
differential equation version with an agent-based version of the model run on
the empirical network. Although both models can capture the macro trend of
adoption, they have limited capacity to describe the observed trends of urban
scaling and distance decay. We find, however that incorporating adoption
thresholds, defined by the fraction of social connections that adopt a
technology before the individual adopts, improves the network model fit to the
urban scaling of early adopters. Controlling for the threshold distribution
enables us to eliminate the bias induced by local network structure on
predicting local adoption peaks. Finally, we show that geographical features
such as distance from the innovation origin and town size influence prediction
of adoption peak at local scales.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",4,cond-mat/0104080,cond-mat.dis-nn cond-mat.stat-mech q-fin.GN,0.9236570596694946,Criticality in a model of banking crises,"  An interbank market lets participants pool the risk arising from the
combination of illiquid investments and random withdrawals by depositors. But
it also creates the potential for one bank's failure to trigger off avalanches
of further failures. We simulate a model of interbank lending to study the
interplay of these two effects. We show that when banks are similar in size and
exposure to risk, avalanche effects are small so that widening the interbank
market leads to more stability. But as heterogeneity increases, avalanche
effects become more important. By varying the heterogeneity and connectivity
across banks, the system enters a critical regime with a power law distribution
of avalanche sizes.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",5,2510.24775,econ.EM q-fin.GN q-fin.RM stat.AP stat.ME,0.9229514002799988,Dynamic Spatial Treatment Effects and Network Fragility: Theory and Evidence from European Banking,"This paper develops and empirically implements a continuous functional framework for analyzing systemic risk in financial networks, building on the dynamic spatial treatment effect methodology established in our previous studies. We extend the Navier-Stokes-based approach from our previous studies to characterize contagion dynamics in the European banking system through the spectral properties of network evolution operators. Using high-quality bilateral exposure data from the European Banking Authority Transparency Exercise (2014-2023), we estimate the causal impact of the COVID-19 pandemic on network fragility using spatial difference-in-differences methods adapted from our previous studies. Our empirical analysis reveals that COVID-19 elevated network fragility, measured by the algebraic connectivity $\lambda_2$ of the system Laplacian, by 26.9% above pre-pandemic levels (95% CI: [7.4%, 46.5%], p<0.05), with effects persisting through 2023. Paradoxically, this occurred despite a 46% reduction in the number of banks, demonstrating that consolidation increased systemic vulnerability by intensifying interconnectedness-consistent with theoretical predictions from continuous spatial dynamics. Our findings validate the key predictions from \citet{kikuchi2024dynamical}: treatment effects amplify over time through spatial spillovers, consolidation increases fragility when coupling strength rises, and systems exhibit structural hysteresis preventing automatic reversion to pre-shock equilibria. The results demonstrate the empirical relevance of continuous functional methods for financial stability analysis and provide new insights for macroprudential policy design. We propose network-based capital requirements targeting spectral centrality and stress testing frameworks incorporating diffusion dynamics to address the coupling externalities identified in our analysis."
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",6,1710.11512,q-fin.RM,0.9196621179580688,Network models of financial systemic risk: A review,"  The global financial system can be represented as a large complex network in
which banks, hedge funds and other financial institutions are interconnected to
each other through visible and invisible financial linkages. Recently, a lot of
attention has been paid to the understanding of the mechanisms that can lead to
a breakdown of this network. This can happen when the existing financial links
turn from being a means of risk diversification to channels for the propagation
of risk across financial institutions. In this review article, we summarize
recent developments in the modeling of financial systemic risk. We focus in
particular on network approaches, such as models of default cascades due to
bilateral exposures or to overlapping portfolios, and we also report on recent
findings on the empirical structure of interbank networks. The current review
provides a landscape of the newly arising interdisciplinary field lying at the
intersection of several disciplines, such as network science, physics,
engineering, economics, and ecology.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",7,1212.1449,cs.SI physics.soc-ph,0.9157461524009705,"Exploring associations between micro-level models of innovation
  diffusion and emerging macro-level adoption patterns","  A micro-level agent-based model of innovation diffusion was developed that
explicitly combines (a) an individual's perception of the advantages or
relative utility derived from adoption, and (b) social influence from members
of the individual's social network. The micro-model was used to simulate
macro-level diffusion patterns emerging from different configurations of
micro-model parameters. Micro-level simulation results matched very closely the
adoption patterns predicted by the widely-used Bass macro-level model (Bass,
1969). For a portion of the domain, results from micro-simulations were
consistent with aggregate-level adoption patterns reported in the literature.
Induced Bass macro-level parameters and responded to changes in
micro-parameters: (1) increased with the number of innovators and with the rate
at which innovators are introduced; (2) increased with the probability of
rewiring in small-world networks, as the characteristic path length decreases;
and (3) an increase in the overall perceived utility of an innovation caused a
corresponding increase in induced and values. Understanding micro to macro
linkages can inform the design and assessment of marketing interventions on
micro-variables - or processes related to them - to enhance adoption of future
products or technologies.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",8,1403.1177,physics.soc-ph cs.SI physics.data-an,0.915467381477356,"Effects of temporal correlations on cascades: Threshold models on
  temporal networks","  A person's decision to adopt an idea or product is often driven by the
decisions of peers, mediated through a network of social ties. A common way of
modeling adoption dynamics is to use threshold models, where a node may become
an adopter given a high enough rate of contacts with adopted neighbors. We
study the dynamics of threshold models that take both the network topology and
the timings of contacts into account, using empirical contact sequences as
substrates. The models are designed such that adoption is driven by the number
of contacts with different adopted neighbors within a chosen time. We find that
while some networks support cascades leading to network-level adoption, some do
not: the propagation of adoption depends on several factors from the frequency
of contacts to burstiness and timing correlations of contact sequences. More
specifically, burstiness is seen to suppress cascades sizes when compared to
randomised contact timings, while timing correlations between contacts on
adjacent links facilitate cascades.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",9,1604.05490,cs.SI cs.SY math.OC physics.soc-ph,0.9069726467132568,Threshold models of cascades in large-scale networks,"  The spread of new beliefs, behaviors, conventions, norms, and technologies in
social and economic networks are often driven by cascading mechanisms, and so
are contagion dynamics in financial networks. Global behaviors generally emerge
from the interplay between the structure of the interconnection topology and
the local agents' interactions. We focus on the Linear Threshold Model (LTM) of
cascades first introduced by Granovetter (1978). This can be interpreted as the
best response dynamics in a network game whereby agents choose strategically
between two actions and their payoff is an increasing function of the number of
their neighbors choosing the same action. Each agent is equipped with an
individual threshold representing the number of her neighbors who must have
adopted a certain action for that to become the agent's best response. We
analyze the LTM dynamics on large-scale networks with heterogeneous agents.
Through a local mean-field approach, we obtain a nonlinear, one-dimensional,
recursive equation that approximates the evolution of the LTM dynamics on most
of the networks of a given size and distribution of degrees and thresholds.
Specifically, we prove that, on all but a fraction of networks with given
degree and threshold statistics that is vanishing as the network size grows
large, the actual fraction of adopters of a given action in the LTM dynamics is
arbitrarily close to the output of the aforementioned recursion. We then
analyze the dynamic behavior of this recursion and its bifurcations from a
dynamical systems viewpoint. Applications of our findings to some real network
testbeds show good adherence of the theoretical predictions to numerical
simulations.
"
text,"This paper develops a unified framework for analyzing technology adoption in financial networks that incorporates spatial spillovers, network externalities, and their interaction. The framework characterizes adoption dynamics through a master equation whose solution admits a Feynman-Kac representation as expected cumulative adoption pressure along stochastic paths through spatial-network space. From this representation, I derive the Adoption Amplification Factor -- a structural measure of technology leadership that captures the ratio of total system-wide adoption to initial adoption following a localized shock. A Levy jump-diffusion extension with state-dependent jump intensity captures critical mass dynamics: below threshold, adoption evolves through gradual diffusion; above threshold, cascade dynamics accelerate adoption through discrete jumps. Applying the framework to SWIFT gpi adoption among 17 Global Systemically Important Banks, I find strong support for the two-regime characterization. Network-central banks adopt significantly earlier (ho = -0.69, p = 0.002), and pre-threshold adopters have significantly higher amplification factors than post-threshold adopters (11.81 versus 7.83, p = 0.010). Founding members, representing 29 percent of banks, account for 39 percent of total system amplification -- sufficient to trigger cascade dynamics. Controlling for firm size and network position, CEO age delays adoption by 11-15 days per year.",10,1607.01265,physics.soc-ph cs.SI,0.8932255506515503,Innovation diffusion equations on correlated scale-free networks,"  We introduce a heterogeneous network structure into the Bass diffusion model,
in order to study the diffusion times of innovation or information in networks
with a scale-free structure, typical of regions where diffusion is sensitive to
geographic and logistic influences (like for instance Alpine regions). We
consider both the diffusion peak times of the total population and of the link
classes. In the familiar trickle-down processes the adoption curve of the hubs
is found to anticipate the total adoption in a predictable way. In a major
departure from the standard model, we model a trickle-up process by introducing
heterogeneous publicity coefficients (which can also be negative for the hubs,
thus turning them into stiflers) and a stochastic term which represents the
erratic generation of innovation at the periphery of the network. The results
confirm the robustness of the Bass model and expand considerably its range of
applicability.
"
