query_type,query_value,rank,id,categories,similarity,title,abstract
text,large language models transformers pretraining,1,2402.13137,cs.CL,0.5295882225036621,The Hidden Space of Transformer Language Adapters,"  We analyze the operation of transformer language adapters, which are small
modules trained on top of a frozen language model to adapt its predictions to
new target languages. We show that adapted predictions mostly evolve in the
source language the model was trained on, while the target language becomes
pronounced only in the very last layers of the model. Moreover, the adaptation
process is gradual and distributed across layers, where it is possible to skip
small groups of adapters without decreasing adaptation performance. Last, we
show that adapters operate on top of the model's frozen representation space
while largely preserving its structure, rather than on an 'isolated' subspace.
Our findings provide a deeper view into the adaptation process of language
models to new languages, showcasing the constraints imposed on it by the
underlying model and introduces practical implications to enhance its
efficiency.
"
text,large language models transformers pretraining,2,2407.11722,cs.LG,0.5291616916656494,"Exploring Quantization for Efficient Pre-Training of Transformer
  Language Models","  The increasing scale of Transformer models has led to an increase in their
pre-training computational requirements. While quantization has proven to be
effective after pre-training and during fine-tuning, applying quantization in
Transformers during pre-training has remained largely unexplored at scale for
language modeling. This study aims to explore the impact of quantization for
efficient pre-training of Transformers, with a focus on linear layer
components. By systematically applying straightforward linear quantization to
weights, activations, gradients, and optimizer states, we assess its effects on
model efficiency, stability, and performance during training. By offering a
comprehensive recipe of effective quantization strategies to be applied during
the pre-training of Transformers, we promote high training efficiency from
scratch while retaining language modeling ability. Code is available at
https://github.com/chandar-lab/EfficientLLMs.
"
text,large language models transformers pretraining,3,2407.09298,cs.CL,0.5277943015098572,Transformer Layers as Painters,"  Despite their nearly universal adoption for large language models, the
internal workings of transformers are not well understood. We aim to better
understand the impact of removing or reorganizing information throughout the
layers of a pretrained transformer. Such an understanding could both yield
better usage of existing models as well as to make architectural improvements
to produce new variants. We present a series of empirical studies on frozen
models that show that the lower and final layers of pretrained transformers
differ from middle layers, but that middle layers have a surprising amount of
uniformity. We further show that some classes of problems have robustness to
skipping layers, running the layers in an order different from how they were
trained, or running the layers in parallel. Our observations suggest that even
frozen pretrained models may gracefully trade accuracy for latency by skipping
layers or running layers in parallel.
"
text,large language models transformers pretraining,4,2110.02402,cs.LG cs.CL,0.5232833623886108,"Language Modeling using LMUs: 10x Better Data Efficiency or Improved
  Scaling Compared to Transformers","  Recent studies have demonstrated that the performance of transformers on the
task of language modeling obeys a power-law relationship with model size over
six orders of magnitude. While transformers exhibit impressive scaling, their
performance hinges on processing large amounts of data, and their computational
and memory requirements grow quadratically with sequence length. Motivated by
these considerations, we construct a Legendre Memory Unit based model that
introduces a general prior for sequence processing and exhibits an $O(n)$ and
$O(n \ln n)$ (or better) dependency for memory and computation respectively.
Over three orders of magnitude, we show that our new architecture attains the
same accuracy as transformers with 10x fewer tokens. We also show that for the
same amount of training our model improves the loss over transformers about as
much as transformers improve over LSTMs. Additionally, we demonstrate that
adding global self-attention complements our architecture and the augmented
model improves performance even further.
"
text,large language models transformers pretraining,5,2012.11995,cs.CL,0.5183922648429871,Pre-Training a Language Model Without Human Language,"  In this paper, we study how the intrinsic nature of pre-training data
contributes to the fine-tuned downstream performance. To this end, we pre-train
different transformer-based masked language models on several corpora with
certain features, and we fine-tune those language models on GLUE benchmarks. We
find that models pre-trained on unstructured data beat those trained directly
from scratch on downstream tasks. Our results also show that pre-training on
structured data does not always make the model acquire ability that can be
transferred to natural language downstream tasks. To our great astonishment, we
uncover that pre-training on certain non-human language data gives GLUE
performance close to performance pre-trained on another non-English language.
"
text,large language models transformers pretraining,6,2404.19484,cs.LG cs.AI cs.CL,0.5147178173065186,More Compute Is What You Need,"  Large language model pre-training has become increasingly expensive, with
most practitioners relying on scaling laws to allocate compute budgets for
model size and training tokens, commonly referred to as Compute-Optimal or
Chinchilla Optimal. In this paper, we hypothesize a new scaling law that
suggests model performance depends mostly on the amount of compute spent for
transformer-based models, independent of the specific allocation to model size
and dataset size. Using this unified scaling law, we predict that (a) for
inference efficiency, training should prioritize smaller model sizes and larger
training datasets, and (b) assuming the exhaustion of available web datasets,
scaling the model size might be the only way to further improve model
performance.
"
text,large language models transformers pretraining,7,2105.00572,cs.CL,0.5125082731246948,Larger-Scale Transformers for Multilingual Masked Language Modeling,"  Recent work has demonstrated the effectiveness of cross-lingual language
model pretraining for cross-lingual understanding. In this study, we present
the results of two larger multilingual masked language models, with 3.5B and
10.7B parameters. Our two new models dubbed XLM-R XL and XLM-R XXL outperform
XLM-R by 1.8% and 2.4% average accuracy on XNLI. Our model also outperforms the
RoBERTa-Large model on several English tasks of the GLUE benchmark by 0.3% on
average while handling 99 more languages. This suggests pretrained models with
larger capacity may obtain both strong performance on high-resource languages
while greatly improving low-resource languages. We make our code and models
publicly available.
"
text,large language models transformers pretraining,8,2307.07843,cs.LG cs.CL,0.5099201202392578,Transformers are Universal Predictors,"  We find limits to the Transformer architecture for language modeling and show
it has a universal prediction property in an information-theoretic sense. We
further analyze performance in non-asymptotic data regimes to understand the
role of various components of the Transformer architecture, especially in the
context of data-efficient training. We validate our theoretical analysis with
experiments on both synthetic and real datasets.
"
text,large language models transformers pretraining,9,2504.04151,cs.CL,0.5086190104484558,STEP: Staged Parameter-Efficient Pre-training for Large Language Models,"  Pre-training large language models (LLMs) faces significant memory challenges
due to the large size of model parameters. We introduce STaged
parameter-Efficient Pre-training (STEP), which integrates parameter-efficient
tuning techniques with model growth. We conduct experiments on pre-training
LLMs of various sizes and demonstrate that STEP achieves up to a 53.9%
reduction in maximum memory requirements compared to vanilla pre-training while
maintaining equivalent performance. Furthermore, we show that the model by STEP
performs comparably to vanilla pre-trained models on downstream tasks after
instruction tuning.
"
text,large language models transformers pretraining,10,2005.00581,cs.CL cs.LG,0.5084734559059143,Multi-scale Transformer Language Models,"  We investigate multi-scale transformer language models that learn
representations of text at multiple scales, and present three different
architectures that have an inductive bias to handle the hierarchical nature of
language. Experiments on large-scale language modeling benchmarks empirically
demonstrate favorable likelihood vs memory footprint trade-offs, e.g. we show
that it is possible to train a hierarchical variant with 30 layers that has 23%
smaller memory footprint and better perplexity, compared to a vanilla
transformer with less than half the number of layers, on the Toronto
BookCorpus. We analyze the advantages of learned representations at multiple
scales in terms of memory footprint, compute time, and perplexity, which are
particularly appealing given the quadratic scaling of transformers' run time
and memory usage with respect to sequence length.
"
