query_type,query_value,rank,id,categories,similarity,title,abstract
text,convex optimization gradient descent convergence,1,2409.14989,math.OC cs.LG,0.5580546855926514,"Methods for Convex $(L_0,L_1)$-Smooth Optimization: Clipping,
  Acceleration, and Adaptivity","  Due to the non-smoothness of optimization problems in Machine Learning,
generalized smoothness assumptions have been gaining a lot of attention in
recent years. One of the most popular assumptions of this type is
$(L_0,L_1)$-smoothness (Zhang et al., 2020). In this paper, we focus on the
class of (strongly) convex $(L_0,L_1)$-smooth functions and derive new
convergence guarantees for several existing methods. In particular, we derive
improved convergence rates for Gradient Descent with (Smoothed) Gradient
Clipping and for Gradient Descent with Polyak Stepsizes. In contrast to the
existing results, our rates do not rely on the standard smoothness assumption
and do not suffer from the exponential dependency from the initial distance to
the solution. We also extend these results to the stochastic case under the
over-parameterization assumption, propose a new accelerated method for convex
$(L_0,L_1)$-smooth optimization, and derive new convergence rates for Adaptive
Gradient Descent (Malitsky and Mishchenko, 2020).
"
text,convex optimization gradient descent convergence,2,2506.01791,math.OC cs.NA math.NA,0.5514132976531982,Tight Convergence Rates in Gradient Mapping for the Difference-of-Convex Algorithm,"We establish new theoretical convergence guarantees for the difference-of-convex algorithm (DCA), where the second function is allowed to be weakly-convex, measuring progress via composite gradient mapping. Based on a tight analysis of two iterations of DCA, we identify six parameter regimes leading to sublinear convergence rates toward critical points and establish those rates by proving adapted descent lemmas. We recover existing rates for the standard difference-of-convex decompositions of nonconvex-nonconcave functions, while for all other curvature settings our results are new, complementing recently obtained rates on the gradient residual. Three of our sublinear rates are tight for any number of DCA iterations, while for the other three regimes we conjecture exact rates, using insights from the tight analysis of gradient descent and numerical validation using the performance estimation methodology. Finally, we show how the equivalence between proximal gradient descent (PGD) and DCA allows the derivation of exact PGD rates for any constant stepsize."
text,convex optimization gradient descent convergence,3,1902.09181,math.OC,0.5513243675231934,"A New Exact Worst-Case Linear Convergence Rate of the Proximal Gradient
  Method","  In this note, we establish a new exact worst-case linear convergence rate of
the proximal gradient method in terms of the proximal gradient norm, which
complements the recent results in [1] and implies a refined descent
lemma.descent lemma. Based on the new lemma, we improve the linear convergence
rate of the objective function accuracy under the Polyak-Lojasiewicz
inequality.
"
text,convex optimization gradient descent convergence,4,1805.08114,stat.ML cs.LG math.OC,0.5476268529891968,"On the Convergence of Stochastic Gradient Descent with Adaptive
  Stepsizes","  Stochastic gradient descent is the method of choice for large scale
optimization of machine learning objective functions. Yet, its performance is
greatly variable and heavily depends on the choice of the stepsizes. This has
motivated a large body of research on adaptive stepsizes. However, there is
currently a gap in our theoretical understanding of these methods, especially
in the non-convex setting. In this paper, we start closing this gap: we
theoretically analyze in the convex and non-convex settings a generalized
version of the AdaGrad stepsizes. We show sufficient conditions for these
stepsizes to achieve almost sure asymptotic convergence of the gradients to
zero, proving the first guarantee for generalized AdaGrad stepsizes in the
non-convex setting. Moreover, we show that these stepsizes allow to
automatically adapt to the level of noise of the stochastic gradients in both
the convex and non-convex settings, interpolating between $O(1/T)$ and
$O(1/\sqrt{T})$, up to logarithmic terms.
"
text,convex optimization gradient descent convergence,5,1910.08212,math.OC cs.LG,0.5458012819290161,Error Lower Bounds of Constant Step-size Stochastic Gradient Descent,"  Stochastic Gradient Descent (SGD) plays a central role in modern machine
learning. While there is extensive work on providing error upper bound for SGD,
not much is known about SGD error lower bound. In this paper, we study the
convergence of constant step-size SGD. We provide error lower bound of SGD for
potentially non-convex objective functions with Lipschitz gradients. To our
knowledge, this is the first analysis for SGD error lower bound without the
strong convexity assumption. We use experiments to illustrate our theoretical
results.
"
text,convex optimization gradient descent convergence,6,2503.04486,math.OC,0.545711874961853,"Tight Analysis of Difference-of-Convex Algorithm (DCA) Improves
  Convergence Rates for Proximal Gradient Descent","  We investigate a difference-of-convex (DC) formulation where the second term
is allowed to be weakly convex. We examine the precise behavior of a single
iteration of the difference-of-convex algorithm (DCA), providing a tight
characterization of the objective function decrease, distinguishing between six
distinct parameter regimes.
  Our proofs, inspired by the performance estimation framework, are notably
simplified compared to related prior research. We subsequently derive sublinear
convergence rates for the DCA towards critical points, assuming at least one of
the functions is smooth.
  Additionally, we explore the underexamined equivalence between proximal
gradient descent (PGD) and DCA iterations, demonstrating how DCA, a
parameter-free algorithm, without the need for a stepsize, serves as a tool for
studying the exact convergence rates of PGD.
"
text,convex optimization gradient descent convergence,7,2106.08020,math.OC,0.5419973731040955,"A note on the optimal convergence rate of descent methods with fixed
  step sizes for smooth strongly convex functions","  Based on a result by Taylor, Hendrickx, and Glineur (J. Optim. Theory Appl.,
178(2):455--476, 2018) on the attainable convergence rate of gradient descent
for smooth and strongly convex functions in terms of function values, an
elementary convergence analysis for general descent methods with fixed step
sizes is presented. It covers general variable metric methods, gradient related
search directions under angle and scaling conditions, as well as inexact
gradient methods. In all cases, optimal rates are obtained.
"
text,convex optimization gradient descent convergence,8,2412.04427,math.OC,0.5409700274467468,A Proof of the Exact Convergence Rate of Gradient Descent,"  We prove the exact worst-case convergence rate of gradient descent for smooth
strongly convex optimization on $\mathbb{R}^d$. Concretely, assuming that the
objective function $f$ is $\mu$-strongly convex and $L$-smooth, we identify the
smallest possible value of $\tau$ for which the inequality
$f(x_{N})-f_{*}\leq\tau\|x_{0}-x_{*}\|^{2}$ always holds. The result was
previously conjectured by Drori and Teboulle for the case $\mu=0$, and by
Taylor, Hendrickx, and Glineur for the case $\mu>0$.
"
text,convex optimization gradient descent convergence,9,2506.17145,math.OC,0.5315494537353516,Worst-case convergence analysis of relatively inexact gradient descent on smooth convex functions,"We consider the classical gradient descent algorithm with constant stepsizes, where some error is introduced in the computation of each gradient. More specifically, we assume some relative bound on the inexactness, in the sense that the norm of the difference between the true gradient and its approximate value is bounded by a certain fraction of the gradient norm. This paper presents a worst-case convergence analysis of this so-called relatively inexact gradient descent on smooth convex functions, using the Performance Estimation Problem (PEP) framework. We first derive the exact worst-case behavior of the method after one step. Then we study the case of several steps and provide computable upper and lower bounds using the PEP framework. Finally, we discuss the optimal choice of constant stepsize according to the obtained worst-case convergence rates."
text,convex optimization gradient descent convergence,10,2301.11235,math.OC,0.5275654792785645,Handbook of Convergence Theorems for (Stochastic) Gradient Methods,"  This is a handbook of simple proofs of the convergence of gradient and
stochastic gradient descent type methods. We consider functions that are
Lipschitz, smooth, convex, strongly convex, and/or Polyak-{\L}ojasiewicz
functions. Our focus is on ``good proofs'' that are also simple. Each section
can be consulted separately. We start with proofs of gradient descent, then on
stochastic variants, including minibatching and momentum. Then move on to
nonsmooth problems with the subgradient method, the proximal gradient descent
and their stochastic variants. Our focus is on global convergence rates and
complexity rates. Some slightly less common proofs found here include that of
SGD (Stochastic gradient descent) with a proximal step, with momentum, and with
mini-batching without replacement.
"
