Topic,Count,Name,Representation,Representative_Docs
-1,144656,-1_model_system_result_time,"['model', 'system', 'result', 'time', 'method', 'field', 'study', 'datum', 'base', 'function']","['gravitational lens time delay probe possible time variation fine structure constant new method base large scale structure observation propose probe possible time variation fine structure constant analysis base time delay strong gravitational lense type ia supernovae observation consider class runaway dilaton model cosmological evolution fine structure constant give obtain limit physical property parameter model level limit restrictive obtain quasar spectroscopy approach present provide new bound possibility different range redshift', 'age dynamic velocity field correlation dimensional uniformly heated granular gas molecular dynamic study conduct molecular dynamic simulation inelastic gas system utilize event drive algorithm combine thermostat mechanism initially kinetic energy system experience decay settle non equilibrium steady state explore age characteristic analyze velocity autocorrelation function denote t finding indicate t exhibit dependence wait time correlation time t independent manner outset t demonstrate exponential decay pattern increase slow decay observe attribute development correlation velocity field explicit relationship t respect serve compelling evidence age property present system result deepen comprehension non equilibrium statistical mechanic dynamic dissipative system research significant implication range application involve inelastic collision extend granular material phenomena observe astrophysic simulation methodology insight gain contribute wide field complex system shed light behavior system far equilibrium particularly characterize energy dissipation inelastic interaction', 'non equilibrium dynamic spin facilitate glass model consider dynamic spin facilitate model glass non equilibrium age regime follow sudden quench high low temperature briefly review know result obtain broad class kinetically constrain model present new result behaviour spin facilitate fredrickson andersen east model spatial dimension time evolution time quantity energy density detailed property time correlation response function study combination theoretical approach include exact mapping master operator reduction integrable quantum spin chain field theory renormalization group independent interval timescale separation method result analytical prediction confirm mean detailed numerical simulation model consider characterize trivial static property finite temperature singularity display surprising variety dynamic behaviour aging directly relate existence growth time dynamic lengthscale behave fluctuation dissipation ratio define model study property detail confirm particular existence negative fluctuation dissipation ratio large number observable result suggest define violation fluctuation dissipation relation purely dynamic origin unrelated thermodynamic concept effective temperature general present non equilibrium glassy material']"
0,3212,0_language_llm_reasoning_task,"['language', 'llm', 'reasoning', 'task', 'word', 'translation', 'sentence', 'text', 'model', 'retrieval']","['bridge language gap large language model inference time cross lingual intervention large language model llm show remarkable capability natural language processing exhibit significant performance gap different language exist approach address disparity rely pretraine fine tuning resource intensive overcome limitation incur significant cost propose inference time cross lingual intervention incline novel framework enhance llm performance low perform source language align internal representation high perform target language inference incline initially learn alignment matrix parallel sentence source target language square optimization apply matrix inference transform low perform language representation high perform language space extensive experiment benchmark llm demonstrate incline significantly improve performance diverse task language compare recent strong baseline analysis demonstrate incline highly cost effective applicable wide range application addition release code foster research line', 'improve neural machine translation pre train representation monolingual datum demonstrate helpful improve translation quality neural machine translation nmt current method stay usage word level knowledge generate synthetic parallel datum extract information word embed contrast power sentence level contextual knowledge complex diverse play important role natural language generation fully exploit paper propose novel structure leverage monolingual datum acquire sentence level contextual representation design framework integrate source target sentence level representation nmt model improve translation quality experimental result chinese english german english machine translation task propose model achieve improvement strong transformer baseline experiment english turkish demonstrate effectiveness approach low resource scenario', 'neural resource language translation comparative evaluation approach resource language minimal digital representation pose unique challenge machine translation mt unlike low resource language rely limited existent corpora resource language few sentence available training work explore problem resource translation distinct workflow fine tuning translation specific model context learning large language model llm chain reasoning prompting direct prompting reasoning owens valley paiute case study demonstrate resource translation demand fundamentally different approach low resource scenario traditional approach machine translation work low resource language fail empirical result reveal traditional approach fail context learn capability general purpose large language model enable resource language translation outperform low resource translation approach rival human translation bleu specifically chain reasoning prompting outperform method large corpora direct prompt exhibit advantage small dataset approach language agnostic potential generalize translation task wide variety resource language expert input finding establish resource translation distinct paradigm require innovative solution provide practical theoretical insight language preservation']"
1,3143,1_channel_mimo_communication_wireless,"['channel', 'mimo', 'communication', 'wireless', 'user', 'antenna', 'network', 'interference', 'relay', 'ris']","['throughput energy efficiency cognitive mimo transmission paper throughput energy efficiency cognitive multiple input multiple output mimo system operate quality service qos constraint interference limitation imperfect channel sensing study assume transmission power covariance input signal vector varied depend sense activity primary user pus system interference constraint apply transmission power level cognitive radio crs provide protection pus activity model markov chain consider reliability transmission channel sense result state transition model provide throughput determine formulate effective capacity derivative effective capacity derive low power regime minimum bit energy requirement presence qos limitation imperfect sensing result identify minimum energy bit show achieve beamforme maximal eigenvalue eigenspace certain matrix relate channel matrix special case wideband slope determined refined analysis energy efficiency numerical result provide throughput level buffer constraint different number transmit receive antenna impact interference constraint benefit multiple antenna transmission determine show increase number antenna interference power constraint stringent generally beneficial hand show relatively loose interference constraint increase number antenna certain level lead increase throughput', 'diagonalize mimo channel arbitrary transmit covariance multiple input multiple output mimo multi antenna communication key technique achieve high spectral efficiency wireless system point point mimo channel know result channel singular value decomposition svd base linear precoding decode achieve channel capacity diagonalize mimo channel parallel single input single output siso sub channel independent encoding decode multi user mimo system optimal transmit covariance mimo link generally channel svd base result control balance co channel interference user remain unknown linear precoding decode strategy able achieve capacity mimo link diagonalize mimo channel give set optimal transmit covariance user letter solve open problem provide closed form capacity achieve linear precoder decoder design diagonalize mimo channel arbitrary transmit covariance numerical example provide validate propose solution multi user mimo system', 'mmwave mimo communication semi passive ris low complexity channel estimation scheme reconfigurable intelligent surface riss recently receive widespread attention field wireless communication ris control reflect incident wave transmitter receiver feature believe fundamentally contribute g wireless technology typical ris consist entirely passive element require high dimensional channel estimation paper present semi passive large scale ris architecture equip small fraction simplified receiver unit bit quantization base architecture propose alternate direction method multiplier approach recover training signal passive ris element obtain global channel combine channel sparsification step generalize approximate message pass gamp algorithm propose scheme exploit sparsity low rankness property channel joint spatial frequency domain wideband mmwave multiple input multiple output mimo communication system simulation result propose algorithm significantly reduce pilot signal need accurate channel estimation outperform previous method few receiver unit']"
2,2790,2_string_brane_theory_gauge,"['string', 'brane', 'theory', 'gauge', 'supersymmetric', 'duality', 'supergravity', 'supersymmetry', 'loop', 'yang']","['supersymmetric qcd theory study dimensional supersymmetric qcd theory gauge group chiral multiplet vector representation argue runaway potential moduli space vacuum modulus space quantum theory superconformal fix point origin modulus space dual description low energy fix point gauge theory test duality way case duality gauge theory relate known duality gauge theory discuss real mass deformation allow connect theory different chern simon level allow connect duality known duality theory chern simon term level k dual gauge group give', 'boundary string field theory loop discuss open string loop partition function tachyon condensation background unstable d brane system evaluate partition function boundary state formulation find complete agreement result obtain boundary string field theory suggest open string high loop diagram produce consistently close string field theory d brane play role source closed string field', 'little string theory heterotic background study little string theory lst supersymmetry arise suitable double scaling limit brane heterotic string theory heterotic like type limit question previously study type ii case result holographically dual pair bulk string theory lst finite effective coupling particular internal scft string theory non singular give coset type ii orbifold case determine orbifold action internal scft construct boundary state describe non bps massive state completely break gauge theory agreement dual picture brane type describe different orbifold action give rise gauge theory supersymmetry heterotic case determine gauge bundle correspond scft break gauge group respectively double scale limit case involve take small instanton small string couple constant limit determine spectrum chiral gauge invariant operator correspond global symmetry charge lst compare massless excitation string theory find agreement multiplicity global charge']"
3,2760,3_graph_vertex_edge_number,"['graph', 'vertex', 'edge', 'number', 'tree', 'color', 'problem', 'set', 'hypergraph', 'subgraph']","['structure dominate graph graph graph define vertex set consist dominating set cardinality set adjacent differ add delete single vertex graph dominating graph isomorphic graph positive integer answer question haas seyffarth graph isolate prove graph order g prove give exist finite number connected dominate graph connected graph particular dominating graph class cycle result order dominating graph obtain', 'make graph study following question edge delete graph vertex order result graph turn classical problem extremal graph theory special case question fix odd cycle determine answer constant factor sufficiently large prove upper bound fix clique conjecture tight constant factor prove upper bound general family graph apply result new bind maximum cut graph forbidden odd cycle term number edge', 'vertex ramsey graph forbidden subgraph classical vertex ramsey result state give finite family graph graph positive integer graph connect subgraph subgraph exist graph vertex respect prove sufficient condition existence graph vertex respect necessary large number colour generalisation result family graph typical existence subgraph dense binomial random graph']"
4,2651,4_solar_plasma_magnetic_coronal,"['solar', 'plasma', 'magnetic', 'coronal', 'flare', 'field', 'reconnection', 'mhd', 'flux', 'cme']","['kinetic modeling particle acceleration solar null point reconnection region primary focus paper particle acceleration mechanism solar coronal dimensional reconnection null point region start potential field extrapolation solar heliospheric observatory soho magnetogram take november perform magnetohydrodynamics mhd simulation horizontal motion observe soho apply photospheric boundary computational box build electric current fan plane null point sub section evolved mhd datum initial boundary condition kinetic particle cell model plasma find sub relativistic electron acceleration mainly drive systematic electric field current sheet non thermal population electron power law distribution energy form simulated pre flare phase feature power law index work provide step bridge gap macroscopic scale order hundred mm kinetic scale order cm solar corona explain achieve cross scale coupling utilize physical modification equivalent modification constant nature exceptionally high resolution billion particle billion grid cell size km simulation offer new opportunity study particle acceleration solar like setting', 'model interaction fluctuation coronal mass ejection low solar corona fluctuation scale ubiquitous corona non linear interaction eventual turbulent cascade result important heating mechanism accelerate solar wind fluctuation process large scale transient coherent heliospheric structure coronal mass ejection cme study investigate interaction solar wind fluctuation cme magnetohydrodynamic mhd simulation study transmission upstream solar wind fluctuation cme lead formation cme sheath fluctuation additionally investigate influence fluctuation frequency extent cme sheath ideal mhd model adiabatic equation state pump wave inject quiet solar wind perturb transverse magnetic field velocity component cme inject insert flux rope model magnetic island quasi steady solar wind upstream wave experience decrease wavelength change wave vector direction non radial topology cme shock cme sheath inhibit transmission long wavelength fluctuation presence non radial flow region frequency solar wind fluctuation affect steepening mhd fast wave cause cme shock propagation speed vary solar wind fluctuation frequency', 'plasma evolution solar corona solar cycle plasma important investigate interchange role plasma magnetic pressure solar atmosphere help describe feature photosphere change different height goal obtain plasma variation solar corona solar cycle plasma reconstruct different layer solar atmosphere purpose use update version coronal density temperature codet model version select different feature solar atmosphere quiet sun qs faculae active region ar calculate variation different layer solar corona photosphere use temperature value falc model obtain plasma qs faculae additionally variation magnetic kinetic pressure model solar cycle coronal height accept publication apj']"
5,2540,5_segmentation_image_medical_mri,"['segmentation', 'image', 'medical', 'mri', 'ct', 'brain', 'imaging', 'clinical', 'deep', 'diagnosis']","['novel automate classification segmentation ct scan medical image classification segmentation base deep learning dl emergency research topic diagnose variant virus current situation computed tomography ct image lung ground glass turbidity common finding require specialist diagnosis base situation researcher propose relevant dl model replace professional diagnostic specialist clinic lack expertise dl method stunning performance medical image processing limited dataset challenge develop accuracy diagnosis human level addition deep learning algorithm face challenge classify segment medical image multiple dimension maintain high accuracy rate consequently guarantee high level accuracy model classify patient ct image type normal pneumonia covid subsequently dataset segmentation dataset limited datum case system combine classification model segmentation model fully integrate diagnostic model build basis u net algorithm feed different dataset covid image segmentation infected area carry accord classification result model achieve accuracy classification lung lesion type covid pneumonia normal future medical use embed model medical facility efficient way assist substitute doctor diagnosis broad range problem variant virus situation successfully solve', 'automate chest ct image segmentation lung infection base u net coronavirus disease affect billion life world significant impact public healthcare rise skepticism sensitivity rt pcr screen method medical imaging like computed tomography offer great potential alternative reason automate image segmentation highly desire clinical decision support quantitative assessment disease monitoring publicly available imaging datum limit lead overfitting traditional approach address problem propose innovative automate segmentation pipeline infected region able handle small dataset utilization variant database method focus fly generation unique random image patch training perform preprocessing method exploit extensive datum augmentation reduction overfitte risk implement standard u net architecture instead new computational complex neural network architecture fold cross validation ct scan patient able develop highly accurate robust segmentation model lung infect region overfitte limited data method achieve dice similarity coefficient lung infection demonstrate propose method outperform related approach advance state art segmentation improve medical image analysis limited datum code model available follow link', 'medical transformer universal brain encoder mri analysis transfer learning gain attention medical image analysis limited annotated medical dataset training data drive deep learning model real world exist base method transfer pre train model downstream task achieve promise result small number training sample demand massive parameter train model medical imaging work propose novel transfer learning framework call medical transformer effectively model volumetric image form sequence image slice high level representation form empower spatial relation well multi view approach leverage plenty information plane volume provide parameter efficient training build source model generally applicable task pre train model self supervise learning manner mask encode vector prediction proxy task large scale normal healthy brain magnetic resonance imaging mri dataset pre trained model evaluate downstream task brain disease diagnosis ii brain age prediction iii brain tumor segmentation actively study brain mri research experimental result medical transformer outperform state art transfer learning method efficiently reduce number parameter classification']"
6,2498,6_black_hole_horizon_spacetime,"['black', 'hole', 'horizon', 'spacetime', 'kerr', 'entropy', 'gravity', 'schwarzschild', 'wormhole', 'solution']","['black hole thermodynamic modify gravity mog analyze thermodynamical property black hole modify theory gravity initially propose obtain correct dynamic galaxy galaxy cluster dark matter thermodynamic non rotate rotate black hole solution resemble similar solution einstein maxwell theory electric charge replace new mass dependent gravitational charge q new mass dependent charge modify effective newtonian constant g turn critically affect thermodynamic black hole investigate thermodynamic regular solution explore limiting case horizon form possible modify gravity lead absence black hole horizon universe finally analyze correction thermodynamic non rotating black hole obtain usual logarithmic correction term', 'black hole thermodynamic information loss dimension black hole evaporation investigate model quantum gravity quantum correction black hole entropy compute fine grain entropy hawk radiation study generalized second law thermodynamic formulate show valid suitable condition show model black hole consume arbitrarily large information', 'nonlinear electrodynamic magnetic black hole model nonlinear electrodynamic parameter couple general relativity investigate study magnetize black hole obtain solution asymptotic metric mass function correction reissner solution find investigate thermodynamic black hole calculate hawk temperature heat capacity black hole show phase transition parameter model black hole stable']"
7,2341,7_liquid_polymer_droplet_cell,"['liquid', 'polymer', 'droplet', 'cell', 'protein', 'shear', 'fluid', 'granular', 'dynamic', 'dna']","['liquid liquid phase transition soft core attractive potential event drive molecular dynamic simulation study dimensional component system spherical particle interact discontinuous potential combine repulsive square soft core attractive square case narrow attractive show potential metastable gas liquid critical point systematically investigate change parameter potential affect phase diagram system find broad range potential parameter system gas liquid critical point liquid liquid critical point liquid gas critical point find derivative critical temperature pressure respect parameter potential sign positive increase width attractive negative increase width repulsive energy soft core result resemble behavior liquid gas critical point standard liquid contrast liquid liquid critical point critical pressure decrease critical temperature increase consequence liquid liquid critical point exist positive pressure finite range parameter present modify van der waal equation qualitatively reproduce behavior critical point range parameter insight mechanism rule dependence critical point potential parameter soft core potential study resemble model potential colloid protein potential relate liquid metal raise interesting possibility liquid liquid phase transition present system observe', 'manifestation metastable criticality long range structure model water glass attention devote water metastable phase behavior include polyamorphism multiple amorphous solid phase hypothesize liquid liquid transition associated critical point possible relationship phenomenon remain incompletely understand molecular dynamic simulation realistic model find striking signature liquid liquid critical point structure water glass manifest pronounce increase long range density fluctuation pressure proximate critical pressure contrast signature absent glass model system lack critical point characterize departure equilibrium vitrification non equilibrium index water like system exhibit strong pressure dependence metric simple liquid result reflect surprising relationship metastable equilibrium phenomenon liquid liquid criticality non equilibrium structure glassy water implication understanding water phase behavior glass physic calculation suggest possible experimental route probe existence liquid liquid transition water fluid', 'static wet deformable substrate liquid soft solid young law fail soft solid liquid substrate substantial deformation near contact line liquid substrate capture neumann classic analysis provide geometrical construction minimise interfacial free energy soft solid total free energy include additional contribution elasticity linear elastic model incorporate plane restore force solid surface tension recently show accurately predict equilibrium shape thin elastic film large sessile droplet extend model find substrate deformation droplet arbitrary size macroscopic contact angle match young law large droplet match neumann prediction small droplet cross droplet size roughly give ratio solid surface tension elastic modulus cross macroscopic contact angle increase indicate substrate effectively wetting droplet size microscopic behaviour near contact line follow neumann construction give local force balance']"
8,2243,8_robot_policy_reinforcement_rl,"['robot', 'policy', 'reinforcement', 'rl', 'learning', 'task', 'robotic', 'manipulation', 'learn', 'environment']","['hardware condition policy multi robot transfer learning deep reinforcement learning learn dexterous robotic policy challenge transfer new robot vastly different hardware property prohibitively expensive learn new policy scratch robot hardware high sample complexity modern state art algorithm propose novel approach call condition policy train universal policy condition vector representation robot hardware consider robot simulation varied dynamic kinematic structure kinematic length degree freedom use kinematic structure directly hardware encode great zero shot transfer completely novel robot see training robot low zero shot success rate demonstrate fine tune policy network significantly sample efficient train model scratch task know agent dynamic important success learn embed robot hardware policy condition encoding hardware tend generalize transfer code video available project webpage', 'human loop method data drive reinforcement learning system recent success combine reinforcement learning algorithm deep neural network despite reinforcement learning widely apply robotic real world scenario attribute fact current state art end end reinforcement learning approach require thousand million datum sample converge satisfactory policy subject catastrophic failure training conversely real world scenario data sample human able provide demonstration task intervene prevent catastrophic action simply evaluate policy perform correctly research investigate integrate human interaction modality reinforcement learning loop increase sample efficiency enable real time reinforcement learning robotic real world scenario novel theoretical foundation call cycle learning reference different human interaction modality task demonstration intervention evaluation cycle combine reinforcement learning algorithm result present work reward signal learn base human interaction accelerate rate learning reinforcement learning algorithm learn combination human demonstration intervention fast sample efficient compare traditional supervised learning algorithm finally cycle learning develop effective transition policy learn human demonstration intervention reinforcement learning theoretical foundation develop research open new research path human agent teaming scenario autonomous agent able learn human teammate adapt mission performance metric real time real world scenario', 'herd continuous human robot evolution learn human demonstration ability learn human demonstration endow robot ability automate task directly learn human demonstration challenge structure human hand different desire robot gripper work manipulation skill transfer human robot use micro evolutionary reinforcement learning finger human dexterous hand robot gradually evolve commercial robot repeat interact physics simulator continuously update policy learn human demonstration deal high dimension robot parameter propose algorithm multi dimensional evolution path search allow joint optimization robot evolution path policy experiment human object manipulation dataset framework efficiently transfer expert human agent policy train human demonstration diverse modality target commercial robot']"
