Topic,Count,Name,Representation,Representative_Docs
-1,216707,-1_model_system_method_base,"['model', 'system', 'method', 'base', 'datum', 'quantum', 'approach', 'problem', 'propose', 'result']","['optimal transfer protocol incremental layer defrost transfer learning powerful tool enable model training limited amount datum technique particularly useful real world problem datum availability limitation simple transfer learning protocol base freeze feature extractor layer network pre train data rich source task adapt layer data poor target task workflow base assumption feature map pre trained model qualitatively similar one learn datum target task work protocol sub optimal large performance gain achieve small portion pre train network keep frozen particular use control framework identify optimal transfer depth turn depend non trivially available training datum degree source target task correlation characterize transfer optimality analyze internal representation network train scratch source target task multiple establish similarity measure', 'optimize feature generation tabular datum llm decision tree reasoning tabular prediction task tree base model combine automate feature engineering method outperform deep learning approach rely learn representation feature engineering technique effective typically depend pre define search space primarily use validation score feature selection miss valuable insight previous experiment address limitation propose novel tabular learn framework utilize large language model llm term optimize column feature generator decision tree reasoning octree key idea leverage reasoning capability llm identify effective feature generation rule manually specify search space provide language base reasoning information highlight past experiment feedback iterative rule improvement use decision tree convey reasoning information easily represent natural language effectively provide knowledge prior experiment impact generate feature performance llm empirical result demonstrate octree consistently enhance performance prediction model diverse benchmark outperform compete automate feature engineering method code available', 'harmonic path integral diffusion manuscript present novel approach sample continuous multivariate probability distribution explicitly know normalization factor represent empirical sample method construct time dependent bridge delta function center origin state space optimally transform target distribution formulate stochastic optimal control problem path integral control type cost function comprise basic form quadratic control term quadratic state term terminal constraint framework refer harmonic path integral diffusion h pid leverage analytical solution mapping auxiliary quantum harmonic oscillator imaginary time h pid framework result set efficient sampling algorithm incorporation neural network algorithm validate standard use case mixture gaussian grid image transparency method allow analyze algorithms detail particularly reveal current weighted state order parameter dynamic phase transition signal early sample generation process complete contrast algorithm sampling method particularly simulate annealing path integral sampling highlight advantage term analytical control accuracy computational efficiency benchmark problem additionally extend methodology general case underlie stochastic differential equation include external deterministic possibly non conservative force cost function incorporate gauge potential term']"
0,69110,0_mass_star_galaxy_hole,"['mass', 'star', 'galaxy', 'hole', 'black', 'dark', 'matter', 'stellar', 'energy', 'gravitational']","['effect wave dark matter equal mass black hole merger dark matter detectable gravitational wave binary black hole reach high average density vicinity case light wave like dark matter density dark matter binary significantly enhance accretion surround environment result dephase effect orbit equal mass binary maximize compton wavelength scalar particle comparable orbital separation phenomenology effect different channel usually discuss dynamical friction orbital path radiation energy angular momentum drive dephasing dominate radial force spacetime curvature radial direction overdensity black hole whilst numerical study limit scale order effect persist large separation particle mass play significant role merger history binary', 'efficiency black hole formation collision stellar system analysis datum simulation observation paper explore theoretical relation star cluster black hole focus potential role nuclear star cluster nscs globular cluster gcs ultra compact dwarf galaxy ucds environment allow black hole formation stellar collision study aim identify optimal condition stellar collision range stellar system lead formation massive star subsequently collapse black hole analyze datum numerical simulation observation diverse stellar system encompass initial condition initial mass function evolution scenario compute critical mass determine interplay collision time system age initial property star cluster efficiency black hole formation define ratio initial stellar mass divide critical mass find stellar system ratio initial stellar mass critical mass exhibit high efficiency term black hole formation range scatter potentially attribute complex system history presence gas result highlight potential achieve high efficiency purely collisional channel black hole formation conclusion theoretical exploration elucidate connection star cluster black hole formation study underscore significance ucds gcs nscs environment conducive black hole formation scenario stellar collision define black hole formation efficiency show influence ratio initial stellar mass critical mass', 'dynamical measure black hole mass quasar billion year ago tight relationship exist local universe central stellar property galaxy mass supermassive black hole suggest galaxy black hole co evolve main regulation mechanism energetic feedback accretion black hole quasar phase crucial question relationship black hole galaxy evolve time key epoch probe relationship peak star formation black hole growth billion year ago redshift report dynamical measurement mass black hole luminous quasar redshift look time billion year spatially resolve broad line region detect micro arcsecond pc spatial offset red blue photocenter line trace velocity gradient rotate broad line region flux differential phase spectra reproduce thick moderately incline disk gas cloud sphere influence central black hole mass solar mass molecular gas datum reveal dynamical mass host galaxy solar mass indicate massive black hole accrete super eddington rate suggest host galaxy grow fast supermassive black hole indicate delay galaxy black hole formation system']"
1,7917,1_scene_view_pose_lidar,"['scene', 'view', 'pose', 'lidar', 'object', 'cloud', 'point', 'camera', 'depth', 'reconstruction']","['mgs slam monocular sparse tracking gaussian mapping depth smooth regularization letter introduce novel framework dense visual simultaneous localization mapping vslam base gaussian splatting recently slam base gaussian splatting show promising result monocular scenario gaussian map reconstruct lack geometric accuracy exhibit weak tracking capability address limitation jointly optimize sparse visual odometry tracking gaussian splatte scene representation time obtain depth map visual odometry keyframe window fast multi view stereo mvs network geometric supervision gaussian map furthermore propose depth smooth loss sparse dense adjustment ring sdar reduce negative effect estimate depth map preserve consistency scale visual odometry gaussian map evaluate system synthetic real world dataset accuracy pose estimation surpass exist method achieve state art additionally outperform previous monocular method term novel view synthesis geometric reconstruction fidelity', 'frozenrecon pose free scene reconstruction frozen depth model scene reconstruction long stand vision task exist approach categorize geometry base learning base method leverage multi view geometry face catastrophic failure reliance accurate pixel correspondence view proffer mitigate issue learn representation directly large scale video training datum hardly generalize diverse real world scenario presence ten million billion optimization parameter deep network recently robust monocular depth estimation model train large scale dataset prove possess weak geometry prior insufficient reconstruction unknown camera parameter affine invariant property inter frame inconsistency propose novel test time optimization approach transfer robustness affine invariant depth model lere challenge diverse scene ensure inter frame consistency dozen parameter optimize video frame specifically approach involve freeze pre train affine invariant depth model depth prediction rectify optimize unknown scale shift value geometric consistency alignment module employ result scale consistent depth map robustly obtain camera pose achieve dense scene reconstruction low texture region experiment method achieve state art cross dataset reconstruction zero shot testing dataset', 'dynamic multi view scene reconstruction neural implicit surface reconstruct general dynamic scene important computer vision graphic application recent work represent dynamic scene neural radiance field photorealistic view synthesis surface geometry constrain noisy work introduce surface constraint implicit neural representation disentangle ambiguity geometry appearance field static scene reconstruction bridge gap render dynamic scene recover static surface geometry propose template free method reconstruct surface geometry appearance neural implicit representation multi view video leverage topology aware deformation sign distance field learn complex dynamic surface differentiable volume render scene specific prior knowledge like template model furthermore propose novel mask base ray selection strategy significantly boost optimization challenge time vary region experiment different multi view video dataset demonstrate method achieve high fidelity surface reconstruction photorealistic novel view synthesis']"
2,6712,2_segmentation_image_medical_mri,"['segmentation', 'image', 'medical', 'mri', 'ct', 'cancer', 'tumor', 'imaging', 'lesion', 'clinical']","['segment model sam medical image segmentation survey flexibility prompt foundation model dominant force domain natural language processing image generation recent introduction segment model sam prompt drive paradigm enter realm image segmentation bring range previously unexplored capability remain unclear applicable medical image segmentation significant difference natural image medical work summarize recent effort extend success sam medical image segmentation task include empirical benchmarking methodological adaptation discuss potential future direction sam medical image segmentation directly apply sam medical image segmentation obtain satisfy performance multi modal multi target medical dataset insight draw guide future research develop foundation model medical image analysis facilitate future research maintain active repository contain date paper list open source project summary', 'shot partially supervise cell image segmentation small visual prompt semantic segmentation microscopic cell image deep learning important technique require large number image ground truth label training address problem consider efficient learn framework little datum possible propose type learn strategy shot segmentation learn training sample partially supervise segmentation assign annotation image furthermore introduce novel segmentation method small prompt image inspire prompt learning recent study propose method use pre train model base cell image teach information prompt pair target image segment attention mechanism allow efficient learning reduce burden annotation cost experiment conduct type microscopic cell image dataset confirm propose method improve dice score coefficient dsc comparison conventional method', 'morphology enhance cam guide sam weakly supervised breast lesion segmentation ultrasound imaging play critical role early detection breast cancer accurate identification segmentation lesion essential step clinical practice require method assist physician lesion segmentation ultrasound lesion segmentation model base supervised learning require extensive manual labeling time consume labor intensive study present novel framework weakly supervise lesion segmentation early breast ultrasound image method use morphological enhancement class activation map localization finally employ segment model sam computer vision foundation model detailed segmentation approach require pixel level annotation reduce cost datum annotation performance method comparable supervise learning method require manual annotation achieve dice score outperform comparative supervise model term hausdorff distance busi dataset result demonstrate framework effectively integrate weakly supervise learning sam provide promising solution breast cancer image analysis code study available']"
3,6030,3_prime_curve_variety_conjecture,"['prime', 'curve', 'variety', 'conjecture', 'projective', 'prove', 'integer', 'bundle', 'let', 'modulus']","['remark canonical degree curve smooth projective surface canonical degree integral curve smooth projective surface conjecturally bound expression form geometric genus constant depend prove conjecture hold assumption c', 'lift line bundle curve surface let surface let smooth curve genus let line bundle degree line bundle call lift paper prove dimension linear system compute clifford index exist base point free lift general member smooth curve genus particular base point free net define double cover smooth curve degree branch distinct point aforementioned result exist morphism', 'topological equivalence modulus space let smooth projective curve genus g let nontrivial connect reductive affine algebraic group examine modulus space regularly stable bundle holomorphic fix topological type establish homotopy group modulus space isomorphic k prove mixed hodge structure rational cohomology group modulus space pure isomorphic lastly explicitly describe homotopy group modulus space']"
4,5793,4_policy_robot_rl_reinforcement,"['policy', 'robot', 'rl', 'reinforcement', 'manipulation', 'robotic', 'reward', 'grasp', 'offline', 'task']","['mitigate human robot domain discrepancy visual pre training robotic manipulation learn generalizable visual representation different embody environment essential effective robotic manipulation real world scenario limited scale diversity robot demonstration datum pose significant challenge recent research explore leverage large scale human activity datum pre training substantial morphological difference human robot introduce significant human robot domain discrepancy hinder generalization model downstream manipulation task overcome propose novel adaptation paradigm leverage readily available pair human robot video datum bridge domain gap method employ human robot contrastive alignment loss align semantic human robot video adapt pre train model robot domain parameter efficient manner experiment simulate task different benchmark real world task demonstrate significant improvement result span single task language condition multi task setting evaluate different pre train model compare exist pre train model adaptation method improve average success rate multiple task simulate benchmark real world evaluation', 'learn design use tool robotic manipulation limit morphology human specie animal remarkable ability use object environment accomplish impossible task robot similarly unlock range additional capability tool use recent technique jointly optimize morphology control deep learning effective design locomotion agent output single morphology make sense locomotion manipulation involve variety strategy depend task goal hand manipulation agent capable rapidly prototype specialized tool different goal propose learn designer policy single design designer policy condition task information output tool design help solve task design condition controller policy perform manipulation tool work step goal introduce reinforcement learn framework jointly learn policy simulate manipulation task framework sample efficient prior method multi goal multi variant setting perform zero shot interpolation fine tuning tackle previously unseen goal allow tradeoff complexity design control policy practical constraint finally deploy learn policy real robot supplementary video website visualization', 'scale robot learn simulation generative model generalist robot manipulator need learn wide variety manipulation skill diverse environment current robot training pipeline rely human provide kinesthetic demonstration program simulation environment code reward function reinforcement learning human involvement important bottleneck scale robot learn diverse task environment propose generation simulation method scale robot skill learning simulation automate generation asset task description task decomposition reward function large pre train generative model language vision generate asset simulation lift open world object centric image image diffusion model query llm determine plausible physics parameter give urdf file generate human develop asset chain thought prompt llm map relevant task description temporal decomposition correspond python reward function reinforcement learning succeed learn policy diverse long horizon task reinforcement learn non temporally decomposed reward function fail provide viable path scale reinforcement learning robot manipulator simulation diversify expand task environment development facilitate discovery reinforcement learn behavior temporal task decomposition rl work contribute hundred simulated asset task demonstration take step fully autonomous robotic manipulation skill acquisition simulation']"
5,4442,5_ris_channel_communication_mimo,"['ris', 'channel', 'communication', 'mimo', 'antenna', 'wireless', 'beamforming', 'isac', 'user', 'irs']","['user cluster star ris assist duplex noma communication system contrast conventional reconfigurable intelligent surface ris simultaneous transmitting reflect reconfigurable intelligent surface star ris propose recently enlarge serve area coverage work consider performance star ris aid duplex fd non orthogonal multiple access noma communication system star ris implement cell edge assist cell edge user cell center user communicate directly fd base station bs introduce new user cluster scheme downlink uplink transmission base propose transmission scheme close form expression ergodic rate downlink uplink mode derive take account system impairment cause self interference fd bs imperfect successive interference cancellation sic optimization problem maximize total sum rate formulate solve optimize amplitude phase shift star ris element allocate transmit power efficiently performance propose user cluster scheme optimal star ris design investigate numerical result', 'channel estimation ris enable mmwave wireless system variational inference approach channel estimation reconfigurable intelligent surface system crucial optimal configuration ris downstream task user localization ris aid system channel estimation involve estimate channel user ris ue ris ris base station ris bs link literature approach propose cascade channel estimation channel collapse single estimate training signal bs ii separate channel estimation estimate channel separately passive semi passive ris setting work study separate channel estimation problem fully passive ris aid millimeter wave mmwave single user single input multiple output simo communication system adopt variational inference vi approach jointly estimate ue ris ris bs instantaneous channel state information csi particular auxiliary posterior distribution csi learn maximization evidence lower bind estimate csi link coherence block result high signal overhead control ris scenario highly mobile user extend approach estimate slow vary statistical csi ue ris link overcome highly variant csi precisely second method estimate csi ris bs channel ue ris channel covariance matrix ccm directly uplink training signal fully passive ris aid system simulation result demonstrate maximum posteriori channel estimation auxiliary posterior provide capacity approach capacity perfect csi', 'dual functional mimo beamforming optimization ris aid integrate sensing communication aim provide wireless communication system environment perceptive capacity emerge integrate sensing communication isac technology face multiple difficulty especially balance performance trade communication radar function paper introduce reconfigurable intelligent surface ris assist datum transmission target detection dual functional isac system formulate general optimization framework diverse communication performance metric take account include famous capacity maximization mean square error mse minimization target detection process model general likelihood ratio test glrt practical limitation monotonicity corresponding detection probability prove single user single target sust scenario minimum transmit power isac transceiver reveal exploit optimal condition bs design validate bs able realize maximum power allocation scheme derive optimal bs precoder semi closed form alternate direction method multiplier admm base ris design propose address optimization unit modulus ris phase shift sake enhance computational efficiency develop low complexity ris design base riemannian gradient descent furthermore isac transceiver design multiple user multiple target mumt scenario investigate zero force zf radar receiver adopt cancel interference optimal bs precoder derive maximum power allocation scheme ris phase shift optimize extend propose admm base ris design numerical simulation result verify performance propose transceiver design']"
6,2952,6_spin_magnetic_hall_magnetization,"['spin', 'magnetic', 'hall', 'magnetization', 'antiferromagnetic', 'ferromagnetic', 'temperature', 'antiferromagnet', 'material', 'spintronic']","['anomalous inverse spin hall effect aishe unconventional spin current ferromagnetic film tailor interfacial magnetic anisotropy single layer ferromagnetic film magnetize plane ac current flow exhibit characteristic hall voltage harmonic second harmonic component attribute presence spin current polarization non collinear magnetization set nm thick permalloy py film study deposit oblique angle respect substrate plane induce plane easy axis magnetization initial nucleating layer film distinct overall bulk magnetic property film unusual magnetic texture provide platform direct detection inverse spin hall effect hall bar shape macroscopic device room temperature denote anomalous inverse spin hall effect aishe control sample fabricate normal deposition permalloy slow rotation substrate show significant reduction harmonic hall signal substantiate model analysis second harmonic hall signal corroborate presence spin orbit torque arise unconventional spin current single layer ferromagnet', 'exchange drive spin hall effect anisotropic ferromagnet crystallographic anisotropy spin dependent conductivity tensor exploit generate transverse spin polarize current ferromagnetic film ferromagnetic spin hall effect analogous spin split effect altermagnet require spin orbit coupling principle screening non cubic ferromagnet reveal grow single crystal tilt crystallographic axis exhibit large spin hall angle comparable good available spin orbit drive spin hall source macroscopic spin hall effect possible uniformly magnetize ferromagnetic film grow low symmetry substrate epitaxial relation prevent cancellation contribution different orientation domain macroscopic response possible substrate magnetocrystalline anisotropy strong lock magnetization crystallographic axis different orientation domain', 'anatomy spin hall effect ferromagnetic metal spin hall effect nonmagnetic material intensively study crucial spin charge conversion mechanism spintronic spin hall effect ferromagnetic metal investigate remain unclear work investigate spin hall effect representative ferromagnetic alloy principle calculation clarify spin hall effect different type include conventional cshe spin anomalous sahe magnetic spin hall effect mshe calculate corresponding spin hall conductivity spin hall angle fe co nife cofe alloy find spin hall mechanism coexist ferromagnetic metal particularly pt base ferromagnetic alloy sizable conventional magnetic spin hall angle comparable pt predict remarkable unconventional spin hall effect ferromagnetic metal enrich spin charge conversion phenomena instance spin current generate remarkable mshe plane spin polarization helpful field free switching perpendicular magnetization spin orbit torque effect work stimulate future study spin hall effect ferromagnetic metal pave promising application spin charge conversion device spintronic']"
7,2697,7_pde_pinn_neural_physics,"['pde', 'pinn', 'neural', 'physics', 'inform', 'equation', 'network', 'differential', 'flow', 'operator']","['precondition physics inform neural network physics inform neural network pinn show promise solve partial differential equation pde training pathology negatively affect convergence prediction accuracy pinn limit practical application paper propose use condition number metric diagnose mitigate pathology pinn inspire classical numerical analysis condition number measure sensitivity stability highlight pivotal role training dynamic pinn prove theorem reveal condition number relate error control convergence pinn subsequently present algorithm leverage precondition improve condition number evaluation pde problem showcase superior performance method significantly problem method reduce error order magnitude empirical finding verify critical role condition number pinn training', 'physics inform neural network beat finite element method partial differential equation play fundamental role mathematical modelling process system physical biological science simulate process system solution pde need approximate numerically finite element method instance usual standard methodology recent success deep neural network approximation task motivate use numerical solution pde call physics inform neural network variant show able successfully approximate large range partial differential equation far physics inform neural network finite element method mainly study isolation work compare methodology systematic computational study employ method numerically solve linear nonlinear partial differential equation poisson allen cahn semilinear compare computational cost approximation accuracy term solution time accuracy physics inform neural network able outperform finite element method study experiment fast evaluate solved pde', 'combine physics inform graph neural network finite difference solve forward inverse spatiotemporal pde great success physics inform neural network pinn solve partial differential equation pde significantly advance simulation understanding complex physical system science engineering pinn like method poorly scalable limit sample scenario address challenge work propose novel discrete approach term physics inform graph neural network pignn solve forward inverse nonlinear pde particular approach seamlessly integrate strength graph neural network gnn physical equation finite difference approximate solution physical system approach compare pinn baseline know nonlinear pde heat burger fitzhugh nagumo demonstrate excellent performance propose method work irregular mesh long time step arbitrary spatial resolution vary initial condition ic boundary condition bcs conduct extensive numerical experiment numerical result illustrate superiority approach term accuracy time extrapolability generalizability scalability main advantage approach model train small domain simple setting excellent fitting capability directly apply complex situation large domain']"
8,2374,8_logic_automata_program_proof,"['logic', 'automata', 'program', 'proof', 'semantic', 'calculus', 'type', 'language', 'verification', 'logical']","['minimal modal logic constructive modal logic relation present family minimal modal logic modal logic base minimal propositional logic correspond different classical modal logic minimal modal logic define base classical counterpart distinct way embed fusion classical modal logic natural extension johansson translation minimal logic modal logic extension modal logic single succedent correspondence sequent calculi classical minimal logic despite mutually independent method turn equivalent wide class modal system compare result minimal version k constructive modal logic ck study literature display tight relation system base relation define constructive correspondent minimal system obtain family constructive modal logic include ck constructive modal logic study literature', 'logic probabilistic team semantic boolean negation study expressivity complexity logic probabilistic team semantic boolean negation particular study extension probabilistic independence logic boolean negation recently introduce logic fopt comprehensive picture relative expressivity logic studied logic probabilistic team semantic setting relate expressivity numerical variant second order logic addition introduce novel entropy atom extension order logic entropy atom subsume probabilistic independence logic finally obtain result complexity model checking validity satisfiability logic', 'value modal logic combine concept modal logic value logic general comprehensive way give finite linearly order set truth value set propositional connective define truth table define value minimal normal modal logic present gentzen like sequent calculus prove soundness strong completeness respect value kripke model logic treat necessitation possibility independently define duality reflect proof system prove finite model property imply strong decidability logic consider extension exactly way define negation de morgan duality necessitation possibility hold addition embe value intuitionistic logic extension value modal logic']"
